url,provider,subject,area
https://www.class-central.com/mooc/1307/coursera-fundamentals-of-global-energy-business,Coursera,Environmental Science and Sustainability,Physical Science and Engineering
https://www.class-central.com/mooc/1529/coursera-technology-and-ethics,Coursera,Philosophy,Arts and Humanities
https://www.class-central.com/mooc/1751/coursera-analyzing-global-trends-for-business-and-society,Coursera,Business Intelligence,Business
https://www.class-central.com/mooc/1771/coursera-international-human-rights-law-prospects-and-challenges,Coursera,Human Rights,Social Sciences
https://www.class-central.com/mooc/307/coursera-natural-language-processing,Coursera,Computer Science,Computer Science
https://www.class-central.com/mooc/317/coursera-model-thinking,Coursera,Economics,Social Sciences
https://www.class-central.com/mooc/335/coursera-internet-history-technology-and-security,Coursera,Computer Security and Networks,Computer Science
https://www.class-central.com/mooc/338/coursera-social-network-analysis,Coursera,Economics,Social Sciences
https://www.class-central.com/mooc/374/coursera-algorithms-design-and-analysis-part-1,Coursera,Algorithms,Computer Science
https://www.class-central.com/mooc/388/coursera-computing-for-data-analysis,Coursera,Data Analysis,Data Science
https://www.class-central.com/mooc/408/coursera-an-introduction-to-interactive-programming-in-python-part-1,Coursera,Software Development,Computer Science
https://www.class-central.com/mooc/422/coursera-functional-programming-principles-in-scala,Coursera,Software Development,Computer Science
https://www.class-central.com/mooc/546/coursera-foundations-of-business-strategy,Coursera,Business Strategy,Business
https://www.class-central.com/mooc/707/coursera-understanding-economic-policymaking,Coursera,Governance and Society,Social Sciences
https://www.class-central.com/mooc/976/coursera-the-emergence-of-the-modern-middle-east-part-i,Coursera,History,Arts and Humanities
https://www.class-central.com/mooc/1013/coursera-mathematical-methods-for-quantitative-finance,Coursera,Finance,Business
https://www.class-central.com/mooc/1014/coursera-financial-engineering-and-risk-management-part-i,Coursera,Finance,Business
https://www.class-central.com/mooc/1015/coursera-financial-engineering-and-risk-management-part-ii,Coursera,Finance,Business
https://www.class-central.com/mooc/1029/coursera-introduction-to-recommender-systems,Coursera,Machine Learning,Data Science
https://www.class-central.com/mooc/1030/coursera-living-with-dementia-impact-on-individuals-caregivers-communities-and-societies,Coursera,Medicine & Healthcare,Life Sciences
https://www.class-central.com/mooc/1031/coursera-beginning-game-programming-with-c,Coursera,Software Development,Computer Science
https://www.class-central.com/mooc/1041/coursera-linear-circuits,Coursera,Electrical Engineering,Physical Science and Engineering
https://www.class-central.com/mooc/1050/coursera-the-power-of-macroeconomics-economic-principles-in-the-real-world,Coursera,Economics,Social Sciences
https://www.class-central.com/mooc/1051/coursera-economics-of-money-and-banking-part-one,Coursera,Economics,Social Sciences
https://www.class-central.com/mooc/1054/coursera-the-power-of-microeconomics-economic-principles-in-the-real-world,Coursera,Economics,Social Sciences
https://www.class-central.com/mooc/1057/coursera-dino-101-dinosaur-paleobiology,Coursera,Biology,Life Sciences
https://www.class-central.com/mooc/1076/coursera-calculus-two-sequences-and-series,Coursera,Math and Logic,Math and Logic
https://www.class-central.com/mooc/1136/coursera-music-s-big-bang-the-genesis-of-rock-n-roll,Coursera,Music and Art,Arts and Humanities
https://www.class-central.com/mooc/1137/coursera-introduction-to-marketing,Coursera,Marketing,Business
https://www.class-central.com/mooc/1172/coursera-the-kennedy-half-century,Coursera,History,Arts and Humanities
https://www.class-central.com/mooc/1178/coursera-programming-mobile-applications-for-android-handheld-systems-part-1,Coursera,Mobile and Web Development,Computer Science
https://www.class-central.com/mooc/1186/coursera-principles-of-reactive-programming,Coursera,Software Development,Computer Science
https://www.class-central.com/mooc/1196/coursera-economics-of-money-and-banking-part-two,Coursera,Economics,Social Sciences
https://www.class-central.com/mooc/1199/coursera-blended-learning-personalizing-education-for-students,Coursera,Education,Social Sciences
https://www.class-central.com/mooc/1238/coursera-comprendre-les-microcontroleurs,Coursera,Electrical Engineering,Physical Science and Engineering
https://www.class-central.com/mooc/1239/coursera-the-power-of-markets,Coursera,Business Essentials,Business
https://www.class-central.com/mooc/1240/edx-learning-from-data-introductory-machine-learning,edX,Machine Learning,Computer Science
https://www.class-central.com/mooc/1263/coursera-an-exploration-of-symmetry-eligible-for-ntu-credit,Coursera,Math and Logic,Math and Logic
https://www.class-central.com/mooc/1264/coursera-introduction-to-forensic-science,Coursera,Biology,Life Sciences
https://www.class-central.com/mooc/1268/coursera-history-of-the-slave-south,Coursera,History,Arts and Humanities
https://www.class-central.com/mooc/1269/coursera-how-to-change-the-world,Coursera,Philosophy,Arts and Humanities
https://www.class-central.com/mooc/1312/coursera-on-strategy-what-managers-can-learn-from-philosophy-part-1,Coursera,Leadership and Management,Business
https://www.class-central.com/mooc/1313/coursera-an-introduction-to-functional-analysis,Coursera,Math and Logic,Math and Logic
https://www.class-central.com/mooc/1342/coursera-tibetan-buddhist-meditation-and-the-modern-world-lesser-vehicle,Coursera,Philosophy,Arts and Humanities
https://www.class-central.com/mooc/1349/coursera-data-analysis-and-statistical-inference,Coursera,Probability and Statistics,Data Science
https://www.class-central.com/mooc/1351/coursera-introduction-to-chemistry,Coursera,Chemistry,Physical Science and Engineering
https://www.class-central.com/mooc/1355/coursera-buddhism-and-modern-psychology,Coursera,Psychology,Social Sciences
https://www.class-central.com/mooc/1358/coursera-fundamentals-of-music-theory,Coursera,Music and Art,Arts and Humanities
https://www.class-central.com/mooc/1360/coursera-astrotech-the-science-and-technology-behind-astronomical-discovery,Coursera,Physics and Astronomy,Physical Science and Engineering
https://www.class-central.com/mooc/1361/coursera-paradoxes-of-war,Coursera,Governance and Society,Social Sciences
https://www.class-central.com/mooc/1362/coursera-the-brain-and-space,Coursera,Biology,Life Sciences
https://www.class-central.com/mooc/1368/coursera-bioinformatic-methods-i,Coursera,Bioinformatics,Life Sciences
https://www.class-central.com/mooc/1371/coursera-international-leadership-and-organizational-behavior,Coursera,Leadership and Management,Business
https://www.class-central.com/mooc/1372/coursera-globalization-of-business-enterprise,Coursera,Business Strategy,Business
https://www.class-central.com/mooc/1374/coursera-management-of-fashion-and-luxury-companies,Coursera,Leadership and Management,Business
https://www.class-central.com/mooc/1386/coursera-core-concepts-in-data-analysis,Coursera,Data Analysis,Data Science
https://www.class-central.com/mooc/1389/coursera-unethical-decision-making-in-organizations,Coursera,Psychology,Social Sciences
https://www.class-central.com/mooc/1395/coursera-an-introduction-to-consumer-neuroscience-neuromarketing,Coursera,Leadership and Management,Business
https://www.class-central.com/mooc/1402/coursera-sustainable-food-production-through-livestock-health-management,Coursera,Medicine & Healthcare,Life Sciences
https://www.class-central.com/mooc/1403/coursera-the-addicted-brain,Coursera,Biology,Life Sciences
https://www.class-central.com/mooc/1413/coursera-social-entrepreneurship,Coursera,Entrepreneurship,Business
https://www.class-central.com/mooc/1454/coursera-logic-language-and-information-1,Coursera,Math and Logic,Math and Logic
