cliq,freq
"['Arts and Humanities', 'Business', 'Computer Science']",4457
"['Arts and Humanities', 'Computer Science', 'Social Sciences']",4032
"['Arts and Humanities', 'Computer Science', 'Physical Science and Engineering']",3864
"['Arts and Humanities', 'Computer Science', 'Life Sciences']",3718
"['Business', 'Computer Science', 'Social Sciences']",3583
"['Arts and Humanities', 'Business', 'Life Sciences']",3539
"['Computer Science', 'Physical Science and Engineering', 'Social Sciences']",3475
"['Arts and Humanities', 'Computer Science', 'Data Science']",3372
"['Arts and Humanities', 'Business', 'Social Sciences']",3349
"['Business', 'Computer Science', 'Physical Science and Engineering']",3214
"['Arts and Humanities', 'Computer Science', 'Computer Science']",3195
"['Business', 'Computer Science', 'Life Sciences']",3143
"['Arts and Humanities', 'Life Sciences', 'Social Sciences']",3082
"['Computer Science', 'Life Sciences', 'Physical Science and Engineering']",3023
"['Business', 'Computer Science', 'Data Science']",3007
"['Arts and Humanities', 'Life Sciences', 'Physical Science and Engineering']",2963
"['Computer Science', 'Life Sciences', 'Social Sciences']",2932
"['Business', 'Computer Science', 'Computer Science']",2882
"['Arts and Humanities', 'Business', 'Physical Science and Engineering']",2866
"['Arts and Humanities', 'Physical Science and Engineering', 'Social Sciences']",2863
"['Computer Science', 'Computer Science', 'Social Sciences']",2804
"['Computer Science', 'Data Science', 'Social Sciences']",2723
"['Computer Science', 'Computer Science', 'Physical Science and Engineering']",2647
"['Computer Science', 'Computer Science', 'Data Science']",2567
"['Arts and Humanities', 'Arts and Humanities', 'Computer Science']",2500
"['Business', 'Life Sciences', 'Social Sciences']",2466
"['Arts and Humanities', 'Business', 'Data Science']",2394
"['Computer Science', 'Data Science', 'Physical Science and Engineering']",2375
"['Life Sciences', 'Physical Science and Engineering', 'Social Sciences']",2365
"['Business', 'Physical Science and Engineering', 'Social Sciences']",2329
"['Arts and Humanities', 'Arts and Humanities', 'Business']",2309
"['Computer Science', 'Data Science', 'Life Sciences']",2259
"['Arts and Humanities', 'Arts and Humanities', 'Life Sciences']",2254
"['Business', 'Life Sciences', 'Physical Science and Engineering']",2209
"['Arts and Humanities', 'Data Science', 'Life Sciences']",2125
"['Computer Science', 'Computer Science', 'Life Sciences']",2107
"['Arts and Humanities', 'Data Science', 'Social Sciences']",2063
"['Arts and Humanities', 'Arts and Humanities', 'Social Sciences']",1900
"['Arts and Humanities', 'Data Science', 'Physical Science and Engineering']",1852
