cliq,freq
"['Biology & Life Sciences', 'Computer Science', 'Computer Science']",51
"['Biology & Life Sciences', 'Computer Science', 'Software Development']",48
"['Biology & Life Sciences', 'Computer Science', 'Math and Logic']",43
"['Biology & Life Sciences', 'Computer Science', 'Education']",39
"['Computer Science', 'Computer Science', 'Software Development']",39
"['Biology & Life Sciences', 'Computer Science', 'History']",39
"['Biology & Life Sciences', 'Business & Management', 'Computer Science']",39
"['Biology & Life Sciences', 'Computer Science', 'Social Sciences']",39
"['Biology & Life Sciences', 'Communication', 'Computer Science']",38
"['Computer Science', 'Economics & Finance', 'History']",38
"['Biology & Life Sciences', 'Computer Science', 'Environmental Studies']",37
"['Biology & Life Sciences', 'Computer Science', 'Law']",37
"['Computer Science', 'Computer Science', 'Math and Logic']",36
"['Biology & Life Sciences', 'Computer Science', 'Humanities']",36
"['Computer Science', 'History', 'Physics and Astronomy']",36
"['Computer Science', 'History', 'Software Development']",34
"['Computer Science', 'Math and Logic', 'Software Development']",34
"['Computer Science', 'Computer Science', 'Education']",33
"['Business & Management', 'Computer Science', 'Computer Science']",33
"['Computer Science', 'Computer Science', 'Social Sciences']",33
"['Computer Science', 'Education', 'Software Development']",30
"['Business & Management', 'Computer Science', 'Software Development']",30
"['Computer Science', 'Social Sciences', 'Software Development']",30
"['Computer Science', 'Computer Science', 'History']",30
"['Computer Science', 'Computer Science', 'Environmental Studies']",30
"['Computer Science', 'Computer Science', 'Law']",30
"['Computer Science', 'Computer Science', 'Humanities']",30
"['Communication', 'Computer Science', 'Computer Science']",30
"['Computer Science', 'Entrepreneurship', 'History']",29
"['Computer Science', 'History', 'Math and Logic']",28
"['Environmental Science and Sustainability', 'Music and Art', 'Psychology']",28
"['Business & Management', 'Computer Science', 'Education']",27
"['Computer Science', 'Education', 'Math and Logic']",27
"['Computer Science', 'Education', 'Social Sciences']",27
"['Biology & Life Sciences', 'Computer Science', 'Physics and Astronomy']",27
"['Business & Management', 'Computer Science', 'Math and Logic']",27
"['Business & Management', 'Computer Science', 'Social Sciences']",27
"['Computer Science', 'Math and Logic', 'Social Sciences']",27
"['Biology & Life Sciences', 'Computer Science', 'Music and Art']",25
"['Computer Science', 'Environmental Studies', 'Software Development']",25
"['Communication', 'Computer Science', 'Environmental Studies']",25
"['Communication', 'Computer Science', 'Law']",25
"['Communication', 'Computer Science', 'Software Development']",25
"['Computer Science', 'Law', 'Math and Logic']",25
"['Computer Security and Networks', 'Music and Art', 'Psychology']",25
"['Data Analysis', 'Music and Art', 'Psychology']",25
"['Computer Science', 'Physics and Astronomy', 'Software Development']",24
"['Computer Science', 'Music and Art', 'Software Development']",24
"['Computer Science', 'Computer Science', 'Physics and Astronomy']",24
"['Computer Science', 'Environmental Studies', 'Math and Logic']",24
"['Computer Science', 'Humanities', 'Math and Logic']",24
"['Communication', 'Computer Science', 'Math and Logic']",24
"['Computer Science', 'Environmental Studies', 'Social Sciences']",24
"['Business & Management', 'Computer Science', 'Environmental Studies']",24
"['Computer Science', 'Environmental Studies', 'Law']",24
"['Computer Science', 'Education', 'Environmental Studies']",24
"['Computer Science', 'Environmental Studies', 'Humanities']",24
"['Computer Science', 'Law', 'Social Sciences']",24
"['Computer Science', 'Humanities', 'Social Sciences']",24
"['Communication', 'Computer Science', 'Social Sciences']",24
"['Business & Management', 'Computer Science', 'Law']",24
"['Business & Management', 'Computer Science', 'Humanities']",24
"['Business & Management', 'Communication', 'Computer Science']",24
"['Computer Science', 'Education', 'Law']",24
"['Computer Science', 'Law', 'Software Development']",24
"['Computer Science', 'Humanities', 'Law']",24
"['Computer Science', 'Education', 'Humanities']",24
"['Communication', 'Computer Science', 'Education']",24
"['Computer Science', 'Humanities', 'Software Development']",24
"['Communication', 'Computer Science', 'Humanities']",24
"['Economics & Finance', 'History', 'Physics and Astronomy']",24
"['Economics & Finance', 'Entrepreneurship', 'History']",24
"['Biology & Life Sciences', 'Computer Science', 'Machine Learning']",24
"['Biology & Life Sciences', 'Computer Science', 'Governance and Society']",23
"['Computer Science', 'History', 'History']",23
"['Computer Science', 'Math and Logic', 'Physics and Astronomy']",23
"['Computer Science', 'Machine Learning', 'Software Development']",22
"['Computer Science', 'Computer Science', 'Computer Science']",22
"['Music and Art', 'Psychology', 'Software Development']",22
"['Economics', 'Music and Art', 'Psychology']",22
"['Computer Science', 'Computer Science', 'Music and Art']",21
"['Biology & Life Sciences', 'Computer Science', 'Engineering']",21
"['Computer Science', 'Governance and Society', 'Software Development']",21
"['Biology', 'Biology & Life Sciences', 'Computer Science']",21
"['Biology & Life Sciences', 'Computer Science', 'Medicine & Healthcare']",21
"['Biology & Life Sciences', 'Computer Science', 'Data Analysis']",21
"['Entrepreneurship', 'History', 'Physics and Astronomy']",21
"['Music and Art', 'Music and Art', 'Psychology']",20
"['Business & Management', 'Computer Science', 'Music and Art']",19
"['Computer Science', 'Computer Science', 'Engineering']",19
"['Biology & Life Sciences', 'Computer Science', 'Electronics']",19
"['Economics & Finance', 'History', 'History']",19
"['Computer Science', 'Math and Logic', 'Music and Art']",19
"['Computer Science', 'Psychology', 'Software Development']",18
"['Computer Science', 'Education', 'Music and Art']",18
"['Biology & Life Sciences', 'Computer Science', 'Design and Product']",18
"['Biology & Life Sciences', 'Clinical Science', 'Computer Science']",18
"['Computer Science', 'Music and Art', 'Social Sciences']",18
"['Computer Science', 'Computer Science', 'Machine Learning']",18
"['Computer Science', 'Computer Science', 'Governance and Society']",18
"['Biology & Life Sciences', 'Computer Science', 'Education & Teacher Training']",18
"['Biology & Life Sciences', 'Biology & Life Sciences', 'Computer Science']",18
"['Algorithms', 'Biology & Life Sciences', 'Computer Science']",18
"['Communication', 'Computer Science', 'History']",18
"['Computer Science', 'Economics & Finance', 'Physics and Astronomy']",18
"['Computer Science', 'Economics & Finance', 'Entrepreneurship']",18
"['Business & Management', 'Computer Science', 'History']",17
"['Business & Management', 'Computer Science', 'Machine Learning']",17
"['Computer Science', 'Entrepreneurship', 'Physics and Astronomy']",17
"['Computer Science', 'Machine Learning', 'Math and Logic']",17
"['Computer Science', 'Governance and Society', 'Math and Logic']",17
"['Computer Science', 'History', 'Music and Art']",17
"['Computer Security and Networks', 'Data Analysis', 'Music and Art']",17
"['Biology & Life Sciences', 'History', 'Physics and Astronomy']",16
"['Business & Management', 'Computer Science', 'Physics and Astronomy']",16
"['Computer Science', 'Environmental Studies', 'History']",16
"['Education', 'Music and Art', 'Psychology']",16
"['Math and Logic', 'Music and Art', 'Psychology']",16
"['Data Analysis', 'Environmental Science and Sustainability', 'Music and Art']",16
"['Computer Security and Networks', 'Environmental Science and Sustainability', 'Music and Art']",16
"['Machine Learning', 'Psychology', 'Software Development']",15
"['Computer Science', 'Education', 'History']",15
"['Computer Science', 'Education', 'Physics and Astronomy']",15
"['Computer Science', 'Education', 'Machine Learning']",15
"['Computer Science', 'Education', 'Governance and Society']",15
"['Biology & Life Sciences', 'Math and Logic', 'Software Development']",15
"['Computer Science', 'Computer Science', 'Design and Product']",15
"['Clinical Science', 'Computer Science', 'Computer Science']",15
"['Computer Science', 'History', 'Social Sciences']",15
"['Computer Science', 'Physics and Astronomy', 'Social Sciences']",15
"['Computer Science', 'Machine Learning', 'Social Sciences']",15
"['Business & Management', 'Computer Science', 'Governance and Society']",15
"['Computer Science', 'Governance and Society', 'Social Sciences']",15
"['Biology', 'Computer Science', 'Computer Science']",15
"['Computer Science', 'Computer Science', 'Medicine & Healthcare']",15
"['Computer Science', 'Computer Science', 'Education & Teacher Training']",15
"['Computer Science', 'Computer Science', 'Electronics']",15
"['Computer Science', 'Computer Science', 'Data Analysis']",15
"['Algorithms', 'Computer Science', 'Computer Science']",15
"['Computer Science', 'Data Analysis', 'Software Development']",15
"['Computer Science', 'History', 'Law']",15
"['Computer Science', 'Music and Art', 'Physics and Astronomy']",15
"['Bioinformatics', 'Computer Science', 'Music and Art']",15
"['Bioinformatics', 'Computer Science', 'Psychology']",15
"['Entrepreneurship', 'History', 'History']",15
"['Entrepreneurship', 'History', 'Math and Logic']",15
"['Biology & Life Sciences', 'Education', 'Software Development']",14
"['Computer Science', 'Medicine & Healthcare', 'Software Development']",14
"['Biology & Life Sciences', 'Business & Management', 'Software Development']",14
"['Biology & Life Sciences', 'Social Sciences', 'Software Development']",14
"['Biology', 'Communication', 'Computer Science']",14
"['Economics & Finance', 'History', 'Software Development']",14
"['Biology & Life Sciences', 'Economics & Finance', 'History']",14
"['Biology', 'Computer Science', 'Software Development']",14
"['Computer Science', 'Governance and Society', 'Law']",14
"['Computer Science', 'Economics', 'Psychology']",14
"['Computer Science', 'Music and Art', 'Psychology']",14
"['Biology', 'Computer Science', 'Math and Logic']",14
"['Computer Science', 'Data Analysis', 'Math and Logic']",14
"['Computer Science', 'Law', 'Physics and Astronomy']",14
"['History', 'Math and Logic', 'Software Development']",14
"['Music and Art', 'Psychology', 'Psychology']",14
"['Bioinformatics', 'Leadership and Management', 'Physics and Astronomy']",14
"['Music and Art', 'Philosophy', 'Psychology']",14
"['Biology', 'Music and Art', 'Psychology']",14
"['Biology & Life Sciences', 'Business & Management', 'Education']",13
"['Biology & Life Sciences', 'Education', 'Math and Logic']",13
"['Biology & Life Sciences', 'Education', 'Social Sciences']",13
"['Biology & Life Sciences', 'History', 'Software Development']",13
"['Computer Science', 'Machine Learning', 'Music and Art']",13
"['Communication', 'Computer Science', 'Music and Art']",13
"['Biology', 'Computer Science', 'Environmental Studies']",13
"['Biology', 'Computer Science', 'Law']",13
"['Computer Science', 'Electronics', 'Environmental Studies']",13
"['Computer Science', 'Engineering', 'Environmental Studies']",13
"['Computer Science', 'Law', 'Medicine & Healthcare']",13
"['Communication', 'Computer Science', 'Medicine & Healthcare']",13
