cliq,freq
"['History', 'History', 'Medicine & Healthcare']",247
"['Computer Science', 'Mobile and Web Development', 'Software Development']",202
"['Biology & Life Sciences', 'Computer Science', 'History']",193
"['Data Analysis', 'Mobile and Web Development', 'Software Development']",191
"['History', 'History', 'Music and Art']",191
"['Biology & Life Sciences', 'History', 'History']",190
"['Education', 'History', 'History']",188
"['Computer Science', 'History', 'Medicine & Healthcare']",187
"['Computer Science', 'History', 'Mobile and Web Development']",181
"['Finance', 'History', 'History']",181
"['Education', 'History', 'Medicine & Healthcare']",180
"['History', 'Medicine & Healthcare', 'Music and Art']",179
"['Entrepreneurship', 'History', 'History']",175
"['Computer Science', 'History', 'Music and Art']",174
"['Finance', 'History', 'Medicine & Healthcare']",171
"['History', 'Mobile and Web Development', 'Software Development']",170
"['History', 'History', 'History']",170
"['Biology & Life Sciences', 'Computer Science', 'Computer Science']",169
"['Computer Science', 'History', 'History']",166
"['Biology & Life Sciences', 'Computer Science', 'Social Sciences']",157
"['Finance', 'History', 'Music and Art']",157
"['Computer Science', 'Computer Science', 'Social Sciences']",156
"['History', 'Mobile and Web Development', 'Music and Art']",155
"['Biology & Life Sciences', 'History', 'Medicine & Healthcare']",154
"['Computer Science', 'Data Analysis', 'Mobile and Web Development']",151
"['Education', 'History', 'Music and Art']",151
"['Entrepreneurship', 'History', 'Medicine & Healthcare']",150
"['Biology & Life Sciences', 'Business & Management', 'Computer Science']",148
"['Computer Science', 'Computer Science', 'Software Development']",147
"['Computer Science', 'History', 'Software Development']",147
"['Education', 'Finance', 'History']",147
"['Data Analysis', 'History', 'Mobile and Web Development']",146
"['Entrepreneurship', 'History', 'Music and Art']",143
"['Computer Science', 'Finance', 'History']",142
"['History', 'History', 'Mobile and Web Development']",140
"['Biology & Life Sciences', 'Computer Science', 'Software Development']",139
"['Mobile and Web Development', 'Psychology', 'Software Development']",139
"['Biology & Life Sciences', 'Business & Management', 'History']",136
"['Computer Science', 'Data Analysis', 'History']",136
"['Machine Learning', 'Mobile and Web Development', 'Software Development']",136
"['Mobile and Web Development', 'Mobile and Web Development', 'Software Development']",136
"['Computer Science', 'Education', 'History']",136
"['History', 'Medicine & Healthcare', 'Mobile and Web Development']",136
"['Computer Science', 'Engineering', 'Social Sciences']",132
"['Computer Science', 'Computer Science', 'Engineering']",132
"['Business & Management', 'Computer Science', 'History']",132
"['Computer Science', 'Data Analysis', 'Software Development']",131
"['Education', 'History', 'Mobile and Web Development']",131
"['Business & Management', 'History', 'History']",130
"['Business Essentials', 'Mobile and Web Development', 'Software Development']",130
"['Computer Science', 'Social Sciences', 'Software Development']",128
"['Biology & Life Sciences', 'History', 'Music and Art']",128
"['Biology', 'History', 'History']",128
"['Education', 'Entrepreneurship', 'History']",128
"['Data Analysis & Statistics', 'History', 'History']",126
"['Computer Science', 'Mobile and Web Development', 'Music and Art']",125
"['Entrepreneurship', 'Finance', 'History']",125
"['Data Analysis & Statistics', 'History', 'Medicine & Healthcare']",121
"['Environmental Science and Sustainability', 'History', 'History']",121
"['Biology', 'History', 'Medicine & Healthcare']",121
"['Biology & Life Sciences', 'Computer Science', 'Engineering']",120
"['Data Analysis', 'Mobile and Web Development', 'Music and Art']",120
"['Biology & Life Sciences', 'Computer Science', 'Math']",118
"['Computer Science', 'Engineering', 'History']",118
"['Finance', 'History', 'Mobile and Web Development']",118
"['Biology & Life Sciences', 'Biology & Life Sciences', 'Computer Science']",117
