cliq,freq
"['Arts and Humanities', 'Business', 'Computer Science']",3765
"['Arts and Humanities', 'Business', 'Life Sciences']",3005
"['Arts and Humanities', 'Computer Science', 'Social Sciences']",2964
"['Business', 'Computer Science', 'Social Sciences']",2841
"['Arts and Humanities', 'Business', 'Social Sciences']",2807
"['Arts and Humanities', 'Computer Science', 'Data Science']",2755
"['Arts and Humanities', 'Computer Science', 'Life Sciences']",2726
"['Business', 'Computer Science', 'Data Science']",2546
"['Business', 'Computer Science', 'Life Sciences']",2483
"['Arts and Humanities', 'Computer Science', 'Computer Science']",2440
"['Business', 'Computer Science', 'Computer Science']",2350
"['Arts and Humanities', 'Computer Science', 'Physical Science and Engineering']",2323
"['Arts and Humanities', 'Life Sciences', 'Social Sciences']",2220
"['Business', 'Computer Science', 'Physical Science and Engineering']",2201
"['Arts and Humanities', 'Business', 'Physical Science and Engineering']",2142
"['Computer Science', 'Computer Science', 'Data Science']",2082
"['Arts and Humanities', 'Arts and Humanities', 'Business']",2068
"['Arts and Humanities', 'Business', 'Data Science']",2036
"['Computer Science', 'Data Science', 'Social Sciences']",2014
"['Arts and Humanities', 'Arts and Humanities', 'Computer Science']",2004
"['Computer Science', 'Computer Science', 'Social Sciences']",1946
"['Business', 'Life Sciences', 'Social Sciences']",1899
"['Computer Science', 'Life Sciences', 'Social Sciences']",1883
"['Computer Science', 'Physical Science and Engineering', 'Social Sciences']",1872
"['Arts and Humanities', 'Arts and Humanities', 'Life Sciences']",1870
"['Arts and Humanities', 'Life Sciences', 'Physical Science and Engineering']",1856
"['Arts and Humanities', 'Physical Science and Engineering', 'Social Sciences']",1743
"['Computer Science', 'Data Science', 'Life Sciences']",1635
"['Computer Science', 'Life Sciences', 'Physical Science and Engineering']",1618
"['Business', 'Physical Science and Engineering', 'Social Sciences']",1598
"['Arts and Humanities', 'Data Science', 'Life Sciences']",1598
"['Business', 'Business', 'Computer Science']",1589
"['Arts and Humanities', 'Business', 'Business']",1577
"['Arts and Humanities', 'Data Science', 'Social Sciences']",1535
"['Arts and Humanities', 'Arts and Humanities', 'Social Sciences']",1527
"['Business', 'Life Sciences', 'Physical Science and Engineering']",1515
"['Computer Science', 'Computer Science', 'Physical Science and Engineering']",1453
"['Computer Science', 'Data Science', 'Physical Science and Engineering']",1442
"['Business', 'Data Science', 'Social Sciences']",1394
"['Computer Science', 'Computer Science', 'Life Sciences']",1394
"['Business', 'Data Science', 'Life Sciences']",1338
"['Arts and Humanities', 'Arts and Humanities', 'Physical Science and Engineering']",1239
"['Arts and Humanities', 'Life Sciences', 'Life Sciences']",1234
"['Life Sciences', 'Physical Science and Engineering', 'Social Sciences']",1232
"['Computer Science', 'Computer Science', 'Computer Science']",1231
"['Arts and Humanities', 'Data Science', 'Physical Science and Engineering']",1166
