cliq,freq
"['Computer Science', 'Math and Logic', 'Medicine & Healthcare']",48
"['Computer Science', 'History', 'Medicine & Healthcare']",47
"['Computer Science', 'Governance and Society', 'Medicine & Healthcare']",40
"['Algorithms', 'Computer Science', 'Medicine & Healthcare']",37
"['Computer Science', 'Medicine & Healthcare', 'Medicine & Healthcare']",35
"['History', 'Math and Logic', 'Medicine & Healthcare']",34
"['Biology', 'Computer Science', 'Medicine & Healthcare']",32
"['Computer Science', 'History', 'Math and Logic']",31
"['Governance and Society', 'History', 'Medicine & Healthcare']",30
"['Computer Science', 'Computer Science', 'Medicine & Healthcare']",27
"['Economics', 'History', 'Medicine & Healthcare']",27
"['History', 'Medicine & Healthcare', 'Software Development']",24
"['Algorithms', 'Computer Science', 'Math and Logic']",23
"['Algorithms', 'Math and Logic', 'Medicine & Healthcare']",23
"['History', 'Medicine & Healthcare', 'Medicine & Healthcare']",22
"['Governance and Society', 'Math and Logic', 'Medicine & Healthcare']",22
"['Economics', 'History', 'Software Development']",22
"['Computer Science', 'Governance and Society', 'Math and Logic']",21
"['Math and Logic', 'Medicine & Healthcare', 'Medicine & Healthcare']",20
"['Algorithms', 'Computer Science', 'History']",20
"['Governance and Society', 'History', 'Math and Logic']",20
"['Biology', 'History', 'Medicine & Healthcare']",20
"['Computer Science', 'Governance and Society', 'History']",20
"['Governance and Society', 'Medicine & Healthcare', 'Medicine & Healthcare']",20
"['Algorithms', 'History', 'Medicine & Healthcare']",19
"['Biology', 'Governance and Society', 'Medicine & Healthcare']",19
"['Algorithms', 'Biology', 'Computer Science']",19
"['Economics', 'History', 'Music and Art']",19
"['Biology', 'Math and Logic', 'Medicine & Healthcare']",18
"['Computer Science', 'Entrepreneurship', 'Medicine & Healthcare']",18
"['History', 'Medicine & Healthcare', 'Music and Art']",18
"['Computer Science', 'Machine Learning', 'Math and Logic']",17
"['Machine Learning', 'Math and Logic', 'Medicine & Healthcare']",17
"['Biology', 'Computer Science', 'Governance and Society']",17
"['Biology', 'Computer Science', 'History']",17
"['Computer Science', 'Medicine & Healthcare', 'Software Development']",17
"['Biology & Life Sciences', 'Computer Science', 'Medicine & Healthcare']",17
"['Computer Science', 'Economics', 'Medicine & Healthcare']",17
"['Economics', 'Medicine & Healthcare', 'Software Development']",17
"['Biology', 'Computer Science', 'Math and Logic']",16
