cliq,freq
"['Computer Science', 'Life Sciences', 'Physical Science and Engineering', 'Social Sciences']",2617
"['Computer Science', 'Computer Science', 'Life Sciences', 'Social Sciences']",2396
"['Business', 'Computer Science', 'Life Sciences', 'Social Sciences']",2320
"['Computer Science', 'Life Sciences', 'Social Sciences', 'Social Sciences']",2037
"['Computer Science', 'Computer Science', 'Physical Science and Engineering', 'Social Sciences']",1940
"['Business', 'Computer Science', 'Physical Science and Engineering', 'Social Sciences']",1812
"['Business', 'Computer Science', 'Computer Science', 'Social Sciences']",1691
"['Computer Science', 'Physical Science and Engineering', 'Social Sciences', 'Social Sciences']",1611
"['Business', 'Computer Science', 'Social Sciences', 'Social Sciences']",1493
"['Computer Science', 'Computer Science', 'Social Sciences', 'Social Sciences']",1490
"['Computer Science', 'Computer Science', 'Life Sciences', 'Physical Science and Engineering']",1441
"['Business', 'Computer Science', 'Life Sciences', 'Physical Science and Engineering']",1383
"['Computer Science', 'Life Sciences', 'Life Sciences', 'Social Sciences']",1323
"['Arts and Humanities', 'Computer Science', 'Life Sciences', 'Social Sciences']",1303
"['Computer Science', 'Data Science', 'Life Sciences', 'Social Sciences']",1257
"['Business', 'Computer Science', 'Computer Science', 'Life Sciences']",1224
"['Business', 'Life Sciences', 'Physical Science and Engineering', 'Social Sciences']",1096
"['Computer Science', 'Life Sciences', 'Math and Logic', 'Social Sciences']",1065
"['Business', 'Computer Science', 'Computer Science', 'Physical Science and Engineering']",1058
"['Computer Science', 'Computer Science', 'Computer Science', 'Social Sciences']",1034
"['Arts and Humanities', 'Computer Science', 'Physical Science and Engineering', 'Social Sciences']",1018
"['Arts and Humanities', 'Business', 'Computer Science', 'Social Sciences']",973
"['Life Sciences', 'Physical Science and Engineering', 'Social Sciences', 'Social Sciences']",971
"['Business', 'Computer Science', 'Data Science', 'Social Sciences']",966
"['Computer Science', 'Language Learning', 'Life Sciences', 'Social Sciences']",960
"['Computer Science', 'Data Science', 'Physical Science and Engineering', 'Social Sciences']",944
"['Arts and Humanities', 'Computer Science', 'Computer Science', 'Social Sciences']",933
"['Business', 'Life Sciences', 'Social Sciences', 'Social Sciences']",904
"['Computer Science', 'Computer Science', 'Data Science', 'Social Sciences']",896
"['Arts and Humanities', 'Business', 'Computer Science', 'Physical Science and Engineering']",888
"['Arts and Humanities', 'Computer Science', 'Life Sciences', 'Physical Science and Engineering']",887
"['Arts and Humanities', 'Computer Science', 'Social Sciences', 'Social Sciences']",882
"['Computer Science', 'Math and Logic', 'Physical Science and Engineering', 'Social Sciences']",870
"['Computer Science', 'Physical Science and Engineering', 'Physical Science and Engineering', 'Social Sciences']",835
"['Computer Science', 'Data Science', 'Social Sciences', 'Social Sciences']",826
"['Computer Science', 'Language Learning', 'Physical Science and Engineering', 'Social Sciences']",800
"['Computer Science', 'Life Sciences', 'Life Sciences', 'Physical Science and Engineering']",796
"['Computer Science', 'Computer Science', 'Math and Logic', 'Social Sciences']",790
"['Arts and Humanities', 'Business', 'Computer Science', 'Life Sciences']",777
"['Computer Science', 'Computer Science', 'Computer Science', 'Life Sciences']",756
