cliq,freq
"['Computer Security and Networks', 'Data Analysis', 'Music and Art', 'Psychology']",49
"['Data Analysis', 'Environmental Science and Sustainability', 'Music and Art', 'Psychology']",48
"['Computer Security and Networks', 'Environmental Science and Sustainability', 'Music and Art', 'Psychology']",48
"['Data Analysis', 'Music and Art', 'Music and Art', 'Psychology']",36
"['Computer Security and Networks', 'Music and Art', 'Music and Art', 'Psychology']",36
"['Environmental Science and Sustainability', 'Music and Art', 'Music and Art', 'Psychology']",36
"['Computer Security and Networks', 'Data Analysis', 'Environmental Science and Sustainability', 'Music and Art']",32
"['Data Analysis', 'Music and Art', 'Philosophy', 'Psychology']",26
"['Biology', 'Data Analysis', 'Music and Art', 'Psychology']",26
"['Bioinformatics', 'Business Strategy', 'Leadership and Management', 'Physics and Astronomy']",24
"['Data Analysis', 'Music', 'Music and Art', 'Psychology']",24
"['Computer Security and Networks', 'Music', 'Music and Art', 'Psychology']",24
"['Environmental Science and Sustainability', 'Music', 'Music and Art', 'Psychology']",24
"['Computer Security and Networks', 'Music and Art', 'Philosophy', 'Psychology']",24
"['Environmental Science and Sustainability', 'Music and Art', 'Philosophy', 'Psychology']",24
"['Biology', 'Computer Security and Networks', 'Music and Art', 'Psychology']",24
"['Biology', 'Environmental Science and Sustainability', 'Music and Art', 'Psychology']",24
"['Computer Security and Networks', 'Data Analysis', 'Environmental Science and Sustainability', 'Psychology']",24
"['Computer Security and Networks', 'Data Analysis', 'Music and Art', 'Music and Art']",24
"['Data Analysis', 'Humanities', 'Music and Art', 'Psychology']",24
"['Data Analysis', 'Music and Art', 'Psychology', 'Psychology']",24
"['Data Analysis', 'Economics', 'Music and Art', 'Psychology']",24
"['Data Analysis', 'Mechanical Engineering', 'Music and Art', 'Psychology']",24
"['Data Analysis', 'Math and Logic', 'Music and Art', 'Psychology']",24
"['Data Analysis', 'Music and Art', 'Psychology', 'Software Development']",24
"['Data Analysis', 'Education', 'Music and Art', 'Psychology']",24
"['Data Analysis', 'Environmental Science and Sustainability', 'Music and Art', 'Music and Art']",24
"['Computer Security and Networks', 'Humanities', 'Music and Art', 'Psychology']",24
"['Computer Security and Networks', 'Music and Art', 'Psychology', 'Psychology']",24
"['Computer Security and Networks', 'Economics', 'Music and Art', 'Psychology']",24
"['Computer Security and Networks', 'Mechanical Engineering', 'Music and Art', 'Psychology']",24
"['Computer Security and Networks', 'Math and Logic', 'Music and Art', 'Psychology']",24
"['Computer Security and Networks', 'Music and Art', 'Psychology', 'Software Development']",24
"['Computer Security and Networks', 'Education', 'Music and Art', 'Psychology']",24
"['Computer Security and Networks', 'Environmental Science and Sustainability', 'Music and Art', 'Music and Art']",24
"['Environmental Science and Sustainability', 'Humanities', 'Music and Art', 'Psychology']",24
"['Environmental Science and Sustainability', 'Music and Art', 'Psychology', 'Psychology']",24
"['Economics', 'Environmental Science and Sustainability', 'Music and Art', 'Psychology']",24
"['Environmental Science and Sustainability', 'Mechanical Engineering', 'Music and Art', 'Psychology']",24
"['Environmental Science and Sustainability', 'Math and Logic', 'Music and Art', 'Psychology']",24
"['Environmental Science and Sustainability', 'Music and Art', 'Psychology', 'Software Development']",24
"['Education', 'Environmental Science and Sustainability', 'Music and Art', 'Psychology']",24
"['Music and Art', 'Music and Art', 'Philosophy', 'Psychology']",19
"['Biology', 'Music and Art', 'Music and Art', 'Psychology']",19
"['Music', 'Music and Art', 'Music and Art', 'Psychology']",18
"['Humanities', 'Music and Art', 'Music and Art', 'Psychology']",18
"['Music and Art', 'Music and Art', 'Psychology', 'Psychology']",18
"['Economics', 'Music and Art', 'Music and Art', 'Psychology']",18
"['Mechanical Engineering', 'Music and Art', 'Music and Art', 'Psychology']",18
"['Math and Logic', 'Music and Art', 'Music and Art', 'Psychology']",18
"['Music and Art', 'Music and Art', 'Psychology', 'Software Development']",18
"['Education', 'Music and Art', 'Music and Art', 'Psychology']",18
"['Computer Security and Networks', 'Data Analysis', 'Music', 'Music and Art']",16
"['Data Analysis', 'Environmental Science and Sustainability', 'Music', 'Music and Art']",16
"['Computer Security and Networks', 'Environmental Science and Sustainability', 'Music', 'Music and Art']",16
"['Computer Security and Networks', 'Data Analysis', 'Music and Art', 'Philosophy']",16
"['Data Analysis', 'Environmental Science and Sustainability', 'Music and Art', 'Philosophy']",16
"['Computer Security and Networks', 'Environmental Science and Sustainability', 'Music and Art', 'Philosophy']",16
"['Biology', 'Computer Security and Networks', 'Data Analysis', 'Music and Art']",16
"['Biology', 'Data Analysis', 'Environmental Science and Sustainability', 'Music and Art']",16
"['Biology', 'Computer Security and Networks', 'Environmental Science and Sustainability', 'Music and Art']",16
"['Computer Security and Networks', 'Data Analysis', 'Humanities', 'Music and Art']",16
"['Computer Security and Networks', 'Data Analysis', 'Economics', 'Music and Art']",16
"['Computer Security and Networks', 'Data Analysis', 'Mechanical Engineering', 'Music and Art']",16
"['Computer Security and Networks', 'Data Analysis', 'Math and Logic', 'Music and Art']",16
"['Computer Security and Networks', 'Data Analysis', 'Music and Art', 'Software Development']",16
"['Computer Security and Networks', 'Data Analysis', 'Education', 'Music and Art']",16
"['Data Analysis', 'Environmental Science and Sustainability', 'Humanities', 'Music and Art']",16
"['Data Analysis', 'Economics', 'Environmental Science and Sustainability', 'Music and Art']",16
"['Data Analysis', 'Environmental Science and Sustainability', 'Mechanical Engineering', 'Music and Art']",16
"['Data Analysis', 'Environmental Science and Sustainability', 'Math and Logic', 'Music and Art']",16
"['Data Analysis', 'Environmental Science and Sustainability', 'Music and Art', 'Software Development']",16
"['Data Analysis', 'Education', 'Environmental Science and Sustainability', 'Music and Art']",16
"['Computer Security and Networks', 'Environmental Science and Sustainability', 'Humanities', 'Music and Art']",16
"['Computer Security and Networks', 'Economics', 'Environmental Science and Sustainability', 'Music and Art']",16
"['Computer Security and Networks', 'Environmental Science and Sustainability', 'Mechanical Engineering', 'Music and Art']",16
"['Computer Security and Networks', 'Environmental Science and Sustainability', 'Math and Logic', 'Music and Art']",16
