"","V1","V2","V3"
"result.1","Physical Science and Engineering","Social Sciences","Data Science"
"result.2","Physical Science and Engineering","Social Sciences","Computer Science"
"result.3","Physical Science and Engineering","Social Sciences","Arts and Humanities"
"result.4","Physical Science and Engineering","Data Science","Computer Science"
"result.5","Physical Science and Engineering","Data Science","Arts and Humanities"
"result.6","Physical Science and Engineering","Computer Science","Arts and Humanities"
"result.7","Arts and Humanities","Social Sciences","Computer Science"
"result.8","Arts and Humanities","Social Sciences","Computer Science"
"result.9","Arts and Humanities","Social Sciences","Business"
"result.10","Arts and Humanities","Social Sciences","Social Sciences"
"result.11","Arts and Humanities","Computer Science","Computer Science"
"result.12","Arts and Humanities","Computer Science","Business"
"result.13","Arts and Humanities","Computer Science","Social Sciences"
"result.14","Arts and Humanities","Computer Science","Business"
"result.15","Arts and Humanities","Computer Science","Social Sciences"
"result.16","Arts and Humanities","Business","Social Sciences"
"result.17","Social Sciences","Computer Science","Computer Science"
"result.18","Social Sciences","Computer Science","Business"
"result.19","Social Sciences","Computer Science","Social Sciences"
"result.20","Social Sciences","Computer Science","Business"
"result.21","Social Sciences","Computer Science","Social Sciences"
"result.22","Social Sciences","Business","Social Sciences"
"result.23","Computer Science","Computer Science","Business"
"result.24","Computer Science","Computer Science","Social Sciences"
"result.25","Computer Science","Business","Social Sciences"
"result.26","Social Sciences","Computer Science","Computer Science"
"result.27","Social Sciences","Data Science","Computer Science"
"result.28","Social Sciences","Data Science","Arts and Humanities"
"result.29","Social Sciences","Computer Science","Arts and Humanities"
"result.30","Data Science","Computer Science","Arts and Humanities"
"result.31","Computer Science","Business","Social Sciences"
