"","V1","V2","V3"
"result.1","Social Sciences","Social Sciences","Computer Science"
"result.2","Social Sciences","Social Sciences","Business"
"result.3","Social Sciences","Social Sciences","Business"
"result.4","Social Sciences","Social Sciences","Arts and Humanities"
"result.5","Social Sciences","Social Sciences","Physical Science and Engineering"
"result.6","Social Sciences","Social Sciences","Social Sciences"
"result.7","Social Sciences","Social Sciences","Physical Science and Engineering"
"result.8","Social Sciences","Social Sciences","Data Science"
"result.9","Social Sciences","Social Sciences","Computer Science"
"result.10","Social Sciences","Social Sciences","Life Sciences"
"result.11","Social Sciences","Social Sciences","Social Sciences"
"result.12","Social Sciences","Social Sciences","Personal Development"
"result.13","Social Sciences","Social Sciences","Business"
"result.14","Social Sciences","Social Sciences","Computer Science"
"result.15","Social Sciences","Social Sciences","Life Sciences"
"result.16","Social Sciences","Social Sciences","Arts and Humanities"
"result.17","Social Sciences","Social Sciences","Math and Logic"
"result.18","Social Sciences","Social Sciences","Life Sciences"
"result.19","Social Sciences","Social Sciences","Business"
"result.20","Social Sciences","Social Sciences","Computer Science"
"result.21","Social Sciences","Social Sciences","Computer Science"
"result.22","Social Sciences","Social Sciences","Social Sciences"
"result.23","Social Sciences","Social Sciences","Social Sciences"
"result.24","Social Sciences","Social Sciences","Arts and Humanities"
"result.25","Social Sciences","Social Sciences","Data Science"
"result.26","Social Sciences","Social Sciences","Life Sciences"
"result.27","Social Sciences","Social Sciences","Social Sciences"
"result.28","Social Sciences","Computer Science","Business"
"result.29","Social Sciences","Computer Science","Social Sciences"
"result.30","Social Sciences","Computer Science","Business"
"result.31","Social Sciences","Computer Science","Arts and Humanities"
"result.32","Social Sciences","Computer Science","Physical Science and Engineering"
"result.33","Social Sciences","Computer Science","Social Sciences"
"result.34","Social Sciences","Computer Science","Physical Science and Engineering"
"result.35","Social Sciences","Computer Science","Data Science"
"result.36","Social Sciences","Computer Science","Business"
"result.37","Social Sciences","Computer Science","Computer Science"
"result.38","Social Sciences","Computer Science","Life Sciences"
"result.39","Social Sciences","Computer Science","Social Sciences"
"result.40","Social Sciences","Computer Science","Personal Development"
"result.41","Social Sciences","Computer Science","Business"
"result.42","Social Sciences","Computer Science","Social Sciences"
"result.43","Social Sciences","Computer Science","Computer Science"
"result.44","Social Sciences","Computer Science","Computer Science"
"result.45","Social Sciences","Computer Science","Computer Science"
"result.46","Social Sciences","Computer Science","Life Sciences"
"result.47","Social Sciences","Computer Science","Arts and Humanities"
"result.48","Social Sciences","Computer Science","Math and Logic"
"result.49","Social Sciences","Computer Science","Life Sciences"
"result.50","Social Sciences","Computer Science","Business"
"result.51","Social Sciences","Computer Science","Social Sciences"
"result.52","Social Sciences","Computer Science","Data Science"
"result.53","Social Sciences","Computer Science","Computer Science"
"result.54","Social Sciences","Computer Science","Computer Science"
"result.55","Social Sciences","Computer Science","Social Sciences"
"result.56","Social Sciences","Computer Science","Business"
"result.57","Social Sciences","Computer Science","Social Sciences"
"result.58","Social Sciences","Computer Science","Arts and Humanities"
"result.59","Social Sciences","Computer Science","Data Science"
"result.60","Social Sciences","Computer Science","Data Science"
"result.61","Social Sciences","Computer Science","Life Sciences"
