"","V1","V2","V3"
"result.1","Environmental Science and Sustainability","Economics","Data Analysis"
"result.2","Environmental Science and Sustainability","Economics","Software Development"
"result.3","Environmental Science and Sustainability","Economics","History"
"result.4","Environmental Science and Sustainability","Data Analysis","Software Development"
"result.5","Environmental Science and Sustainability","Data Analysis","History"
"result.6","Environmental Science and Sustainability","Software Development","History"
"result.7","Philosophy","Human Rights","Computer Science"
"result.8","Philosophy","Human Rights","Software Development"
"result.9","Philosophy","Human Rights","Business Strategy"
"result.10","Philosophy","Human Rights","Governance and Society"
"result.11","Philosophy","Computer Science","Software Development"
"result.12","Philosophy","Computer Science","Business Strategy"
"result.13","Philosophy","Computer Science","Governance and Society"
"result.14","Philosophy","Software Development","Business Strategy"
"result.15","Philosophy","Software Development","Governance and Society"
"result.16","Philosophy","Business Strategy","Governance and Society"
"result.17","Human Rights","Computer Science","Software Development"
"result.18","Human Rights","Computer Science","Business Strategy"
"result.19","Human Rights","Computer Science","Governance and Society"
"result.20","Human Rights","Software Development","Business Strategy"
"result.21","Human Rights","Software Development","Governance and Society"
"result.22","Human Rights","Business Strategy","Governance and Society"
"result.23","Computer Science","Software Development","Business Strategy"
"result.24","Computer Science","Software Development","Governance and Society"
"result.25","Computer Science","Business Strategy","Governance and Society"
"result.26","Economics","Computer Security and Networks","Algorithms"
"result.27","Economics","Data Analysis","Software Development"
"result.28","Economics","Data Analysis","History"
"result.29","Economics","Software Development","History"
"result.30","Data Analysis","Software Development","History"
"result.31","Software Development","Business Strategy","Governance and Society"
