"","V1","V2","V3","V4"
"result.1","Social Sciences","Business","Computer Science","Computer Science"
"result.2","Social Sciences","Business","Computer Science","Arts and Humanities"
"result.3","Social Sciences","Business","Computer Science","Social Sciences"
"result.4","Social Sciences","Business","Computer Science","Arts and Humanities"
"result.5","Social Sciences","Business","Computer Science","Social Sciences"
"result.6","Social Sciences","Business","Arts and Humanities","Social Sciences"
"result.7","Social Sciences","Computer Science","Computer Science","Arts and Humanities"
"result.8","Social Sciences","Computer Science","Computer Science","Social Sciences"
"result.9","Social Sciences","Computer Science","Arts and Humanities","Social Sciences"
"result.10","Social Sciences","Computer Science","Arts and Humanities","Social Sciences"
"result.11","Computer Science","Life Sciences","Social Sciences","Data Science"
"result.12","Physical Science and Engineering","Data Science","Math and Logic","Arts and Humanities"
"result.13","Physical Science and Engineering","Data Science","Math and Logic","Computer Science"
"result.14","Physical Science and Engineering","Data Science","Arts and Humanities","Computer Science"
"result.15","Physical Science and Engineering","Math and Logic","Arts and Humanities","Computer Science"
"result.16","Math and Logic","Computer Science","Arts and Humanities","Data Science"
"result.17","Math and Logic","Computer Science","Arts and Humanities","Math and Logic"
"result.18","Math and Logic","Computer Science","Arts and Humanities","Math and Logic"
"result.19","Math and Logic","Computer Science","Arts and Humanities","Social Sciences"
"result.20","Math and Logic","Computer Science","Arts and Humanities","Data Science"
"result.21","Math and Logic","Computer Science","Arts and Humanities","Data Science"
"result.22","Math and Logic","Computer Science","Arts and Humanities","Computer Science"
"result.23","Math and Logic","Computer Science","Arts and Humanities","Life Sciences"
"result.24","Math and Logic","Computer Science","Arts and Humanities","Computer Science"
"result.25","Math and Logic","Computer Science","Arts and Humanities","Physical Science and Engineering"
"result.26","Math and Logic","Computer Science","Arts and Humanities","Life Sciences"
"result.27","Math and Logic","Computer Science","Data Science","Math and Logic"
"result.28","Math and Logic","Computer Science","Data Science","Math and Logic"
"result.29","Math and Logic","Computer Science","Data Science","Social Sciences"
"result.30","Math and Logic","Computer Science","Data Science","Data Science"
"result.31","Math and Logic","Computer Science","Data Science","Data Science"
"result.32","Math and Logic","Computer Science","Data Science","Computer Science"
"result.33","Math and Logic","Computer Science","Data Science","Life Sciences"
"result.34","Math and Logic","Computer Science","Data Science","Computer Science"
"result.35","Math and Logic","Computer Science","Data Science","Physical Science and Engineering"
"result.36","Math and Logic","Computer Science","Data Science","Life Sciences"
"result.37","Math and Logic","Computer Science","Math and Logic","Math and Logic"
"result.38","Math and Logic","Computer Science","Math and Logic","Social Sciences"
"result.39","Math and Logic","Computer Science","Math and Logic","Data Science"
"result.40","Math and Logic","Computer Science","Math and Logic","Data Science"
"result.41","Math and Logic","Computer Science","Math and Logic","Computer Science"
"result.42","Math and Logic","Computer Science","Math and Logic","Life Sciences"
"result.43","Math and Logic","Computer Science","Math and Logic","Computer Science"
"result.44","Math and Logic","Computer Science","Math and Logic","Physical Science and Engineering"
"result.45","Math and Logic","Computer Science","Math and Logic","Life Sciences"
"result.46","Math and Logic","Computer Science","Math and Logic","Social Sciences"
"result.47","Math and Logic","Computer Science","Math and Logic","Data Science"
"result.48","Math and Logic","Computer Science","Math and Logic","Data Science"
"result.49","Math and Logic","Computer Science","Math and Logic","Computer Science"
"result.50","Math and Logic","Computer Science","Math and Logic","Life Sciences"
"result.51","Math and Logic","Computer Science","Math and Logic","Computer Science"
"result.52","Math and Logic","Computer Science","Math and Logic","Physical Science and Engineering"
"result.53","Math and Logic","Computer Science","Math and Logic","Life Sciences"
"result.54","Math and Logic","Computer Science","Social Sciences","Data Science"
"result.55","Math and Logic","Computer Science","Social Sciences","Data Science"
"result.56","Math and Logic","Computer Science","Social Sciences","Computer Science"
"result.57","Math and Logic","Computer Science","Social Sciences","Life Sciences"
"result.58","Math and Logic","Computer Science","Social Sciences","Computer Science"
"result.59","Math and Logic","Computer Science","Social Sciences","Physical Science and Engineering"
"result.60","Math and Logic","Computer Science","Social Sciences","Life Sciences"
"result.61","Math and Logic","Computer Science","Data Science","Data Science"
"result.62","Math and Logic","Computer Science","Data Science","Computer Science"
"result.63","Math and Logic","Computer Science","Data Science","Life Sciences"
"result.64","Math and Logic","Computer Science","Data Science","Computer Science"
"result.65","Math and Logic","Computer Science","Data Science","Physical Science and Engineering"
"result.66","Math and Logic","Computer Science","Data Science","Life Sciences"
"result.67","Math and Logic","Computer Science","Data Science","Computer Science"
"result.68","Math and Logic","Computer Science","Data Science","Life Sciences"
"result.69","Math and Logic","Computer Science","Data Science","Computer Science"
"result.70","Math and Logic","Computer Science","Data Science","Physical Science and Engineering"
"result.71","Math and Logic","Computer Science","Data Science","Life Sciences"
"result.72","Math and Logic","Computer Science","Computer Science","Life Sciences"
"result.73","Math and Logic","Computer Science","Computer Science","Computer Science"
"result.74","Math and Logic","Computer Science","Computer Science","Physical Science and Engineering"
"result.75","Math and Logic","Computer Science","Computer Science","Life Sciences"
"result.76","Math and Logic","Computer Science","Life Sciences","Computer Science"
"result.77","Math and Logic","Computer Science","Life Sciences","Physical Science and Engineering"
"result.78","Math and Logic","Computer Science","Life Sciences","Life Sciences"
"result.79","Math and Logic","Computer Science","Computer Science","Physical Science and Engineering"
"result.80","Math and Logic","Computer Science","Computer Science","Life Sciences"
"result.81","Math and Logic","Computer Science","Physical Science and Engineering","Life Sciences"
"result.82","Math and Logic","Arts and Humanities","Data Science","Math and Logic"
"result.83","Math and Logic","Arts and Humanities","Data Science","Math and Logic"
"result.84","Math and Logic","Arts and Humanities","Data Science","Social Sciences"
"result.85","Math and Logic","Arts and Humanities","Data Science","Data Science"
"result.86","Math and Logic","Arts and Humanities","Data Science","Data Science"
"result.87","Math and Logic","Arts and Humanities","Data Science","Computer Science"
"result.88","Math and Logic","Arts and Humanities","Data Science","Life Sciences"
"result.89","Math and Logic","Arts and Humanities","Data Science","Computer Science"
"result.90","Math and Logic","Arts and Humanities","Data Science","Physical Science and Engineering"
"result.91","Math and Logic","Arts and Humanities","Data Science","Life Sciences"
"result.92","Math and Logic","Arts and Humanities","Math and Logic","Math and Logic"
"result.93","Math and Logic","Arts and Humanities","Math and Logic","Social Sciences"
"result.94","Math and Logic","Arts and Humanities","Math and Logic","Data Science"
"result.95","Math and Logic","Arts and Humanities","Math and Logic","Data Science"
"result.96","Math and Logic","Arts and Humanities","Math and Logic","Computer Science"
"result.97","Math and Logic","Arts and Humanities","Math and Logic","Life Sciences"
"result.98","Math and Logic","Arts and Humanities","Math and Logic","Computer Science"
"result.99","Math and Logic","Arts and Humanities","Math and Logic","Physical Science and Engineering"
"result.100","Math and Logic","Arts and Humanities","Math and Logic","Life Sciences"
"result.101","Math and Logic","Arts and Humanities","Math and Logic","Social Sciences"
"result.102","Math and Logic","Arts and Humanities","Math and Logic","Data Science"
"result.103","Math and Logic","Arts and Humanities","Math and Logic","Data Science"
"result.104","Math and Logic","Arts and Humanities","Math and Logic","Computer Science"
"result.105","Math and Logic","Arts and Humanities","Math and Logic","Life Sciences"
"result.106","Math and Logic","Arts and Humanities","Math and Logic","Computer Science"
"result.107","Math and Logic","Arts and Humanities","Math and Logic","Physical Science and Engineering"
"result.108","Math and Logic","Arts and Humanities","Math and Logic","Life Sciences"
"result.109","Math and Logic","Arts and Humanities","Social Sciences","Data Science"
"result.110","Math and Logic","Arts and Humanities","Social Sciences","Data Science"
"result.111","Math and Logic","Arts and Humanities","Social Sciences","Computer Science"
"result.112","Math and Logic","Arts and Humanities","Social Sciences","Life Sciences"
"result.113","Math and Logic","Arts and Humanities","Social Sciences","Computer Science"
"result.114","Math and Logic","Arts and Humanities","Social Sciences","Physical Science and Engineering"
"result.115","Math and Logic","Arts and Humanities","Social Sciences","Life Sciences"
