"","V1","V2","V3","V4"
"result.1","Business","Physical Science and Engineering","Physical Science and Engineering","Social Sciences"
"result.2","Business","Physical Science and Engineering","Physical Science and Engineering","Business"
"result.3","Business","Physical Science and Engineering","Physical Science and Engineering","Data Science"
"result.4","Business","Physical Science and Engineering","Physical Science and Engineering","Social Sciences"
"result.5","Business","Physical Science and Engineering","Physical Science and Engineering","Social Sciences"
"result.6","Business","Physical Science and Engineering","Physical Science and Engineering","Business"
"result.7","Business","Physical Science and Engineering","Social Sciences","Business"
"result.8","Business","Physical Science and Engineering","Social Sciences","Data Science"
"result.9","Business","Physical Science and Engineering","Social Sciences","Social Sciences"
"result.10","Business","Physical Science and Engineering","Social Sciences","Social Sciences"
"result.11","Business","Physical Science and Engineering","Social Sciences","Business"
"result.12","Business","Physical Science and Engineering","Business","Data Science"
"result.13","Business","Physical Science and Engineering","Business","Social Sciences"
"result.14","Business","Physical Science and Engineering","Business","Social Sciences"
"result.15","Business","Physical Science and Engineering","Business","Business"
"result.16","Business","Physical Science and Engineering","Data Science","Social Sciences"
"result.17","Business","Physical Science and Engineering","Data Science","Social Sciences"
"result.18","Business","Physical Science and Engineering","Data Science","Business"
"result.19","Business","Physical Science and Engineering","Social Sciences","Social Sciences"
"result.20","Business","Physical Science and Engineering","Social Sciences","Business"
"result.21","Business","Physical Science and Engineering","Social Sciences","Business"
"result.22","Business","Physical Science and Engineering","Social Sciences","Business"
"result.23","Business","Physical Science and Engineering","Social Sciences","Data Science"
"result.24","Business","Physical Science and Engineering","Social Sciences","Social Sciences"
"result.25","Business","Physical Science and Engineering","Social Sciences","Social Sciences"
"result.26","Business","Physical Science and Engineering","Social Sciences","Business"
"result.27","Business","Physical Science and Engineering","Business","Data Science"
"result.28","Business","Physical Science and Engineering","Business","Social Sciences"
"result.29","Business","Physical Science and Engineering","Business","Social Sciences"
"result.30","Business","Physical Science and Engineering","Business","Business"
"result.31","Business","Physical Science and Engineering","Data Science","Social Sciences"
"result.32","Business","Physical Science and Engineering","Data Science","Social Sciences"
"result.33","Business","Physical Science and Engineering","Data Science","Business"
"result.34","Business","Physical Science and Engineering","Social Sciences","Social Sciences"
