"","V1","V2","V3","V4"
"result.1","Environmental Science and Sustainability","Economics","Data Analysis","Software Development"
"result.2","Environmental Science and Sustainability","Economics","Data Analysis","History"
"result.3","Environmental Science and Sustainability","Economics","Software Development","History"
"result.4","Environmental Science and Sustainability","Data Analysis","Software Development","History"
"result.5","Philosophy","Human Rights","Computer Science","Software Development"
"result.6","Philosophy","Human Rights","Computer Science","Business Strategy"
"result.7","Philosophy","Human Rights","Computer Science","Governance and Society"
"result.8","Philosophy","Human Rights","Software Development","Business Strategy"
"result.9","Philosophy","Human Rights","Software Development","Governance and Society"
"result.10","Philosophy","Human Rights","Business Strategy","Governance and Society"
"result.11","Philosophy","Computer Science","Software Development","Business Strategy"
"result.12","Philosophy","Computer Science","Software Development","Governance and Society"
"result.13","Philosophy","Computer Science","Business Strategy","Governance and Society"
"result.14","Philosophy","Software Development","Business Strategy","Governance and Society"
"result.15","Human Rights","Computer Science","Software Development","Business Strategy"
"result.16","Human Rights","Computer Science","Software Development","Governance and Society"
"result.17","Human Rights","Computer Science","Business Strategy","Governance and Society"
"result.18","Human Rights","Software Development","Business Strategy","Governance and Society"
"result.19","Computer Science","Software Development","Business Strategy","Governance and Society"
"result.20","Economics","Data Analysis","Software Development","History"
