"","V1","V2","V3","V4"
"result.1","Education","Machine Learning","Music and Art","Health & Safety"
"result.2","Education","Machine Learning","Music and Art","Literature"
"result.3","Education","Machine Learning","Music and Art","Data Analysis & Statistics"
"result.4","Education","Machine Learning","Music and Art","Psychology"
"result.5","Education","Machine Learning","Music and Art","Business & Management"
"result.6","Education","Machine Learning","Music and Art","Data Analysis & Statistics"
"result.7","Education","Machine Learning","Music and Art","Business & Management"
"result.8","Education","Machine Learning","Music and Art","Math and Logic"
"result.9","Education","Machine Learning","Music and Art","Engineering"
"result.10","Education","Machine Learning","Music and Art","Computer Science"
"result.11","Education","Machine Learning","Health & Safety","Literature"
"result.12","Education","Machine Learning","Health & Safety","Data Analysis & Statistics"
"result.13","Education","Machine Learning","Health & Safety","Psychology"
"result.14","Education","Machine Learning","Health & Safety","Business & Management"
"result.15","Education","Machine Learning","Health & Safety","Data Analysis & Statistics"
"result.16","Education","Machine Learning","Health & Safety","Business & Management"
"result.17","Education","Machine Learning","Health & Safety","Math and Logic"
"result.18","Education","Machine Learning","Health & Safety","Engineering"
"result.19","Education","Machine Learning","Health & Safety","Computer Science"
"result.20","Education","Machine Learning","Literature","Data Analysis & Statistics"
"result.21","Education","Machine Learning","Literature","Psychology"
"result.22","Education","Machine Learning","Literature","Business & Management"
"result.23","Education","Machine Learning","Literature","Data Analysis & Statistics"
"result.24","Education","Machine Learning","Literature","Business & Management"
"result.25","Education","Machine Learning","Literature","Math and Logic"
"result.26","Education","Machine Learning","Literature","Engineering"
"result.27","Education","Machine Learning","Literature","Computer Science"
"result.28","Education","Machine Learning","Data Analysis & Statistics","Psychology"
"result.29","Education","Machine Learning","Data Analysis & Statistics","Business & Management"
"result.30","Education","Machine Learning","Data Analysis & Statistics","Data Analysis & Statistics"
"result.31","Education","Machine Learning","Data Analysis & Statistics","Business & Management"
"result.32","Education","Machine Learning","Data Analysis & Statistics","Math and Logic"
"result.33","Education","Machine Learning","Data Analysis & Statistics","Engineering"
"result.34","Education","Machine Learning","Data Analysis & Statistics","Computer Science"
"result.35","Education","Machine Learning","Psychology","Business & Management"
"result.36","Education","Machine Learning","Psychology","Data Analysis & Statistics"
"result.37","Education","Machine Learning","Psychology","Business & Management"
"result.38","Education","Machine Learning","Psychology","Math and Logic"
"result.39","Education","Machine Learning","Psychology","Engineering"
"result.40","Education","Machine Learning","Psychology","Computer Science"
"result.41","Education","Machine Learning","Business & Management","Data Analysis & Statistics"
"result.42","Education","Machine Learning","Business & Management","Business & Management"
"result.43","Education","Machine Learning","Business & Management","Math and Logic"
"result.44","Education","Machine Learning","Business & Management","Engineering"
"result.45","Education","Machine Learning","Business & Management","Computer Science"
"result.46","Education","Machine Learning","Data Analysis & Statistics","Business & Management"
"result.47","Education","Machine Learning","Data Analysis & Statistics","Math and Logic"
"result.48","Education","Machine Learning","Data Analysis & Statistics","Engineering"
"result.49","Education","Machine Learning","Data Analysis & Statistics","Computer Science"
"result.50","Education","Machine Learning","Business & Management","Math and Logic"
"result.51","Education","Machine Learning","Business & Management","Engineering"
"result.52","Education","Machine Learning","Business & Management","Computer Science"
"result.53","Education","Machine Learning","Math and Logic","Engineering"
"result.54","Education","Machine Learning","Math and Logic","Computer Science"
"result.55","Education","Machine Learning","Engineering","Computer Science"
"result.56","Education","Music and Art","Health & Safety","Literature"
"result.57","Education","Music and Art","Health & Safety","Data Analysis & Statistics"
"result.58","Education","Music and Art","Health & Safety","Psychology"
"result.59","Education","Music and Art","Health & Safety","Business & Management"
"result.60","Education","Music and Art","Health & Safety","Data Analysis & Statistics"
"result.61","Education","Music and Art","Health & Safety","Business & Management"
"result.62","Education","Music and Art","Health & Safety","Math and Logic"
"result.63","Education","Music and Art","Health & Safety","Engineering"
"result.64","Education","Music and Art","Health & Safety","Computer Science"
"result.65","Education","Music and Art","Literature","Data Analysis & Statistics"
"result.66","Education","Music and Art","Literature","Psychology"
"result.67","Education","Music and Art","Literature","Business & Management"
"result.68","Education","Music and Art","Literature","Data Analysis & Statistics"
"result.69","Education","Music and Art","Literature","Business & Management"
"result.70","Education","Music and Art","Literature","Math and Logic"
"result.71","Education","Music and Art","Literature","Engineering"
"result.72","Education","Music and Art","Literature","Computer Science"
"result.73","Education","Music and Art","Data Analysis & Statistics","Psychology"
"result.74","Education","Music and Art","Data Analysis & Statistics","Business & Management"
"result.75","Education","Music and Art","Data Analysis & Statistics","Data Analysis & Statistics"
"result.76","Education","Music and Art","Data Analysis & Statistics","Business & Management"
"result.77","Education","Music and Art","Data Analysis & Statistics","Math and Logic"
"result.78","Education","Music and Art","Data Analysis & Statistics","Engineering"
"result.79","Education","Music and Art","Data Analysis & Statistics","Computer Science"
"result.80","Education","Music and Art","Psychology","Business & Management"
"result.81","Education","Music and Art","Psychology","Data Analysis & Statistics"
"result.82","Education","Music and Art","Psychology","Business & Management"
"result.83","Education","Music and Art","Psychology","Math and Logic"
"result.84","Education","Music and Art","Psychology","Engineering"
"result.85","Education","Music and Art","Psychology","Computer Science"
"result.86","Education","Music and Art","Business & Management","Data Analysis & Statistics"
"result.87","Education","Music and Art","Business & Management","Business & Management"
"result.88","Education","Music and Art","Business & Management","Math and Logic"
"result.89","Education","Music and Art","Business & Management","Engineering"
"result.90","Education","Music and Art","Business & Management","Computer Science"
"result.91","Education","Music and Art","Data Analysis & Statistics","Business & Management"
"result.92","Education","Music and Art","Data Analysis & Statistics","Math and Logic"
"result.93","Education","Music and Art","Data Analysis & Statistics","Engineering"
"result.94","Education","Music and Art","Data Analysis & Statistics","Computer Science"
"result.95","Education","Music and Art","Business & Management","Math and Logic"
"result.96","Education","Music and Art","Business & Management","Engineering"
"result.97","Education","Music and Art","Business & Management","Computer Science"
"result.98","Education","Music and Art","Math and Logic","Engineering"
"result.99","Education","Music and Art","Math and Logic","Computer Science"
"result.100","Education","Music and Art","Engineering","Computer Science"
"result.101","Education","Health & Safety","Literature","Data Analysis & Statistics"
"result.102","Education","Health & Safety","Literature","Psychology"
"result.103","Education","Health & Safety","Literature","Business & Management"
"result.104","Education","Health & Safety","Literature","Data Analysis & Statistics"
"result.105","Education","Health & Safety","Literature","Business & Management"
"result.106","Education","Health & Safety","Literature","Math and Logic"
"result.107","Education","Health & Safety","Literature","Engineering"
"result.108","Education","Health & Safety","Literature","Computer Science"
"result.109","Education","Health & Safety","Data Analysis & Statistics","Psychology"
"result.110","Education","Health & Safety","Data Analysis & Statistics","Business & Management"
"result.111","Education","Health & Safety","Data Analysis & Statistics","Data Analysis & Statistics"
"result.112","Education","Health & Safety","Data Analysis & Statistics","Business & Management"
"result.113","Education","Health & Safety","Data Analysis & Statistics","Math and Logic"
"result.114","Education","Health & Safety","Data Analysis & Statistics","Engineering"
"result.115","Education","Health & Safety","Data Analysis & Statistics","Computer Science"
"result.116","Education","Health & Safety","Psychology","Business & Management"
"result.117","Education","Health & Safety","Psychology","Data Analysis & Statistics"
"result.118","Education","Health & Safety","Psychology","Business & Management"
"result.119","Education","Health & Safety","Psychology","Math and Logic"
"result.120","Education","Health & Safety","Psychology","Engineering"
"result.121","Education","Health & Safety","Psychology","Computer Science"
"result.122","Education","Health & Safety","Business & Management","Data Analysis & Statistics"
"result.123","Education","Health & Safety","Business & Management","Business & Management"
"result.124","Education","Health & Safety","Business & Management","Math and Logic"
"result.125","Education","Health & Safety","Business & Management","Engineering"
"result.126","Education","Health & Safety","Business & Management","Computer Science"
"result.127","Education","Health & Safety","Data Analysis & Statistics","Business & Management"
"result.128","Education","Health & Safety","Data Analysis & Statistics","Math and Logic"
"result.129","Education","Health & Safety","Data Analysis & Statistics","Engineering"
"result.130","Education","Health & Safety","Data Analysis & Statistics","Computer Science"
"result.131","Education","Health & Safety","Business & Management","Math and Logic"
"result.132","Education","Health & Safety","Business & Management","Engineering"
"result.133","Education","Health & Safety","Business & Management","Computer Science"
"result.134","Education","Health & Safety","Math and Logic","Engineering"
"result.135","Education","Health & Safety","Math and Logic","Computer Science"
"result.136","Education","Health & Safety","Engineering","Computer Science"
"result.137","Education","Literature","Data Analysis & Statistics","Psychology"
"result.138","Education","Literature","Data Analysis & Statistics","Business & Management"
"result.139","Education","Literature","Data Analysis & Statistics","Data Analysis & Statistics"
"result.140","Education","Literature","Data Analysis & Statistics","Business & Management"
"result.141","Education","Literature","Data Analysis & Statistics","Math and Logic"
"result.142","Education","Literature","Data Analysis & Statistics","Engineering"
"result.143","Education","Literature","Data Analysis & Statistics","Computer Science"
"result.144","Education","Literature","Psychology","Business & Management"
"result.145","Education","Literature","Psychology","Data Analysis & Statistics"
"result.146","Education","Literature","Psychology","Business & Management"
"result.147","Education","Literature","Psychology","Math and Logic"
"result.148","Education","Literature","Psychology","Engineering"
"result.149","Education","Literature","Psychology","Computer Science"
"result.150","Education","Literature","Business & Management","Data Analysis & Statistics"
"result.151","Education","Literature","Business & Management","Business & Management"
"result.152","Education","Literature","Business & Management","Math and Logic"
"result.153","Education","Literature","Business & Management","Engineering"
"result.154","Education","Literature","Business & Management","Computer Science"
"result.155","Education","Literature","Data Analysis & Statistics","Business & Management"
"result.156","Education","Literature","Data Analysis & Statistics","Math and Logic"
"result.157","Education","Literature","Data Analysis & Statistics","Engineering"
"result.158","Education","Literature","Data Analysis & Statistics","Computer Science"
"result.159","Education","Literature","Business & Management","Math and Logic"
"result.160","Education","Literature","Business & Management","Engineering"
"result.161","Education","Literature","Business & Management","Computer Science"
"result.162","Education","Literature","Math and Logic","Engineering"
"result.163","Education","Literature","Math and Logic","Computer Science"
"result.164","Education","Literature","Engineering","Computer Science"
"result.165","Education","Data Analysis & Statistics","Psychology","Business & Management"
"result.166","Education","Data Analysis & Statistics","Psychology","Data Analysis & Statistics"
"result.167","Education","Data Analysis & Statistics","Psychology","Business & Management"
"result.168","Education","Data Analysis & Statistics","Psychology","Math and Logic"
"result.169","Education","Data Analysis & Statistics","Psychology","Engineering"
"result.170","Education","Data Analysis & Statistics","Psychology","Computer Science"
"result.171","Education","Data Analysis & Statistics","Business & Management","Data Analysis & Statistics"
"result.172","Education","Data Analysis & Statistics","Business & Management","Business & Management"
"result.173","Education","Data Analysis & Statistics","Business & Management","Math and Logic"
"result.174","Education","Data Analysis & Statistics","Business & Management","Engineering"
"result.175","Education","Data Analysis & Statistics","Business & Management","Computer Science"
"result.176","Education","Data Analysis & Statistics","Data Analysis & Statistics","Business & Management"
"result.177","Education","Data Analysis & Statistics","Data Analysis & Statistics","Math and Logic"
"result.178","Education","Data Analysis & Statistics","Data Analysis & Statistics","Engineering"
"result.179","Education","Data Analysis & Statistics","Data Analysis & Statistics","Computer Science"
"result.180","Education","Data Analysis & Statistics","Business & Management","Math and Logic"
"result.181","Education","Data Analysis & Statistics","Business & Management","Engineering"
"result.182","Education","Data Analysis & Statistics","Business & Management","Computer Science"
"result.183","Education","Data Analysis & Statistics","Math and Logic","Engineering"
"result.184","Education","Data Analysis & Statistics","Math and Logic","Computer Science"
"result.185","Education","Data Analysis & Statistics","Engineering","Computer Science"
"result.186","Education","Psychology","Business & Management","Data Analysis & Statistics"
"result.187","Education","Psychology","Business & Management","Business & Management"
"result.188","Education","Psychology","Business & Management","Math and Logic"
"result.189","Education","Psychology","Business & Management","Engineering"
"result.190","Education","Psychology","Business & Management","Computer Science"
"result.191","Education","Psychology","Data Analysis & Statistics","Business & Management"
"result.192","Education","Psychology","Data Analysis & Statistics","Math and Logic"
"result.193","Education","Psychology","Data Analysis & Statistics","Engineering"
"result.194","Education","Psychology","Data Analysis & Statistics","Computer Science"
"result.195","Education","Psychology","Business & Management","Math and Logic"
"result.196","Education","Psychology","Business & Management","Engineering"
"result.197","Education","Psychology","Business & Management","Computer Science"
"result.198","Education","Psychology","Math and Logic","Engineering"
"result.199","Education","Psychology","Math and Logic","Computer Science"
"result.200","Education","Psychology","Engineering","Computer Science"
"result.201","Education","Business & Management","Data Analysis & Statistics","Business & Management"
"result.202","Education","Business & Management","Data Analysis & Statistics","Math and Logic"
"result.203","Education","Business & Management","Data Analysis & Statistics","Engineering"
"result.204","Education","Business & Management","Data Analysis & Statistics","Computer Science"
"result.205","Education","Business & Management","Business & Management","Math and Logic"
"result.206","Education","Business & Management","Business & Management","Engineering"
"result.207","Education","Business & Management","Business & Management","Computer Science"
"result.208","Education","Business & Management","Math and Logic","Engineering"
"result.209","Education","Business & Management","Math and Logic","Computer Science"
"result.210","Education","Business & Management","Engineering","Computer Science"
"result.211","Education","Data Analysis & Statistics","Business & Management","Math and Logic"
"result.212","Education","Data Analysis & Statistics","Business & Management","Engineering"
"result.213","Education","Data Analysis & Statistics","Business & Management","Computer Science"
"result.214","Education","Data Analysis & Statistics","Math and Logic","Engineering"
"result.215","Education","Data Analysis & Statistics","Math and Logic","Computer Science"
"result.216","Education","Data Analysis & Statistics","Engineering","Computer Science"
"result.217","Education","Business & Management","Math and Logic","Engineering"
"result.218","Education","Business & Management","Math and Logic","Computer Science"
"result.219","Education","Business & Management","Engineering","Computer Science"
"result.220","Education","Math and Logic","Engineering","Computer Science"
"result.221","Electrical Engineering","Math and Logic","Computer Science","Leadership and Management"
"result.222","Electrical Engineering","Math and Logic","Computer Science","Math and Logic"
"result.223","Electrical Engineering","Math and Logic","Computer Science","Data Analysis"
"result.224","Electrical Engineering","Math and Logic","Computer Science","Medicine & Healthcare"
"result.225","Electrical Engineering","Math and Logic","Computer Science","Social Sciences"
"result.226","Electrical Engineering","Math and Logic","Computer Science","Biology & Life Sciences"
"result.227","Electrical Engineering","Math and Logic","Computer Science","Data Analysis & Statistics"
"result.228","Electrical Engineering","Math and Logic","Computer Science","Data Analysis & Statistics"
"result.229","Electrical Engineering","Math and Logic","Computer Science","Software Development"
"result.230","Electrical Engineering","Math and Logic","Computer Science","Economics & Finance"
"result.231","Electrical Engineering","Math and Logic","Computer Science","Computer Science"
"result.232","Electrical Engineering","Math and Logic","Computer Science","Machine Learning"
"result.233","Electrical Engineering","Math and Logic","Computer Science","Law"
"result.234","Electrical Engineering","Math and Logic","Computer Science","Business & Management"
"result.235","Electrical Engineering","Math and Logic","Computer Science",NA
"result.236","Electrical Engineering","Math and Logic","Computer Science","Business & Management"
"result.237","Electrical Engineering","Math and Logic","Computer Science","Computer Science"
"result.238","Electrical Engineering","Math and Logic","Computer Science","Biology & Life Sciences"
"result.239","Electrical Engineering","Math and Logic","Computer Science","Business & Management"
"result.240","Electrical Engineering","Math and Logic","Computer Science","Data Analysis & Statistics"
"result.241","Electrical Engineering","Math and Logic","Computer Science","Biology"
"result.242","Electrical Engineering","Math and Logic","Computer Science","Communication"
"result.243","Electrical Engineering","Math and Logic","Computer Science","Humanities"
"result.244","Electrical Engineering","Math and Logic","Computer Science","Literature"
"result.245","Electrical Engineering","Math and Logic","Computer Science","Economics & Finance"
"result.246","Electrical Engineering","Math and Logic","Computer Science","Data Analysis & Statistics"
"result.247","Electrical Engineering","Math and Logic","Computer Science","Architecture"
"result.248","Electrical Engineering","Math and Logic","Computer Science","Computer Science"
"result.249","Electrical Engineering","Math and Logic","Computer Science","Education & Teacher Training"
"result.250","Electrical Engineering","Math and Logic","Leadership and Management","Math and Logic"
"result.251","Electrical Engineering","Math and Logic","Leadership and Management","Data Analysis"
"result.252","Electrical Engineering","Math and Logic","Leadership and Management","Medicine & Healthcare"
"result.253","Electrical Engineering","Math and Logic","Leadership and Management","Social Sciences"
"result.254","Electrical Engineering","Math and Logic","Leadership and Management","Biology & Life Sciences"
"result.255","Electrical Engineering","Math and Logic","Leadership and Management","Data Analysis & Statistics"
"result.256","Electrical Engineering","Math and Logic","Leadership and Management","Data Analysis & Statistics"
"result.257","Electrical Engineering","Math and Logic","Leadership and Management","Software Development"
"result.258","Electrical Engineering","Math and Logic","Leadership and Management","Economics & Finance"
"result.259","Electrical Engineering","Math and Logic","Leadership and Management","Computer Science"
"result.260","Electrical Engineering","Math and Logic","Leadership and Management","Machine Learning"
"result.261","Electrical Engineering","Math and Logic","Leadership and Management","Law"
"result.262","Electrical Engineering","Math and Logic","Leadership and Management","Business & Management"
"result.263","Electrical Engineering","Math and Logic","Leadership and Management",NA
"result.264","Electrical Engineering","Math and Logic","Leadership and Management","Business & Management"
"result.265","Electrical Engineering","Math and Logic","Leadership and Management","Computer Science"
"result.266","Electrical Engineering","Math and Logic","Leadership and Management","Biology & Life Sciences"
"result.267","Electrical Engineering","Math and Logic","Leadership and Management","Business & Management"
"result.268","Electrical Engineering","Math and Logic","Leadership and Management","Data Analysis & Statistics"
"result.269","Electrical Engineering","Math and Logic","Leadership and Management","Biology"
"result.270","Electrical Engineering","Math and Logic","Leadership and Management","Communication"
"result.271","Electrical Engineering","Math and Logic","Leadership and Management","Humanities"
"result.272","Electrical Engineering","Math and Logic","Leadership and Management","Literature"
"result.273","Electrical Engineering","Math and Logic","Leadership and Management","Economics & Finance"
"result.274","Electrical Engineering","Math and Logic","Leadership and Management","Data Analysis & Statistics"
"result.275","Electrical Engineering","Math and Logic","Leadership and Management","Architecture"
"result.276","Electrical Engineering","Math and Logic","Leadership and Management","Computer Science"
"result.277","Electrical Engineering","Math and Logic","Leadership and Management","Education & Teacher Training"
"result.278","Electrical Engineering","Math and Logic","Math and Logic","Data Analysis"
"result.279","Electrical Engineering","Math and Logic","Math and Logic","Medicine & Healthcare"
"result.280","Electrical Engineering","Math and Logic","Math and Logic","Social Sciences"
"result.281","Electrical Engineering","Math and Logic","Math and Logic","Biology & Life Sciences"
"result.282","Electrical Engineering","Math and Logic","Math and Logic","Data Analysis & Statistics"
"result.283","Electrical Engineering","Math and Logic","Math and Logic","Data Analysis & Statistics"
"result.284","Electrical Engineering","Math and Logic","Math and Logic","Software Development"
"result.285","Electrical Engineering","Math and Logic","Math and Logic","Economics & Finance"
"result.286","Electrical Engineering","Math and Logic","Math and Logic","Computer Science"
"result.287","Electrical Engineering","Math and Logic","Math and Logic","Machine Learning"
"result.288","Electrical Engineering","Math and Logic","Math and Logic","Law"
"result.289","Electrical Engineering","Math and Logic","Math and Logic","Business & Management"
"result.290","Electrical Engineering","Math and Logic","Math and Logic",NA
"result.291","Electrical Engineering","Math and Logic","Math and Logic","Business & Management"
"result.292","Electrical Engineering","Math and Logic","Math and Logic","Computer Science"
"result.293","Electrical Engineering","Math and Logic","Math and Logic","Biology & Life Sciences"
"result.294","Electrical Engineering","Math and Logic","Math and Logic","Business & Management"
"result.295","Electrical Engineering","Math and Logic","Math and Logic","Data Analysis & Statistics"
"result.296","Electrical Engineering","Math and Logic","Math and Logic","Biology"
"result.297","Electrical Engineering","Math and Logic","Math and Logic","Communication"
"result.298","Electrical Engineering","Math and Logic","Math and Logic","Humanities"
"result.299","Electrical Engineering","Math and Logic","Math and Logic","Literature"
"result.300","Electrical Engineering","Math and Logic","Math and Logic","Economics & Finance"
"result.301","Electrical Engineering","Math and Logic","Math and Logic","Data Analysis & Statistics"
"result.302","Electrical Engineering","Math and Logic","Math and Logic","Architecture"
"result.303","Electrical Engineering","Math and Logic","Math and Logic","Computer Science"
"result.304","Electrical Engineering","Math and Logic","Math and Logic","Education & Teacher Training"
"result.305","Electrical Engineering","Math and Logic","Data Analysis","Medicine & Healthcare"
"result.306","Electrical Engineering","Math and Logic","Data Analysis","Social Sciences"
"result.307","Electrical Engineering","Math and Logic","Data Analysis","Biology & Life Sciences"
"result.308","Electrical Engineering","Math and Logic","Data Analysis","Data Analysis & Statistics"
"result.309","Electrical Engineering","Math and Logic","Data Analysis","Data Analysis & Statistics"
"result.310","Electrical Engineering","Math and Logic","Data Analysis","Software Development"
"result.311","Electrical Engineering","Math and Logic","Data Analysis","Economics & Finance"
"result.312","Electrical Engineering","Math and Logic","Data Analysis","Computer Science"
"result.313","Electrical Engineering","Math and Logic","Data Analysis","Machine Learning"
"result.314","Electrical Engineering","Math and Logic","Data Analysis","Law"
"result.315","Electrical Engineering","Math and Logic","Data Analysis","Business & Management"
"result.316","Electrical Engineering","Math and Logic","Data Analysis",NA
"result.317","Electrical Engineering","Math and Logic","Data Analysis","Business & Management"
"result.318","Electrical Engineering","Math and Logic","Data Analysis","Computer Science"
"result.319","Electrical Engineering","Math and Logic","Data Analysis","Biology & Life Sciences"
"result.320","Electrical Engineering","Math and Logic","Data Analysis","Business & Management"
"result.321","Electrical Engineering","Math and Logic","Data Analysis","Data Analysis & Statistics"
"result.322","Electrical Engineering","Math and Logic","Data Analysis","Biology"
"result.323","Electrical Engineering","Math and Logic","Data Analysis","Communication"
"result.324","Electrical Engineering","Math and Logic","Data Analysis","Humanities"
"result.325","Electrical Engineering","Math and Logic","Data Analysis","Literature"
"result.326","Electrical Engineering","Math and Logic","Data Analysis","Economics & Finance"
"result.327","Electrical Engineering","Math and Logic","Data Analysis","Data Analysis & Statistics"
"result.328","Electrical Engineering","Math and Logic","Data Analysis","Architecture"
"result.329","Electrical Engineering","Math and Logic","Data Analysis","Computer Science"
"result.330","Electrical Engineering","Math and Logic","Data Analysis","Education & Teacher Training"
"result.331","Electrical Engineering","Math and Logic","Medicine & Healthcare","Social Sciences"
"result.332","Electrical Engineering","Math and Logic","Medicine & Healthcare","Biology & Life Sciences"
"result.333","Electrical Engineering","Math and Logic","Medicine & Healthcare","Data Analysis & Statistics"
"result.334","Electrical Engineering","Math and Logic","Medicine & Healthcare","Data Analysis & Statistics"
"result.335","Electrical Engineering","Math and Logic","Medicine & Healthcare","Software Development"
"result.336","Electrical Engineering","Math and Logic","Medicine & Healthcare","Economics & Finance"
"result.337","Electrical Engineering","Math and Logic","Medicine & Healthcare","Computer Science"
"result.338","Electrical Engineering","Math and Logic","Medicine & Healthcare","Machine Learning"
"result.339","Electrical Engineering","Math and Logic","Medicine & Healthcare","Law"
"result.340","Electrical Engineering","Math and Logic","Medicine & Healthcare","Business & Management"
"result.341","Electrical Engineering","Math and Logic","Medicine & Healthcare",NA
"result.342","Electrical Engineering","Math and Logic","Medicine & Healthcare","Business & Management"
"result.343","Electrical Engineering","Math and Logic","Medicine & Healthcare","Computer Science"
"result.344","Electrical Engineering","Math and Logic","Medicine & Healthcare","Biology & Life Sciences"
"result.345","Electrical Engineering","Math and Logic","Medicine & Healthcare","Business & Management"
"result.346","Electrical Engineering","Math and Logic","Medicine & Healthcare","Data Analysis & Statistics"
"result.347","Electrical Engineering","Math and Logic","Medicine & Healthcare","Biology"
"result.348","Electrical Engineering","Math and Logic","Medicine & Healthcare","Communication"
"result.349","Electrical Engineering","Math and Logic","Medicine & Healthcare","Humanities"
"result.350","Electrical Engineering","Math and Logic","Medicine & Healthcare","Literature"
"result.351","Electrical Engineering","Math and Logic","Medicine & Healthcare","Economics & Finance"
"result.352","Electrical Engineering","Math and Logic","Medicine & Healthcare","Data Analysis & Statistics"
"result.353","Electrical Engineering","Math and Logic","Medicine & Healthcare","Architecture"
"result.354","Electrical Engineering","Math and Logic","Medicine & Healthcare","Computer Science"
"result.355","Electrical Engineering","Math and Logic","Medicine & Healthcare","Education & Teacher Training"
"result.356","Electrical Engineering","Math and Logic","Social Sciences","Biology & Life Sciences"
"result.357","Electrical Engineering","Math and Logic","Social Sciences","Data Analysis & Statistics"
"result.358","Electrical Engineering","Math and Logic","Social Sciences","Data Analysis & Statistics"
"result.359","Electrical Engineering","Math and Logic","Social Sciences","Software Development"
"result.360","Electrical Engineering","Math and Logic","Social Sciences","Economics & Finance"
"result.361","Electrical Engineering","Math and Logic","Social Sciences","Computer Science"
"result.362","Electrical Engineering","Math and Logic","Social Sciences","Machine Learning"
"result.363","Electrical Engineering","Math and Logic","Social Sciences","Law"
"result.364","Electrical Engineering","Math and Logic","Social Sciences","Business & Management"
"result.365","Electrical Engineering","Math and Logic","Social Sciences",NA
"result.366","Electrical Engineering","Math and Logic","Social Sciences","Business & Management"
"result.367","Electrical Engineering","Math and Logic","Social Sciences","Computer Science"
"result.368","Electrical Engineering","Math and Logic","Social Sciences","Biology & Life Sciences"
"result.369","Electrical Engineering","Math and Logic","Social Sciences","Business & Management"
"result.370","Electrical Engineering","Math and Logic","Social Sciences","Data Analysis & Statistics"
"result.371","Electrical Engineering","Math and Logic","Social Sciences","Biology"
"result.372","Electrical Engineering","Math and Logic","Social Sciences","Communication"
"result.373","Electrical Engineering","Math and Logic","Social Sciences","Humanities"
"result.374","Electrical Engineering","Math and Logic","Social Sciences","Literature"
"result.375","Electrical Engineering","Math and Logic","Social Sciences","Economics & Finance"
"result.376","Electrical Engineering","Math and Logic","Social Sciences","Data Analysis & Statistics"
"result.377","Electrical Engineering","Math and Logic","Social Sciences","Architecture"
"result.378","Electrical Engineering","Math and Logic","Social Sciences","Computer Science"
"result.379","Electrical Engineering","Math and Logic","Social Sciences","Education & Teacher Training"
