title,review_count,review_sum,reviewer_id,single_rating_value,review_date,reviewer_url,review_contents,url
Functional Programming Principles in Scala,40,4.85,Mark Wilbur,5,2014-06-04,null,,https://www.class-central.com/mooc/422/coursera-functional-programming-principles-in-scala
Functional Programming Principles in Scala,40,4.85,Kartik Kukreja,5,2014-06-30,null,,https://www.class-central.com/mooc/422/coursera-functional-programming-principles-in-scala
Functional Programming Principles in Scala,40,4.85,Anonymous,5,2012-12-25,null,,https://www.class-central.com/mooc/422/coursera-functional-programming-principles-in-scala
Functional Programming Principles in Scala,40,4.85,Anonymous,5,2012-12-18,null,"An excellent course. Very much appreciated the simple to install and use Eclipse environment and sbt tool. The classes were very clear and the exercises extremely well described. I struggled on this course, Functional Programming is quite a paradigm shift for me - really glad I made the effort. Looking forward to a future course from Dr Odersky.",https://www.class-central.com/mooc/422/coursera-functional-programming-principles-in-scala
Functional Programming Principles in Scala,40,4.85,Anonymous,5,2012-12-21,null,"This course was well designed. The assignment submission tool able to give feedback and pointed out which area I lost point. This was probably the hardest course I've ever taken, provided that it was my first attempt learning functional programming. Nevertheless, it was worth it.",https://www.class-central.com/mooc/422/coursera-functional-programming-principles-in-scala
Functional Programming Principles in Scala,40,4.85,Francois Fernando,5,2014-08-27,null,"The best class I have taken on programming. This course does demand a lot of work from you but it opens up you to new way to think about programming. I had significant professional development experience in Java, but that didn't make it any easier.",https://www.class-central.com/mooc/422/coursera-functional-programming-principles-in-scala
Functional Programming Principles in Scala,40,4.85,Anonymous,5,2012-12-16,null,"Great course. Everything was on time, lectures were great. Problem sets were insightful. Definitely recommend. It is a functional programming language course though, so be prepared for lots of recursion.",https://www.class-central.com/mooc/422/coursera-functional-programming-principles-in-scala
Functional Programming Principles in Scala,40,4.85,Yuriy Eremin,5,2014-06-28,null,"Excellent course for Java developers that want to try something functional.

Also this course doesn't require experience with Java, but it will a big plus.",https://www.class-central.com/mooc/422/coursera-functional-programming-principles-in-scala
Functional Programming Principles in Scala,40,4.85,Mark Riker,5,2016-03-05,null,Definitely one of the best programming courses I have ever had. It has a great structure and comes with really interesting and challenging assignments.,https://www.class-central.com/mooc/422/coursera-functional-programming-principles-in-scala
Functional Programming Principles in Scala,40,4.85,Anonymous,5,2013-12-27,null,Very well presented and well designed assignment to help in learning. Come with a fresh mind and will learn a lot of new things,https://www.class-central.com/mooc/422/coursera-functional-programming-principles-in-scala
Functional Programming Principles in Scala,40,4.85,Anonymous,5,2013-12-18,null,"Great course. A bit complicated specially the last two weeks, but not imposible at all. I've learned a lot with this course.",https://www.class-central.com/mooc/422/coursera-functional-programming-principles-in-scala
Functional Programming Principles in Scala,40,4.85,Anonymous,5,2012-12-17,null,Really great course. A very good way to know the concepts of functional programming and to catch its beauty.,https://www.class-central.com/mooc/422/coursera-functional-programming-principles-in-scala
Functional Programming Principles in Scala,40,4.85,Anonymous,5,2013-12-19,null,Excellent introduction to both functional programming and Scala. Well defined assignments and coherent lectures.,https://www.class-central.com/mooc/422/coursera-functional-programming-principles-in-scala
Functional Programming Principles in Scala,40,4.85,Anonymous,5,2013-12-17,null,Great learning. Non-trivial concepts are explained in a clear way. I could not wait for the next week exercise...,https://www.class-central.com/mooc/422/coursera-functional-programming-principles-in-scala
Functional Programming Principles in Scala,40,4.85,Anonymous,5,2013-12-19,null,Fantastic course. Martin Odesky is a great educator. I now really love scala.,https://www.class-central.com/mooc/422/coursera-functional-programming-principles-in-scala
Functional Programming Principles in Scala,40,4.85,Anonymous,5,2012-10-25,null,"Great course, everything put well together, cool assignments.",https://www.class-central.com/mooc/422/coursera-functional-programming-principles-in-scala
Functional Programming Principles in Scala,40,4.85,Vlad Podgurschi,5,2014-12-18,/u/38313,,https://www.class-central.com/mooc/422/coursera-functional-programming-principles-in-scala
Functional Programming Principles in Scala,40,4.85,Mirko Francuski,5,2015-10-19,/u/106051,,https://www.class-central.com/mooc/422/coursera-functional-programming-principles-in-scala
Functional Programming Principles in Scala,40,4.85,Ilya Rudyak,4,2015-08-04,/u/66901,,https://www.class-central.com/mooc/422/coursera-functional-programming-principles-in-scala
Functional Programming Principles in Scala,40,4.85,Alex Vasquez Valderrama,3,2014-09-15,null,,https://www.class-central.com/mooc/422/coursera-functional-programming-principles-in-scala
Functional Programming Principles in Scala,40,4.85,Dhawal Shah,5,2014-02-15,/@dhawal,,https://www.class-central.com/mooc/422/coursera-functional-programming-principles-in-scala
Functional Programming Principles in Scala,40,4.85,Marat Minshin,5,2015-01-26,/u/12100,,https://www.class-central.com/mooc/422/coursera-functional-programming-principles-in-scala
Functional Programming Principles in Scala,40,4.85,Juan Caballero,5,2015-09-29,null,,https://www.class-central.com/mooc/422/coursera-functional-programming-principles-in-scala
Functional Programming Principles in Scala,40,4.85,Wb,5,2016-02-04,/u/137594,,https://www.class-central.com/mooc/422/coursera-functional-programming-principles-in-scala
Functional Programming Principles in Scala,40,4.85,Icuken Icukenovitch,5,2016-07-04,/u/161350,,https://www.class-central.com/mooc/422/coursera-functional-programming-principles-in-scala
