title,provider,school,rating,review_count,language,price,description,url,course_id
"Algorithms: Design and Analysis, Part 1",Coursera,Stanford University,5,35,,FREE,"In this course you will learn several fundamental principles of algorithm design: divide-and-conquer methods, graph algorithms, practical data structures (heaps, hash tables, search trees), randomized algorithms, and more.",/enroll?course_id=16,16
Automata,Coursera,Stanford University,4,14,,FREE,"This course covers finite automata, context-free grammars, Turing machines, undecidable problems, and intractable problems (NP-completeness).",/enroll?course_id=20,20
Compilers,Coursera,Stanford University,4,15,,FREE,This course will discuss the major ideas used today in the implementation of programming language compilers. You will learn how a program written in a high-level language designed for humans is systematically translated into a program written in low-level assembly more suited to machines!,/enroll?course_id=22,22
Statistics One,Coursera,Princeton University,4,18,,FREE,Statistics One is a comprehensive yet friendly introduction to statistics.,/enroll?course_id=29,29
Networked Life,Coursera,University of Pennsylvania,4,13,,FREE,"Networked Life will explore recent scientific efforts to explain social, economic and technological structures -- and the way these structures interact -- on many different scales, from the behavior of individuals or small groups to that of complex networks such as the Internet and the global economy.",/enroll?course_id=35,35
Vaccines,Coursera,University of Pennsylvania,5,10,,FREE,"This course will discuss issues regarding vaccines and vaccine safety: the history, science, benefits, and risks of vaccines, together with the controversies and common questions surrounding vaccines, and an update on newly created vaccines and recent outbreaks of previously controlled diseases.",/enroll?course_id=38,38
"Cardiac Arrest, Hypothermia, and Resuscitation Science",Coursera,University of Pennsylvania,5,10,,FREE,"This course will explore new breakthroughs in the treatment of patients during cardiac arrest and after successful resuscitation, including new approaches to cardiopulmonary resuscitation (CPR) and post-arrest care.",/enroll?course_id=40,40
Social Network Analysis,Coursera,University of Michigan,4,13,,FREE,"This course will use social network analysis, both its theory and computational tools, to make sense of the social and information networks that have been fueled and rendered accessible by the internet.",/enroll?course_id=42,42
"Fantasy and Science Fiction: The Human Mind, Our Modern World",Coursera,University of Michigan,4,29,,FREE,We understand the world ? and our selves ? through stories. Then some of those hopes and fears become the world.,/enroll?course_id=45,45
Experimental Genome Science,Coursera,University of Pennsylvania,3,2,,FREE,"Each of our cells contains nearly identical copies of our genome, which provides instructions that allow us to develop and function. This course serves as an introduction to the main laboratory and theoretical aspects of genomics and is divided into themes: genomes, genetics, functional genomics, systems biology, single cell approaches, proteomics, and applications.",/enroll?course_id=48,48
Neuroethics,Coursera,University of Pennsylvania,2,4,,FREE,"This course will examine the ethical, legal and social issues raised by neuroscience. Topics will include the implications of new knowledge of the brain for our understanding of selfhood, for the meaning of privacy, for the distinction between therapy and enhancement, and for national security.",/enroll?course_id=54,54
Rationing and Allocating Scarce Medical Resources,Coursera,University of Pennsylvania,4,1,,FREE,This course will explore the complex challenges of allocating scarce medical resources at both the micro and macro level. Students will learn the theories behind allocation and use modern examples to explore how society makes the difficult decisions that arise when there is not enough to go around.,/enroll?course_id=55,55
Introduction to Astronomy,Coursera,Duke University,5,28,,FREE,An introduction to astronomy through a broad survey of what we know about the universe and how we know it.,/enroll?course_id=60,60
Clinical Problem Solving,Coursera,"University of California, San Francisco",5,3,,FREE,Participants will learn how to move efficiently from patient signs and symptoms to a rational and prioritized set of diagnostic possibilities and will learn how to study and read to facilitate this process.,/enroll?course_id=67,67
Nutrition for Health Promotion and Disease Prevention,Coursera,"University of California, San Francisco",4,12,,FREE,This course covers the basics of normal nutrition for optimal health outcomes and evidence-based diets for a variety of diseases.,/enroll?course_id=69,69
"Contraception: Choices, Culture and Consequences",Coursera,"University of California, San Francisco",4,3,,FREE,"Learn about the wide range of contraceptive methods, and the public health implications related to access to information and choices about reproductive health.",/enroll?course_id=71,71
Vaccine Trials: Methods and Best Practices,Coursera,Johns Hopkins University,4,1,,FREE,"This course will explore the process of evaluating investigational vaccines in clinical trials including informed consent, recruitment, enrollment, safety evaluation, and quality data collection.",/enroll?course_id=77,77
Galaxies and Cosmology,Coursera,Caltech,4,10,,FREE,"An introduction to the modern extragalactic astronomy and cosmology, the physical universe, big bang, formation and evolution of galaxies, quasars, and large-scale structure.",/enroll?course_id=79,79
Computational Photography,Coursera,Georgia Institute of Technology,3,2,,FREE,"In this course you will learn about the basics of how computation has impacted the entire workflow of photography (i.e., from how images are captured, manipulated and collaborated on, and shared).",/enroll?course_id=85,85
Fundamentals of Electrical Engineering,Coursera,Rice University,5,5,,FREE,"This course probes fundamental ideas in electrical engineering, seeking to understand how electrical signals convey information, how bits can represent smooth signals like music and how modern communication systems work.",/enroll?course_id=88,88
Nanotechnology: The Basics,Coursera,Rice University,4,5,,FREE,Nanotechnology is an emerging area that engages almost every technical discipline ? from chemistry to computer science ? in the study and application of extremely tiny materials. ?This short course allows any technically savvy person to go one layer beyond the surface of this broad topic to see the real substance behind the very small.,/enroll?course_id=91,91
Scientific Computing,Coursera,University of Washington,3,4,,FREE,"Investigate the flexibility and power of project-oriented computational analysis, and enhance communication of information by creating visual representations of scientific data.",/enroll?course_id=95,95
Information Security and Risk Management in Context,Coursera,University of Washington,1,6,,FREE,Learn to defend and protect vital company information using the latest technology and defense strategies. Analyze internal and external threats to proactively prevent information attacks. Gain experience by solving real-world problems and leave the class equipped to establish and oversee information security.,/enroll?course_id=96,96
Computer Networks,Coursera,University of Washington,4,16,,FREE,The Internet is a computer network that millions of people use every day. Understand the design strategies used to solve computer networking problems while you learn how the Internet works.,/enroll?course_id=97,97
Introduction to Data Science,Coursera,University of Washington,3,43,,FREE,Join the data revolution. Companies are searching for data scientists. This specialized field demands multiple skills not easy to obtain through conventional curricula. Introduce yourself to the basics of data science and leave armed with practical experience extracting value from big data. #uwdatasci,/enroll?course_id=98,98
Critical Thinking in Global Challenges,Coursera,The University of Edinburgh,4,72,,FREE,"In this course you will develop and enhance your ability to think critically, assess information and develop reasoned arguments in the context of the global challenges facing society today.",/enroll?course_id=101,101
E-learning and Digital Cultures,Coursera,The University of Edinburgh,4,14,,FREE,"This course will explore how digital cultures and learning cultures connect, and what this means for the ways in which we conduct education online. The course is not about how to ¡®do¡¯ e-learning; rather, it is an invitation to view online educational practices through a particular lens ? that of popular and digital culture. Follow this course on Twitter at #edcmooc.",/enroll?course_id=102,102
The Hardware/Software Interface,Coursera,University of Washington,4,11,,FREE,"Examines key computational abstraction levels below modern high-level languages. From Java/C to assembly programming, to basic processor and system organization.",/enroll?course_id=106,106
"Algorithms: Design and Analysis, Part 2",Coursera,Stanford University,5,5,,FREE,In this course you will learn several fundamental principles of advanced algorithm design: greedy algorithms and applications; dynamic programming and applications; NP-completeness and what it means for the algorithm designer; the design and analysis of heuristics; and more.,/enroll?course_id=112,112
Heterogeneous Parallel Programming,Coursera,University of Illinois at Urbana-Champaign,4,5,,FREE,"This course introduces concepts, languages, techniques, and patterns for programming heterogeneous, massively parallel processors. Its contents and structure have been significantly revised based on the experience gained from its initial offering in 2012. It covers heterogeneous computing architectures, data-parallel programming models, techniques for memory bandwidth management, and parallel algorithm patterns.",/enroll?course_id=113,113
"Creative, Serious and Playful Science of Android Apps",Coursera,University of Illinois at Urbana-Champaign,3,4,,FREE,"In this course, you will learn the fundamental computer science principles that power today¡¯s apps. You will also create your own Android app using Java and standard software development tools.",/enroll?course_id=115,115
