school_mooc,school_ranking
ETS,not school
Delft University of Technology,Delft University of Technology
Indian Institute of Management Bangalore,Indian Institute of Management (IIM) - Bangalore
University of Michigan,University of Michigan
Arizona State University,Arizona State University
Massachusetts Institute of Technology,Massachusetts Institute of Technology (MIT)
The University of Texas at Austin,University of Texas at Austin
National University of Science and Technology MISiS,The National University of Science and Technology MISIS
Institut Mines-T?l?com,NA
University of Queensland,The University of Queensland
"University of California, Berkeley","University of California, Berkeley (UCB)"
Catalyst,not school
Tsinghua University,Tsinghua University
NA,NA
The University of British Columbia,University of British Columbia
Babson College,0
International Monetary Fund,not school
Dartmouth,Dartmouth College
Columbia University,Columbia University
University of Adelaide,The University of Adelaide
University of Pennsylvania,University of Pennsylvania
University System of Maryland,"University of Maryland, College Park+University of Maryland, Baltimore County"
Microsoft,not school
"University of California, San Diego","University of California, San Diego (UCSD)"
Georgia Institute of Technology,Georgia Institute of Technology
Wageningen University,Wageningen University
Harvard University,Harvard University
RWTH Aachen University,RWTH Aachen University
Sorbonne Universit?s,Universit? Paris-Sorbonne (Paris IV)
Curtin University,Curtin University
Universidad Carlos iii de Madrid,Universidad Carlos III de Madrid (UC3M)
Teach For America,not school
Inter-American Development Bank,not school
Purdue University,Purdue University
Chalmers University of Technology,Chalmers University of Technology
World Wide Web Consortium (W3C),not school
Technische Universit?t M?nchen (Technical University of Munich),Technical University of Munich
?cole Polytechnique F?d?rale de Lausanne,Ecole Polytechnique F?d?rale de Lausanne (EPFL)
MandarinX,not school
Linux Foundation,not school
Berklee College of Music,0
Tokyo Institute of Technology,Tokyo Institute of Technology
University of Notre Dame,University of Notre Dame
Universit? catholique de Louvain,Universit? Catholique de Louvain (UCL)
Georgetown University,Georgetown University
McGill University,McGill University
Hong Kong Polytechnic University,The Hong Kong Polytechnic University
Kyoto University,Kyoto University
Indian Institute of Technology Bombay,Indian Institute of Technology Bombay (IITB)
The University of Tokyo,The University of Tokyo
KU Leuven University,KU Leuven
University of Newcastle,"The University of Newcastle, Australia (UON)"
Victoria University of Wellington,Victoria University of Wellington
IEEE,not school
Davidson College,0
Rochester Institute of Technology,0
Cornell University,Cornell University
