course_id,title,provider,area,subject,school,time_school_ranking,total_review_rating,total_review_count,published_time,time,session_open,time_review_count,time_review_rating,time_avg_helpful_review_score,time_avg_moderate_review,time_avg_review_length,total_review_rating,time_avg_high_review,time_avg_low_review,effort_hours (per_week),level,price,enrollment_type,course_length,url,in-degree,out-degree,closeness,betweenness,eigenvector,transitivity,constraint
classCentral-1,TOEFL¢ç Test Preparation: The Insider¡¯s Guide,edX,NA,Language,ETS,NA,5,2,3,1,FALSE,0,0,0,0,0,5,0,0,3,Introductory,49,FREE audit/Pay for certificate,13,https://www.class-central.com/mooc/6344/edx-toefl-test-preparation-the-insider-s-guide,NA,NA,NA,NA,NA,NA,NA
classCentral-1,TOEFL¢ç Test Preparation: The Insider¡¯s Guide,edX,NA,Language,ETS,NA,5,2,3,2,FALSE,0,0,0,0,0,5,0,0,3,Introductory,49,FREE audit/Pay for certificate,13,https://www.class-central.com/mooc/6344/edx-toefl-test-preparation-the-insider-s-guide,NA,NA,NA,NA,NA,NA,NA
classCentral-1,TOEFL¢ç Test Preparation: The Insider¡¯s Guide,edX,NA,Language,ETS,NA,5,2,3,3,TRUE,0,0,0,0,0,5,0,0,3,Introductory,49,FREE audit/Pay for certificate,13,https://www.class-central.com/mooc/6344/edx-toefl-test-preparation-the-insider-s-guide,NA,NA,NA,NA,NA,NA,NA
classCentral-1,TOEFL¢ç Test Preparation: The Insider¡¯s Guide,edX,NA,Language,ETS,NA,5,2,3,4,TRUE,2,5.0,0.0,0.0,239.0,5,1.0,0.0,3,Introductory,49,FREE audit/Pay for certificate,13,https://www.class-central.com/mooc/6344/edx-toefl-test-preparation-the-insider-s-guide,0.000910746812386157,0,0.00366400597987133,0,2.27457657891007e-05,0,1.00004626469832
classCentral-2,Project Management: Mastering Complexity,edX,NA,Business & Management,Delft University of Technology,95,0,0,4,1,FALSE,0,0,0,0,0,0,0,0,5,Advanced,295,only paid,5,https://www.class-central.com/mooc/8249/edx-project-management-mastering-complexity,NA,NA,NA,NA,NA,NA,NA
classCentral-2,Project Management: Mastering Complexity,edX,NA,Business & Management,Delft University of Technology,86,0,0,4,2,FALSE,0,0,0,0,0,0,0,0,5,Advanced,295,only paid,5,https://www.class-central.com/mooc/8249/edx-project-management-mastering-complexity,NA,NA,NA,NA,NA,NA,NA
classCentral-2,Project Management: Mastering Complexity,edX,NA,Business & Management,Delft University of Technology,64,0,0,4,3,FALSE,0,0,0,0,0,0,0,0,5,Advanced,295,only paid,5,https://www.class-central.com/mooc/8249/edx-project-management-mastering-complexity,NA,NA,NA,NA,NA,NA,NA
classCentral-2,Project Management: Mastering Complexity,edX,NA,Business & Management,Delft University of Technology,62,0,0,4,4,TRUE,0,0,0,0,0,0,0,0,5,Advanced,295,only paid,5,https://www.class-central.com/mooc/8249/edx-project-management-mastering-complexity,NA,NA,NA,NA,NA,NA,NA
classCentral-3,Introduction to Investments,edX,NA,Business & Management,Indian Institute of Management Bangalore,NA,5,1,3,1,FALSE,0,0,0,0,0,5,0,0,5,Intermediate,25,FREE audit/Pay for certificate,5,https://www.class-central.com/mooc/5999/edx-introduction-to-investments,NA,NA,NA,NA,NA,NA,NA
classCentral-3,Introduction to Investments,edX,NA,Business & Management,Indian Institute of Management Bangalore,NA,5,1,3,2,FALSE,0,0,0,0,0,5,0,0,5,Intermediate,25,FREE audit/Pay for certificate,5,https://www.class-central.com/mooc/5999/edx-introduction-to-investments,NA,NA,NA,NA,NA,NA,NA
