course_id,title,provider,subject,school,time_school_ranking,total_review_rating,total_review_count,time,time_review_count,time_review_rating,time_avg_low_review,time_avg_moderate_review,time_avg_high_review,time_avg_helpful_review_score,time_avg_review_length,effort_hours (per_week),level,price,enrollment_type,course_length,url
classCentral-1,TOEFL¢ç Test Preparation: The Insider¡¯s Guide,edX,Language,ETS,NA,5,2,1,0,0,0,0,0,0,0,3,Introductory,49,FREE audit/Pay for certificate,13,https://www.class-central.com/mooc/6344/edx-toefl-test-preparation-the-insider-s-guide
classCentral-1,TOEFL¢ç Test Preparation: The Insider¡¯s Guide,edX,Language,ETS,NA,5,2,2,0,0,0,0,0,0,0,3,Introductory,49,FREE audit/Pay for certificate,13,https://www.class-central.com/mooc/6344/edx-toefl-test-preparation-the-insider-s-guide
classCentral-1,TOEFL¢ç Test Preparation: The Insider¡¯s Guide,edX,Language,ETS,NA,5,2,3,0,0,0,0,0,0,0,3,Introductory,49,FREE audit/Pay for certificate,13,https://www.class-central.com/mooc/6344/edx-toefl-test-preparation-the-insider-s-guide
classCentral-1,TOEFL¢ç Test Preparation: The Insider¡¯s Guide,edX,Language,ETS,NA,5,2,4,2,5.0,0.0,0.0,1.0,0.0,239.0,3,Introductory,49,FREE audit/Pay for certificate,13,https://www.class-central.com/mooc/6344/edx-toefl-test-preparation-the-insider-s-guide
classCentral-2,Project Management: Mastering Complexity,edX,Business & Management,Delft University of Technology,95,0,0,1,0,0,0,0,0,0,0,5,Advanced,295,only paid,5,https://www.class-central.com/mooc/8249/edx-project-management-mastering-complexity
classCentral-2,Project Management: Mastering Complexity,edX,Business & Management,Delft University of Technology,86,0,0,2,0,0,0,0,0,0,0,5,Advanced,295,only paid,5,https://www.class-central.com/mooc/8249/edx-project-management-mastering-complexity
classCentral-2,Project Management: Mastering Complexity,edX,Business & Management,Delft University of Technology,64,0,0,3,0,0,0,0,0,0,0,5,Advanced,295,only paid,5,https://www.class-central.com/mooc/8249/edx-project-management-mastering-complexity
classCentral-2,Project Management: Mastering Complexity,edX,Business & Management,Delft University of Technology,62,0,0,4,0,0,0,0,0,0,0,5,Advanced,295,only paid,5,https://www.class-central.com/mooc/8249/edx-project-management-mastering-complexity
classCentral-3,Introduction to Investments,edX,Business & Management,Indian Institute of Management Bangalore,NA,5,1,1,0,0,0,0,0,0,0,5,Intermediate,25,FREE audit/Pay for certificate,5,https://www.class-central.com/mooc/5999/edx-introduction-to-investments
classCentral-3,Introduction to Investments,edX,Business & Management,Indian Institute of Management Bangalore,NA,5,1,2,0,0,0,0,0,0,0,5,Intermediate,25,FREE audit/Pay for certificate,5,https://www.class-central.com/mooc/5999/edx-introduction-to-investments
classCentral-3,Introduction to Investments,edX,Business & Management,Indian Institute of Management Bangalore,NA,5,1,3,0,0,0,0,0,0,0,5,Intermediate,25,FREE audit/Pay for certificate,5,https://www.class-central.com/mooc/5999/edx-introduction-to-investments
classCentral-3,Introduction to Investments,edX,Business & Management,Indian Institute of Management Bangalore,NA,5,1,4,1,5.0,0.0,0.0,1.0,0.0,0.0,5,Intermediate,25,FREE audit/Pay for certificate,5,https://www.class-central.com/mooc/5999/edx-introduction-to-investments
classCentral-4,Stand up for Science: Practical Approaches to Discussing Science that Matters,edX,Science,University of Michigan,22,0,0,1,0,0,0,0,0,0,0,3.5,Introductory,25,FREE audit/Pay for certificate,1,https://www.class-central.com/mooc/8262/edx-stand-up-for-science-practical-approaches-to-discussing-science-that-matters
classCentral-4,Stand up for Science: Practical Approaches to Discussing Science that Matters,edX,Science,University of Michigan,23,0,0,2,0,0,0,0,0,0,0,3.5,Introductory,25,FREE audit/Pay for certificate,1,https://www.class-central.com/mooc/8262/edx-stand-up-for-science-practical-approaches-to-discussing-science-that-matters
classCentral-4,Stand up for Science: Practical Approaches to Discussing Science that Matters,edX,Science,University of Michigan,30,0,0,3,0,0,0,0,0,0,0,3.5,Introductory,25,FREE audit/Pay for certificate,1,https://www.class-central.com/mooc/8262/edx-stand-up-for-science-practical-approaches-to-discussing-science-that-matters
classCentral-4,Stand up for Science: Practical Approaches to Discussing Science that Matters,edX,Science,University of Michigan,23,0,0,4,0,0,0,0,0,0,0,3.5,Introductory,25,FREE audit/Pay for certificate,1,https://www.class-central.com/mooc/8262/edx-stand-up-for-science-practical-approaches-to-discussing-science-that-matters
classCentral-5,Precalculus,edX,Math,Arizona State University,293,0,0,1,0,0,0,0,0,0,0,NA,Intermediate,49,FREE audit/Pay for certificate,NA,https://www.class-central.com/mooc/8489/edx-precalculus
classCentral-5,Precalculus,edX,Math,Arizona State University,294,0,0,2,0,0,0,0,0,0,0,NA,Intermediate,49,FREE audit/Pay for certificate,NA,https://www.class-central.com/mooc/8489/edx-precalculus
classCentral-5,Precalculus,edX,Math,Arizona State University,249,0,0,3,0,0,0,0,0,0,0,NA,Intermediate,49,FREE audit/Pay for certificate,NA,https://www.class-central.com/mooc/8489/edx-precalculus
classCentral-5,Precalculus,edX,Math,Arizona State University,222,0,0,4,0,0,0,0,0,0,0,NA,Intermediate,49,FREE audit/Pay for certificate,NA,https://www.class-central.com/mooc/8489/edx-precalculus
classCentral-6,Evaluating Social Programs,edX,Economics & Finance,Massachusetts Institute of Technology,1,5,1,1,0,0,0,0,0,0,0,4,Intermediate,49,FREE audit/Pay for certificate,5,https://www.class-central.com/mooc/1783/edx-evaluating-social-programs
classCentral-6,Evaluating Social Programs,edX,Economics & Finance,Massachusetts Institute of Technology,1,5,1,2,0,0,0,0,0,0,0,4,Intermediate,49,FREE audit/Pay for certificate,5,https://www.class-central.com/mooc/1783/edx-evaluating-social-programs
classCentral-6,Evaluating Social Programs,edX,Economics & Finance,Massachusetts Institute of Technology,1,5,1,3,0,0,0,0,0,0,0,4,Intermediate,49,FREE audit/Pay for certificate,5,https://www.class-central.com/mooc/1783/edx-evaluating-social-programs
classCentral-6,Evaluating Social Programs,edX,Economics & Finance,Massachusetts Institute of Technology,1,5,1,4,1,5.0,0.0,0.0,1.0,0.0,204.0,4,Intermediate,49,FREE audit/Pay for certificate,5,https://www.class-central.com/mooc/1783/edx-evaluating-social-programs
classCentral-7,Foundations of Computer Science for Teachers,edX,Education & Teacher Training,The University of Texas at Austin,71,0,0,1,0,0,0,0,0,0,0,5,Introductory,99,FREE audit/Pay for certificate,6,https://www.class-central.com/mooc/7838/edx-foundations-of-computer-science-for-teachers
classCentral-7,Foundations of Computer Science for Teachers,edX,Education & Teacher Training,The University of Texas at Austin,79,0,0,2,0,0,0,0,0,0,0,5,Introductory,99,FREE audit/Pay for certificate,6,https://www.class-central.com/mooc/7838/edx-foundations-of-computer-science-for-teachers
classCentral-7,Foundations of Computer Science for Teachers,edX,Education & Teacher Training,The University of Texas at Austin,77,0,0,3,0,0,0,0,0,0,0,5,Introductory,99,FREE audit/Pay for certificate,6,https://www.class-central.com/mooc/7838/edx-foundations-of-computer-science-for-teachers
classCentral-7,Foundations of Computer Science for Teachers,edX,Education & Teacher Training,The University of Texas at Austin,67,0,0,4,0,0,0,0,0,0,0,5,Introductory,99,FREE audit/Pay for certificate,6,https://www.class-central.com/mooc/7838/edx-foundations-of-computer-science-for-teachers
classCentral-8,Materials Science and Engineering,edX,Engineering,National University of Science and Technology MISiS,NA,0,0,1,0,0,0,0,0,0,0,3.5,Intermediate,49,FREE audit/Pay for certificate,7,https://www.class-central.com/mooc/8150/edx-materials-science-and-engineering
classCentral-8,Materials Science and Engineering,edX,Engineering,National University of Science and Technology MISiS,750,0,0,2,0,0,0,0,0,0,0,3.5,Intermediate,49,FREE audit/Pay for certificate,7,https://www.class-central.com/mooc/8150/edx-materials-science-and-engineering
classCentral-8,Materials Science and Engineering,edX,Engineering,National University of Science and Technology MISiS,758,0,0,3,0,0,0,0,0,0,0,3.5,Intermediate,49,FREE audit/Pay for certificate,7,https://www.class-central.com/mooc/8150/edx-materials-science-and-engineering
classCentral-8,Materials Science and Engineering,edX,Engineering,National University of Science and Technology MISiS,623,0,0,4,0,0,0,0,0,0,0,3.5,Intermediate,49,FREE audit/Pay for certificate,7,https://www.class-central.com/mooc/8150/edx-materials-science-and-engineering
classCentral-9,4G Network Essentials,edX,Engineering,Institut Mines-T?l?com,NA,0,0,1,0,0,0,0,0,0,0,3,Intermediate,49,FREE audit/Pay for certificate,6,https://www.class-central.com/mooc/8371/edx-4g-network-essentials
classCentral-9,4G Network Essentials,edX,Engineering,Institut Mines-T?l?com,NA,0,0,2,0,0,0,0,0,0,0,3,Intermediate,49,FREE audit/Pay for certificate,6,https://www.class-central.com/mooc/8371/edx-4g-network-essentials
classCentral-9,4G Network Essentials,edX,Engineering,Institut Mines-T?l?com,NA,0,0,3,0,0,0,0,0,0,0,3,Intermediate,49,FREE audit/Pay for certificate,6,https://www.class-central.com/mooc/8371/edx-4g-network-essentials
classCentral-9,4G Network Essentials,edX,Engineering,Institut Mines-T?l?com,NA,0,0,4,0,0,0,0,0,0,0,3,Intermediate,49,FREE audit/Pay for certificate,6,https://www.class-central.com/mooc/8371/edx-4g-network-essentials
classCentral-10,Diversity and Social Justice in Social Work,edX,Social Sciences,University of Michigan,22,0,0,1,0,0,0,0,0,0,0,9,Advanced,199,FREE audit/Pay for certificate,8,https://www.class-central.com/mooc/7305/edx-diversity-and-social-justice-in-social-work
classCentral-10,Diversity and Social Justice in Social Work,edX,Social Sciences,University of Michigan,23,0,0,2,0,0,0,0,0,0,0,9,Advanced,199,FREE audit/Pay for certificate,8,https://www.class-central.com/mooc/7305/edx-diversity-and-social-justice-in-social-work
classCentral-10,Diversity and Social Justice in Social Work,edX,Social Sciences,University of Michigan,30,0,0,3,0,0,0,0,0,0,0,9,Advanced,199,FREE audit/Pay for certificate,8,https://www.class-central.com/mooc/7305/edx-diversity-and-social-justice-in-social-work
classCentral-10,Diversity and Social Justice in Social Work,edX,Social Sciences,University of Michigan,23,0,0,4,0,0,0,0,0,0,0,9,Advanced,199,FREE audit/Pay for certificate,8,https://www.class-central.com/mooc/7305/edx-diversity-and-social-justice-in-social-work
classCentral-11,Introduction to Psychological Research Methods,edX,Social Sciences,University of Queensland,43,0,0,1,0,0,0,0,0,0,0,1.5,Introductory,99,FREE audit/Pay for certificate,7,https://www.class-central.com/mooc/8257/edx-introduction-to-psychological-research-methods
classCentral-11,Introduction to Psychological Research Methods,edX,Social Sciences,University of Queensland,43,0,0,2,0,0,0,0,0,0,0,1.5,Introductory,99,FREE audit/Pay for certificate,7,https://www.class-central.com/mooc/8257/edx-introduction-to-psychological-research-methods
classCentral-11,Introduction to Psychological Research Methods,edX,Social Sciences,University of Queensland,46,0,0,3,0,0,0,0,0,0,0,1.5,Introductory,99,FREE audit/Pay for certificate,7,https://www.class-central.com/mooc/8257/edx-introduction-to-psychological-research-methods
classCentral-11,Introduction to Psychological Research Methods,edX,Social Sciences,University of Queensland,51,0,0,4,0,0,0,0,0,0,0,1.5,Introductory,99,FREE audit/Pay for certificate,7,https://www.class-central.com/mooc/8257/edx-introduction-to-psychological-research-methods
classCentral-12,Agile Development Using Ruby on Rails - Basics,edX,Computer Science,"University of California, Berkeley",25,4.578947368,19,1,2,4.5,0.0,0.0,1.0,1.0,573.0,12,Intermediate,99,FREE audit/Pay for certificate,6,https://www.class-central.com/mooc/443/edx-agile-development-using-ruby-on-rails-basics
classCentral-12,Agile Development Using Ruby on Rails - Basics,edX,Computer Science,"University of California, Berkeley",27,4.578947368,19,2,3,4.666666666666667,0.0,0.0,1.0,1.0,210.33333333333334,12,Intermediate,99,FREE audit/Pay for certificate,6,https://www.class-central.com/mooc/443/edx-agile-development-using-ruby-on-rails-basics
classCentral-12,Agile Development Using Ruby on Rails - Basics,edX,Computer Science,"University of California, Berkeley",26,4.578947368,19,3,8,4.25,0.0,0.25,0.75,0.875,266.125,12,Intermediate,99,FREE audit/Pay for certificate,6,https://www.class-central.com/mooc/443/edx-agile-development-using-ruby-on-rails-basics
classCentral-12,Agile Development Using Ruby on Rails - Basics,edX,Computer Science,"University of California, Berkeley",28,4.578947368,19,4,3,5.0,0.0,0.0,1.0,0.0,0.0,12,Intermediate,99,FREE audit/Pay for certificate,6,https://www.class-central.com/mooc/443/edx-agile-development-using-ruby-on-rails-basics
classCentral-13,Leading With Effective Communication (Inclusive Leadership Training),edX,Business & Management,Catalyst,NA,4,1,1,0,0,0,0,0,0,0,1.75,Introductory,50,FREE audit/Pay for certificate,4,https://www.class-central.com/mooc/4547/edx-leading-with-effective-communication-inclusive-leadership-training
classCentral-13,Leading With Effective Communication (Inclusive Leadership Training),edX,Business & Management,Catalyst,NA,4,1,2,0,0,0,0,0,0,0,1.75,Introductory,50,FREE audit/Pay for certificate,4,https://www.class-central.com/mooc/4547/edx-leading-with-effective-communication-inclusive-leadership-training
classCentral-13,Leading With Effective Communication (Inclusive Leadership Training),edX,Business & Management,Catalyst,NA,4,1,3,0,0,0,0,0,0,0,1.75,Introductory,50,FREE audit/Pay for certificate,4,https://www.class-central.com/mooc/4547/edx-leading-with-effective-communication-inclusive-leadership-training
classCentral-13,Leading With Effective Communication (Inclusive Leadership Training),edX,Business & Management,Catalyst,NA,4,1,4,1,4.0,0.0,0.0,1.0,0.0,0.0,1.75,Introductory,50,FREE audit/Pay for certificate,4,https://www.class-central.com/mooc/4547/edx-leading-with-effective-communication-inclusive-leadership-training
classCentral-14,Complex Analysis with Physical Applications,edX,Math,National University of Science and Technology MISiS,NA,0,0,1,0,0,0,0,0,0,0,5.5,Advanced,49,FREE audit/Pay for certificate,14,https://www.class-central.com/mooc/8152/edx-complex-analysis-with-physical-applications
classCentral-14,Complex Analysis with Physical Applications,edX,Math,National University of Science and Technology MISiS,750,0,0,2,0,0,0,0,0,0,0,5.5,Advanced,49,FREE audit/Pay for certificate,14,https://www.class-central.com/mooc/8152/edx-complex-analysis-with-physical-applications
classCentral-14,Complex Analysis with Physical Applications,edX,Math,National University of Science and Technology MISiS,758,0,0,3,0,0,0,0,0,0,0,5.5,Advanced,49,FREE audit/Pay for certificate,14,https://www.class-central.com/mooc/8152/edx-complex-analysis-with-physical-applications
classCentral-14,Complex Analysis with Physical Applications,edX,Math,National University of Science and Technology MISiS,623,0,0,4,0,0,0,0,0,0,0,5.5,Advanced,49,FREE audit/Pay for certificate,14,https://www.class-central.com/mooc/8152/edx-complex-analysis-with-physical-applications
classCentral-15,Get Beyond Work-Life Balance (Inclusive Leadership Training),edX,Business & Management,Catalyst,NA,4,1,1,0,0,0,0,0,0,0,1.25,Introductory,50,FREE audit/Pay for certificate,4,https://www.class-central.com/mooc/5286/edx-get-beyond-work-life-balance-inclusive-leadership-training
classCentral-15,Get Beyond Work-Life Balance (Inclusive Leadership Training),edX,Business & Management,Catalyst,NA,4,1,2,0,0,0,0,0,0,0,1.25,Introductory,50,FREE audit/Pay for certificate,4,https://www.class-central.com/mooc/5286/edx-get-beyond-work-life-balance-inclusive-leadership-training
classCentral-15,Get Beyond Work-Life Balance (Inclusive Leadership Training),edX,Business & Management,Catalyst,NA,4,1,3,0,0,0,0,0,0,0,1.25,Introductory,50,FREE audit/Pay for certificate,4,https://www.class-central.com/mooc/5286/edx-get-beyond-work-life-balance-inclusive-leadership-training
