from,to
https://www.class-central.com/mooc/2353/coursera-chinese-for-beginners,https://www.class-central.com/mooc/2727/coursera-work-smarter-not-harder-time-management-for-personal-professional-productivity
https://www.class-central.com/mooc/2353/coursera-chinese-for-beginners,https://www.class-central.com/mooc/1712/coursera-the-data-scientist-s-toolbox
https://www.class-central.com/mooc/2353/coursera-chinese-for-beginners,https://www.class-central.com/mooc/2161/coursera-learning-how-to-learn-powerful-mental-tools-to-help-you-master-tough-subjects
https://www.class-central.com/mooc/2353/coursera-chinese-for-beginners,https://www.class-central.com/mooc/2667/coursera-the-bilingual-brain
https://www.class-central.com/mooc/2353/coursera-chinese-for-beginners,https://www.class-central.com/mooc/396/coursera-an-introduction-to-the-u-s-food-system-perspectives-from-public-health
https://www.class-central.com/mooc/2353/coursera-chinese-for-beginners,https://www.class-central.com/mooc/484/coursera-fundamentals-of-personal-financial-planning
https://www.class-central.com/mooc/2353/coursera-chinese-for-beginners,https://www.class-central.com/mooc/1403/coursera-the-addicted-brain
https://www.class-central.com/mooc/2353/coursera-chinese-for-beginners,https://www.class-central.com/mooc/889/coursera-introduction-to-public-speaking
https://www.class-central.com/mooc/2727/coursera-work-smarter-not-harder-time-management-for-personal-professional-productivity,https://www.class-central.com/mooc/2353/coursera-chinese-for-beginners
https://www.class-central.com/mooc/2727/coursera-work-smarter-not-harder-time-management-for-personal-professional-productivity,https://www.class-central.com/mooc/1712/coursera-the-data-scientist-s-toolbox
https://www.class-central.com/mooc/2727/coursera-work-smarter-not-harder-time-management-for-personal-professional-productivity,https://www.class-central.com/mooc/2161/coursera-learning-how-to-learn-powerful-mental-tools-to-help-you-master-tough-subjects
https://www.class-central.com/mooc/2727/coursera-work-smarter-not-harder-time-management-for-personal-professional-productivity,https://www.class-central.com/mooc/2667/coursera-the-bilingual-brain
https://www.class-central.com/mooc/2727/coursera-work-smarter-not-harder-time-management-for-personal-professional-productivity,https://www.class-central.com/mooc/396/coursera-an-introduction-to-the-u-s-food-system-perspectives-from-public-health
https://www.class-central.com/mooc/2727/coursera-work-smarter-not-harder-time-management-for-personal-professional-productivity,https://www.class-central.com/mooc/484/coursera-fundamentals-of-personal-financial-planning
https://www.class-central.com/mooc/2727/coursera-work-smarter-not-harder-time-management-for-personal-professional-productivity,https://www.class-central.com/mooc/1403/coursera-the-addicted-brain
https://www.class-central.com/mooc/2727/coursera-work-smarter-not-harder-time-management-for-personal-professional-productivity,https://www.class-central.com/mooc/889/coursera-introduction-to-public-speaking
https://www.class-central.com/mooc/1712/coursera-the-data-scientist-s-toolbox,https://www.class-central.com/mooc/2353/coursera-chinese-for-beginners
https://www.class-central.com/mooc/1712/coursera-the-data-scientist-s-toolbox,https://www.class-central.com/mooc/2727/coursera-work-smarter-not-harder-time-management-for-personal-professional-productivity
https://www.class-central.com/mooc/1712/coursera-the-data-scientist-s-toolbox,https://www.class-central.com/mooc/2161/coursera-learning-how-to-learn-powerful-mental-tools-to-help-you-master-tough-subjects
https://www.class-central.com/mooc/1712/coursera-the-data-scientist-s-toolbox,https://www.class-central.com/mooc/2667/coursera-the-bilingual-brain
https://www.class-central.com/mooc/1712/coursera-the-data-scientist-s-toolbox,https://www.class-central.com/mooc/396/coursera-an-introduction-to-the-u-s-food-system-perspectives-from-public-health
https://www.class-central.com/mooc/1712/coursera-the-data-scientist-s-toolbox,https://www.class-central.com/mooc/484/coursera-fundamentals-of-personal-financial-planning
https://www.class-central.com/mooc/1712/coursera-the-data-scientist-s-toolbox,https://www.class-central.com/mooc/1403/coursera-the-addicted-brain
https://www.class-central.com/mooc/1712/coursera-the-data-scientist-s-toolbox,https://www.class-central.com/mooc/889/coursera-introduction-to-public-speaking
https://www.class-central.com/mooc/2161/coursera-learning-how-to-learn-powerful-mental-tools-to-help-you-master-tough-subjects,https://www.class-central.com/mooc/2353/coursera-chinese-for-beginners
https://www.class-central.com/mooc/2161/coursera-learning-how-to-learn-powerful-mental-tools-to-help-you-master-tough-subjects,https://www.class-central.com/mooc/2727/coursera-work-smarter-not-harder-time-management-for-personal-professional-productivity
