"","degree","closeness","betweenness","eigenvector","transitivity","constraint","isolate","foldness","url","time"
"1",4,0.00649350649350649,0,4.56502947969648e-06,1,0.773466666666667,0,1,"https://www.class-central.com/mooc/422/coursera-functional-programming-principles-in-scala",1
"2",5,0.00714285714285714,0,0.999999814406518,1,0.655841666666667,0,1,"https://www.class-central.com/mooc/707/coursera-understanding-economic-policymaking",1
"3",0,0.00476190476190476,0,1.26076106844689e-06,0,0,1,0,"https://www.class-central.com/mooc/335/coursera-internet-history-technology-and-security",1
"4",5,0.00714285714285714,0,1,1,0.655841666666667,0,1,"https://www.class-central.com/mooc/976/coursera-the-emergence-of-the-modern-middle-east-part-i",1
"5",5,0.00714285714285714,0,0.999999953070954,1,0.655841666666667,0,1,"https://www.class-central.com/mooc/1307/coursera-fundamentals-of-global-energy-business",1
"6",2,0.00549450549450549,0,0,1,1.13284166666667,0,1,"https://www.class-central.com/mooc/408/coursera-an-introduction-to-interactive-programming-in-python-part-1",1
"7",2,0.00549450549450549,0,0,1,1.13284166666667,0,1,"https://www.class-central.com/mooc/317/coursera-model-thinking",1
"8",4,0.00649350649350649,0,4.88583827699378e-06,1,0.773466666666667,0,1,"https://www.class-central.com/mooc/546/coursera-foundations-of-business-strategy",1
"9",2,0.00549450549450549,0,0,1,1.13284166666667,0,1,"https://www.class-central.com/mooc/307/coursera-natural-language-processing",1
"10",4,0.00649350649350649,0,4.57376050397658e-06,1,0.773466666666667,0,1,"https://www.class-central.com/mooc/388/coursera-computing-for-data-analysis",1
"11",5,0.00714285714285714,0,0.999999698735964,1,0.655841666666667,0,1,"https://www.class-central.com/mooc/1529/coursera-technology-and-ethics",1
"12",4,0.00649350649350649,0,4.8387331576315e-06,1,0.773466666666667,0,1,"https://www.class-central.com/mooc/338/coursera-social-network-analysis",1
"13",5,0.00714285714285714,0,0.999999667133163,1,0.655841666666667,0,1,"https://www.class-central.com/mooc/1751/coursera-analyzing-global-trends-for-business-and-society",1
"14",5,0.00714285714285714,0,0.999999808070746,1,0.655841666666667,0,1,"https://www.class-central.com/mooc/1771/coursera-international-human-rights-law-prospects-and-challenges",1
"15",4,0.00649350649350649,0,4.8040993440004e-06,1,0.773466666666667,0,1,"https://www.class-central.com/mooc/374/coursera-algorithms-design-and-analysis-part-1",1
"16",8,2.57851580630189e-05,1.90334109643594,0.0648184528878891,1,0.316426318719137,0,3,"https://www.class-central.com/mooc/2353/coursera-chinese-for-beginners",2
