from,to
81151,34831
81151,35742
34831,35742
35757,419
35757,221
35757,61
35757,21
35757,36234
419,35757
419,221
419,61
419,21
419,36234
221,35757
221,419
221,61
221,21
221,36234
61,35757
61,419
61,221
61,21
61,36234
21,35757
21,419
21,221
21,61
21,36234
12,98
12,379
12,201
12,3336
12,136
12,71
12,6287
12,1177
12,14150
12,6820
98,12
98,379
98,201
98,3336
98,136
98,71
98,6287
98,1177
98,14150
98,6820
379,201
379,3336
379,136
379,71
379,6287
379,1177
379,14150
379,6820
201,379
201,3336
201,136
201,71
201,6287
201,1177
201,14150
201,6820
3336,136
3336,71
3336,6287
3336,1177
3336,14150
3336,6820
136,3336
136,71
136,6287
136,1177
136,14150
136,6820
71,6287
71,1177
71,14150
71,6820
6287,71
6287,1177
6287,14150
6287,6820
1177,14150
1177,6820
14150,1177
14150,6820
69742,34704
34704,239
239,34704
459,359
459,34704
459,361
359,34704
359,361
34704,361
361,34704
357,391
357,390
357,239
357,408
357,54
357,101
357,1177
357,190
357,3611
357,12636
357,12705
357,14158
357,14150
357,12637
357,12685
391,390
391,239
391,408
391,54
391,101
391,1177
391,190
391,3611
391,12636
391,12705
391,14158
391,14150
391,12637
391,12685
390,239
390,408
390,54
390,101
390,1177
390,190
390,3611
390,12636
390,12705
390,14158
390,14150
390,12637
390,12685
239,408
239,54
239,101
239,1177
239,190
239,3611
239,12636
239,12705
239,14158
239,14150
239,12637
239,12685
408,239
408,54
408,101
408,1177
408,190
408,3611
408,12636
408,12705
408,14158
408,14150
408,12637
408,12685
54,101
54,1177
54,190
54,3611
54,12636
54,12705
54,14158
54,14150
54,12637
54,12685
101,1177
101,190
101,3611
101,12636
101,12705
101,14158
101,14150
101,12637
101,12685
1177,190
1177,3611
1177,12636
1177,12705
1177,14158
1177,14150
1177,12637
1177,12685
190,3611
190,12636
190,12705
190,14158
190,14150
190,12637
190,12685
3611,12636
3611,12705
3611,14158
3611,14150
3611,12637
3611,12685
12636,12705
12636,14158
12636,14150
12636,12637
12636,12685
12705,14158
12705,14150
12705,12637
12705,12685
14158,14150
14158,12637
14158,12685
14150,12637
14150,12685
12637,12685
12685,12637
34642,14080
34642,86
34642,12696
34642,6823
14080,34642
14080,86
14080,12696
14080,6823
86,34642
86,14080
86,12696
86,6823
12696,34642
12696,14080
12696,86
12696,6823
6823,34642
6823,14080
6823,86
6823,12696
81876,81876
81876,83210
81876,83210
16,112
16,97
16,69195
16,6287
16,108
16,12695
16,51467
16,51446
16,69985
16,69742
16,69939
16,36404
16,35742
112,97
112,69195
112,6287
112,108
112,12695
112,51467
112,51446
112,69985
112,69742
112,69939
112,36404
112,35742
97,69195
97,6287
97,108
97,12695
97,51467
97,51446
97,69985
97,69742
97,69939
97,36404
97,35742
69195,6287
69195,108
69195,12695
69195,51467
69195,51446
69195,69985
69195,69742
69195,69939
69195,36404
69195,35742
6287,108
6287,12695
6287,51467
6287,51446
6287,69985
6287,69742
6287,69939
6287,36404
6287,35742
108,12695
108,51467
108,51446
108,69985
108,69742
108,69939
108,36404
108,35742
12695,51467
12695,51446
12695,69985
12695,69742
12695,69939
12695,36404
12695,35742
51467,12695
51467,51446
51467,69985
51467,69742
51467,69939
51467,36404
51467,35742
51446,69985
51446,69742
51446,69939
51446,36404
51446,35742
69985,69742
69985,69939
69985,36404
69985,35742
69742,69939
69742,36404
69742,35742
69939,36404
69939,35742
36404,35742
69742,69939
69939,69742
69742,12
69742,51467
12,69742
12,51467
51467,69742
51467,12
69742,69981
69742,14080
69742,26686
69981,69742
69981,14080
69981,26686
14080,69742
14080,69981
14080,26686
69742,51446
51446,69742
45321,246
45321,20
45321,374
45321,22
246,20
246,374
246,22
20,374
20,22
374,22
351,12
351,136
351,98
351,414
351,63
351,51467
351,51446
12,136
12,98
12,414
12,63
12,51467
12,51446
136,12
136,98
136,414
136,63
136,51467
136,51446
98,12
98,136
98,414
98,63
98,51467
98,51446
414,12
414,136
414,98
414,63
414,51467
414,51446
63,51467
63,51446
51467,63
51467,51446
36404,14123
196,19166
196,414
196,379
196,14381
19166,196
19166,414
19166,379
19166,14381
414,379
414,14381
379,14381
81425,12681
12681,81425
199,81425
81425,36403
81425,3238
81425,38
81425,184
81425,3199
3238,81425
3238,38
3238,184
3238,3199
38,81425
38,3238
38,184
38,3199
184,81425
184,3238
184,38
184,3199
81425,36388
36388,81425
81425,81
81,81425
214,188
214,61
214,104
214,115
214,6823
188,61
188,104
188,115
188,6823
61,104
61,115
61,6823
104,115
104,6823
115,6823
160,6376
160,67376
6376,67376
86,51446
81876,3355
3355,81876
81876,69985
81876,108
81876,86
69985,108
69985,86
108,69985
108,86
81876,69195
63,379
63,40
63,3336
63,214
63,3370
63,54
63,81876
63,86
63,1177
379,40
379,3336
379,214
379,3370
379,54
379,81876
379,86
379,1177
40,379
40,3336
40,214
40,3370
40,54
40,81876
40,86
40,1177
3336,214
3336,3370
3336,54
3336,81876
3336,86
3336,1177
214,3370
214,54
214,81876
214,86
214,1177
3370,54
3370,81876
3370,86
3370,1177
54,3370
54,81876
54,86
54,1177
81876,86
81876,1177
86,1177
81876,69195
81876,21
81876,16
69195,81876
69195,21
69195,16
21,16
63,81876
63,86
81876,86
86,81876
81876,199
81876,137
81876,411
81876,239
81876,387
199,81876
199,137
199,411
199,239
199,387
137,81876
137,199
137,411
137,239
137,387
411,81876
411,199
411,137
411,239
411,387
239,81876
239,199
239,137
239,411
239,387
387,81876
387,199
387,137
387,411
387,239
379,239
379,63
379,81876
239,63
239,81876
63,81876
3131,34601
34601,3131
3238,1183
3238,3131
3238,407
1183,3238
1183,3131
1183,407
3131,407
407,3131
30,31
12636,407
12636,12699
12636,365
12636,3263
12636,91
12636,166
12636,137
12636,14381
12636,12638
12636,6376
407,12636
407,12699
407,365
407,3263
407,91
407,166
407,137
407,14381
407,12638
407,6376
12699,12636
12699,407
12699,365
12699,3263
12699,91
12699,166
12699,137
12699,14381
12699,12638
12699,6376
365,12636
365,407
365,12699
365,3263
365,91
365,166
365,137
365,14381
365,12638
365,6376
3263,91
3263,166
3263,137
3263,14381
3263,12638
3263,6376
91,3263
91,166
91,137
91,14381
91,12638
91,6376
166,137
166,14381
166,12638
166,6376
137,166
137,14381
137,12638
137,6376
14381,166
14381,137
14381,12638
14381,6376
12638,166
12638,137
12638,14381
12638,6376
6376,166
6376,137
6376,14381
6376,12638
108,69985
69291,45321
69291,106
69291,340
45321,106
45321,340
106,340
45321,3354
45321,20
3354,45321
3354,20
45321,75462
45321,95
45321,166
45321,3277
45321,418
75462,45321
75462,95
75462,166
75462,3277
75462,418
95,45321
95,75462
95,166
95,3277
95,418
