course,date
47046,2016-01-05
188,2015-07-20
83277,2015-11-05
45502,2015-12-14
26582,2016-01-10
70223,2016-01-30
44776,2016-03-16
44777,2016-03-31
44778,2016-04-08
45431,2016-04-10
45401,2016-04-10
50753,2016-04-13
50532,2016-04-13
80158,2016-05-20
89756,2016-06-23
14098,2016-05-22
83015,2016-05-22
48089,2015-10-08
78860,2015-10-08
89710,2015-10-08
12,2015-10-08
418,2015-10-08
167,2015-10-08
93,2015-10-08
3613,2015-10-08
3370,2015-10-08
25295,2015-10-08
390,2015-10-08
227,2015-10-08
98,2015-10-08
92,2015-10-08
28662,2015-10-08
113,2015-10-08
28664,2015-10-08
25392,2015-10-08
68132,2015-10-08
51446,2015-10-08
68121,2015-10-08
34816,2015-10-24
406,2015-10-25
20,2015-11-07
90812,2015-11-14
50363,2015-11-22
80164,2015-11-26
12658,2015-12-03
47718,2015-12-03
49998,2015-12-04
50758,2015-12-10
50361,2015-12-13
50675,2015-12-25
48819,2016-01-03
51335,2016-01-24
51409,2016-02-11
51341,2016-03-06
51320,2016-03-06
47063,2016-03-22
51181,2016-03-22
51480,2016-03-28
50618,2016-03-28
48832,2016-04-27
34593,2016-05-25
51560,2016-06-05
69854,2015-08-06
14123,2015-08-06
45483,2015-08-06
36395,2015-08-08
36392,2015-08-08
34642,2015-11-15
34617,2015-11-15
69939,2015-11-15
48093,2015-11-15
24089,2015-11-15
81151,2015-11-15
19239,2015-11-15
17457,2015-11-15
34834,2015-11-16
34633,2015-11-16
34841,2015-11-16
26687,2015-11-16
24359,2015-11-16
36498,2015-11-20
88626,2015-11-20
36477,2015-11-20
83107,2015-11-20
28052,2015-11-20
32030,2015-11-20
28970,2015-11-20
34816,2015-11-20
45227,2015-11-30
29216,2015-11-30
47113,2015-12-06
69895,2015-12-06
45524,2015-12-07
45191,2015-12-07
34596,2015-12-07
90812,2015-12-15
36320,2015-12-15
14146,2015-12-15
36466,2016-01-08
69985,2016-01-08
3133,2016-01-08
69968,2016-01-08
45467,2016-01-08
45466,2016-01-08
83111,2016-02-14
45486,2016-02-14
48089,2016-02-14
47048,2016-02-14
36403,2016-02-14
45488,2016-02-14
36498,2015-07-27
45466,2015-08-04
47053,2015-09-03
45521,2015-09-03
45447,2015-09-03
45524,2015-09-14
46961,2015-09-24
46930,2015-09-24
46931,2015-09-25
36404,2015-09-28
47053,2015-09-28
78565,2015-09-28
46962,2015-09-28
3131,2015-09-28
45326,2015-09-28
69983,2015-09-28
26686,2015-09-28
28809,2015-10-11
35927,2015-10-11
45499,2015-10-11
45489,2015-10-11
36405,2015-10-11
83882,2015-10-11
92727,2015-12-03
34704,2015-12-20
46933,2015-12-20
48821,2015-12-20
48812,2015-12-20
69868,2015-12-20
27188,2015-12-23
69964,2015-12-28
49805,2015-12-31
50071,2016-02-04
51188,2016-02-04
51341,2016-02-11
48819,2016-02-13
51340,2016-02-20
