course_id,url,platform,provider,subject,area,time-1,time-2,time-3,time-4,performance-1,performance-2,performance-3,performance-4,betweenness-1,betweenness-2,betweenness-3,betweenness-4,closeness-1,closeness-2,closeness-3,closeness-4,eigen-1,eigen-2,eigen-3,eigen-4
CourseTalk-1,36498,CourseTalk,edX,Engineering,Physical Science and Engineering,FALSE,TRUE,FALSE,TRUE,0.0,0.0,5.0,5.0,NA,NA,606.8333333,160,NA,NA,1.52E-05,1.87E-05,NA,NA,0,2.39E-17
CourseTalk-2,51341,CourseTalk,edX,Music,Arts and Humanities,FALSE,FALSE,TRUE,FALSE,0.0,0.0,4.999999998,0.0,NA,NA,7312.833333,NA,NA,NA,1.52E-05,NA,NA,NA,5.25E-17,NA
CourseTalk-3,75447,CourseTalk,edX,History,Arts and Humanities,FALSE,FALSE,FALSE,TRUE,0.0,0.0,0.0,5.000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CourseTalk-4,14133,CourseTalk,edX,Business & Management,Business,TRUE,TRUE,TRUE,FALSE,0.0,0.0,5.000000001,4.714285716,NA,NA,3235.166667,810,NA,NA,1.51E-05,1.89E-05,NA,NA,0,0.000154869
CourseTalk-5,69848,CourseTalk,edX,Computer Science,Computer Science,TRUE,TRUE,TRUE,TRUE,0.0,0.0,5.0,4.666666668,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CourseTalk-6,80166,CourseTalk,edX,Engineering,Physical Science and Engineering,FALSE,FALSE,TRUE,TRUE,0.0,0.0,5.0,5.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CourseTalk-7,45518,CourseTalk,edX,Computer Science,Computer Science,FALSE,FALSE,TRUE,FALSE,0.0,0.0,3.999999996,4.4375,NA,NA,0,NA,NA,NA,1.52E-05,NA,NA,NA,0,NA
CourseTalk-8,36480,CourseTalk,edX,Biology & Life Sciences,Life Sciences,FALSE,TRUE,TRUE,FALSE,0.0,3.625,4.8,4.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CourseTalk-9,45342,CourseTalk,edX,Philosophy & Ethics,Arts and Humanities,FALSE,TRUE,TRUE,FALSE,0.0,0.0,4.888888893,0.0,NA,NA,0,NA,NA,NA,4.93E-06,NA,NA,NA,0,NA
CourseTalk-10,27188,CourseTalk,edX,Biology & Life Sciences,Life Sciences,FALSE,TRUE,TRUE,FALSE,0.0,0.0,5.0,0.0,NA,NA,4553,NA,NA,NA,1.49E-05,NA,NA,NA,1.08E-17,NA
CourseTalk-11,66271,CourseTalk,edX,Social Sciences,Social Sciences,FALSE,FALSE,FALSE,TRUE,0.0,0.0,0.0,5.000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CourseTalk-12,14421,CourseTalk,edX,History,Arts and Humanities,TRUE,FALSE,TRUE,FALSE,0.0,0.0,0.0,5.0,NA,NA,NA,0,NA,NA,NA,1.16E-05,NA,NA,NA,4.26E-17
CourseTalk-13,80170,CourseTalk,edX,Economics & Finance,Business,FALSE,FALSE,TRUE,TRUE,0.0,0.0,4.44444444,4.083333336,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CourseTalk-14,86960,CourseTalk,edX,Communication,Business,FALSE,FALSE,FALSE,TRUE,0.0,0.0,0.0,5.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CourseTalk-15,82884,CourseTalk,edX,Economics & Finance,Business,FALSE,FALSE,TRUE,TRUE,0.0,0.0,4.8,4.75,NA,NA,NA,0,NA,NA,NA,1.16E-05,NA,NA,NA,4.92E-17
CourseTalk-16,45517,CourseTalk,edX,Food & Nutrition,Life Sciences,NA,NA,NA,NA,0.0,0.0,4.772727278,0.0,NA,NA,0,NA,NA,NA,4.93E-06,NA,NA,NA,0,NA
CourseTalk-17,41391,CourseTalk,edX,Art & Culture,Arts and Humanities,FALSE,TRUE,TRUE,FALSE,0.0,5.0,4.999999998,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CourseTalk-18,86958,CourseTalk,edX,History,Arts and Humanities,FALSE,FALSE,FALSE,TRUE,0.0,0.0,0.0,5.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CourseTalk-19,16427,CourseTalk,edX,Science,Physical Science and Engineering,TRUE,TRUE,TRUE,FALSE,0.0,0.0,0.0,5.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CourseTalk-20,80336,CourseTalk,edX,Education & Teacher Training,Social Sciences,FALSE,FALSE,FALSE,TRUE,0.0,0.0,0.0,5.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CourseTalk-21,78566,CourseTalk,edX,Law,Social Sciences,FALSE,TRUE,TRUE,TRUE,0.0,4.538461538,4.825,4.615384618,NA,360,0,0,NA,4.44E-05,4.93E-06,1.16E-05,NA,1.38E-13,0,4.92E-17
CourseTalk-22,34575,CourseTalk,edX,Education & Teacher Training,Social Sciences,NA,NA,NA,NA,0.0,4.88333334,4.095238098,4.3,NA,0,0,0,NA,1.36E-05,4.93E-06,1.16E-05,NA,1.06E-17,0,3.58E-17
CourseTalk-23,69880,CourseTalk,edX,Social Sciences,Social Sciences,TRUE,TRUE,TRUE,TRUE,0.0,4.574468076,4.363636365,4.869565221,NA,3183.6838,6365.583333,4,NA,4.81E-05,1.55E-05,1.18E-05,NA,1.37E-05,0,2.67E-17
CourseTalk-24,83221,CourseTalk,edX,Business & Management,Business,FALSE,FALSE,FALSE,TRUE,0.0,0.0,0.0,4.714285716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CourseTalk-25,80768,CourseTalk,edX,Business & Management,Business,FALSE,FALSE,TRUE,TRUE,0.0,0.0,4.4491525350000005,3.8,NA,NA,251,0,NA,NA,1.54E-05,1.88E-05,NA,NA,0,0.001402015
CourseTalk-26,34831,CourseTalk,edX,Health & Safety,Life Sciences,TRUE,TRUE,FALSE,FALSE,5.000000001,5.0,0.0,0.0,1,0,NA,NA,0.000109818,1.36E-05,NA,NA,0,1.06E-17,NA,NA
CourseTalk-27,70223,CourseTalk,edX,Engineering,Physical Science and Engineering,FALSE,FALSE,TRUE,TRUE,0.0,0.0,5.0,0.0,NA,NA,1974,NA,NA,NA,1.52E-05,NA,NA,NA,0,NA
CourseTalk-28,84080,CourseTalk,edX,Engineering,Physical Science and Engineering,FALSE,FALSE,FALSE,TRUE,0.0,0.0,0.0,5.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CourseTalk-29,42214,CourseTalk,edX,Humanities,Language Learning,FALSE,FALSE,TRUE,FALSE,0.0,0.0,2.5,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CourseTalk-30,86956,CourseTalk,edX,Social Sciences,Social Sciences,FALSE,FALSE,FALSE,TRUE,0.0,0.0,0.0,4.38888888,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CourseTalk-31,69215,CourseTalk,edX,Computer Science,Computer Science,FALSE,TRUE,TRUE,TRUE,0.0,4.333333332,4.5,4.857142857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CourseTalk-32,67561,CourseTalk,edX,Business & Management,Business,FALSE,FALSE,TRUE,TRUE,0.0,0.0,2.25,3.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CourseTalk-33,70676,CourseTalk,edX,Engineering,Physical Science and Engineering,FALSE,TRUE,TRUE,TRUE,0.0,0.0,0.0,5.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CourseTalk-34,46956,CourseTalk,edX,Language,Language Learning,FALSE,FALSE,TRUE,TRUE,0.0,0.0,5.0,5.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CourseTalk-35,68048,CourseTalk,edX,Biology & Life Sciences,Life Sciences,FALSE,FALSE,TRUE,TRUE,0.0,0.0,3.625,5.0,NA,NA,NA,0,NA,NA,NA,1.16E-05,NA,NA,NA,4.92E-17
CourseTalk-36,78581,CourseTalk,edX,Social Sciences,Social Sciences,FALSE,FALSE,FALSE,TRUE,0.0,0.0,0.0,5.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CourseTalk-37,80613,CourseTalk,edX,Business & Management,Business,NA,NA,NA,NA,0.0,0.0,2.333333334,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CourseTalk-38,20343,CourseTalk,edX,Ethics,Arts and Humanities,TRUE,TRUE,TRUE,FALSE,0.0,0.0,5.0,5.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CourseTalk-39,75538,CourseTalk,edX,Science,Physical Science and Engineering,FALSE,FALSE,FALSE,TRUE,0.0,0.0,0.0,5.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CourseTalk-40,81645,CourseTalk,edX,Economics & Finance,Business,FALSE,FALSE,FALSE,TRUE,0.0,0.0,0.0,5.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CourseTalk-41,69232,CourseTalk,edX,Biology & Life Sciences,Life Sciences,FALSE,FALSE,TRUE,TRUE,0.0,0.0,5.000000003999999,4.999999998,NA,NA,0,0,NA,NA,4.93E-06,1.17E-05,NA,NA,0,3.79E-17
CourseTalk-42,70679,CourseTalk,edX,Computer Science,Computer Science,FALSE,FALSE,TRUE,TRUE,0.0,0.0,0.0,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CourseTalk-43,67563,CourseTalk,edX,Business & Management,Business,FALSE,FALSE,FALSE,TRUE,0.0,0.0,0.0,2.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CourseTalk-44,40031,CourseTalk,edX,Philosophy & Ethics,Arts and Humanities,NA,NA,NA,NA,0.0,2.0,0.833333334,0.0,NA,NA,0,NA,NA,NA,4.93E-06,NA,NA,NA,0,NA
CourseTalk-45,65188,CourseTalk,edX,Computer Science,Computer Science,FALSE,FALSE,FALSE,TRUE,0.0,0.0,3.5,2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CourseTalk-46,83422,CourseTalk,edX,Communication,Business,FALSE,FALSE,FALSE,TRUE,0.0,0.0,0.0,5.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CourseTalk-47,45244,CourseTalk,edX,History,Arts and Humanities,FALSE,TRUE,TRUE,TRUE,0.0,0.0,2.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CourseTalk-48,83112,CourseTalk,edX,Law,Social Sciences,FALSE,TRUE,TRUE,TRUE,0.0,4.40625,4.680327846,4.977272718,NA,2577.001554,0,0,NA,4.80E-05,4.93E-06,1.16E-05,NA,5.53E-06,0,4.92E-17
CourseTalk-49,69534,CourseTalk,edX,Computer Science,Computer Science,NA,NA,NA,NA,0.0,0.0,0.0,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CourseTalk-50,45478,CourseTalk,edX,Business & Management,Business,TRUE,TRUE,TRUE,FALSE,0.0,0.0,0.0,5.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CourseTalk-51,69241,CourseTalk,edX,Computer Science,Computer Science,FALSE,FALSE,FALSE,TRUE,0.0,0.0,0.0,5.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CourseTalk-52,47679,CourseTalk,edX,Art & Culture,Arts and Humanities,FALSE,FALSE,TRUE,TRUE,0.0,0.0,2.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
