url,index,course_id,review_platform,title,provider,subject,area,school,published_time,effort_hours (per_week),level,price,enrollment_type,course_length
36498,1,CourseTalk-1,CourseTalk,Introduction to Aerospace Engineering: Astronautics and Human Spaceflight,edX,Engineering,Physical Science and Engineering,Massachusetts Institute of Technology,2,3,Introductory,49,FREE audit/Pay for certificate,8
51341,2,CourseTalk-2,CourseTalk,First Nights: Beethoven¡¯s 9th Symphony and the 19th Century Orchestra,edX,Music,Arts and Humanities,Harvard University,3,2.5,Introductory,29,FREE audit/Pay for certificate,3
75447,3,CourseTalk-3,CourseTalk,PredictionX: John Snow and the Cholera Epidemic of 1854,edX,History,Arts and Humanities,Harvard University,4,4,Introductory,25,FREE audit/Pay for certificate,1
14133,4,CourseTalk-4,CourseTalk,Behavioral Economics in Action,edX,Business & Management,Business,University of Toronto,1,4.5,Introductory,49,FREE audit/Pay for certificate,6
69848,5,CourseTalk-5,CourseTalk,Autonomous Mobile Robots,edX,Computer Science,Computer Science,ETH Zurich,1,5,Intermediate,50,FREE audit/Pay for certificate,15
80166,6,CourseTalk-6,CourseTalk,"Technological, Social, and Sustainable Systems",edX,Engineering,Physical Science and Engineering,Arizona State University,3,18,Introductory,49,FREE audit/Pay for certificate,8
45518,7,CourseTalk-7,CourseTalk,Learn to Program Using Python,edX,Computer Science,Computer Science,University of Texas Arlington,3,7,Introductory,0,FREE audit,9
36480,8,CourseTalk-8,CourseTalk,Essential Human Biology: Cells and Tissues,edX,Biology & Life Sciences,Life Sciences,University of Adelaide,2,2.5,Introductory,49,FREE audit/Pay for certificate,5
45342,9,CourseTalk-9,CourseTalk,Paradox and Infinity,edX,Philosophy & Ethics,Arts and Humanities,Massachusetts Institute of Technology,2,4.5,Introductory,300,FREE audit/Pay for certificate,10
27188,10,CourseTalk-10,CourseTalk,Introduction to Psychology,edX,Biology & Life Sciences,Life Sciences,St. Margaret¡¯s Episcopal School,2,4.5,Introductory,50,FREE audit/Pay for certificate,10
66271,11,CourseTalk-11,CourseTalk,Social Work Practice: Advocating Social Justice and Change,edX,Social Sciences,Social Sciences,University of Michigan,4,2.5,Introductory,49,FREE audit/Pay for certificate,5
14421,12,CourseTalk-12,CourseTalk,China (Part 3): Cosmopolitan Tang: Aristocratic Culture,edX,History,Arts and Humanities,Harvard University,1,2.5,Introductory,90,FREE audit/Pay for certificate,4
80170,13,CourseTalk-13,CourseTalk,Macroeconometric Forecasting,edX,Economics & Finance,Business,International Monetary Fund,3,7,Intermediate,25,FREE audit/Pay for certificate,9
86960,14,CourseTalk-14,CourseTalk,"Fake News, Facts, and Alternative Facts",edX,Communication,Business,University of Michigan,4,3.5,Introductory,25,FREE audit/Pay for certificate,1
82884,15,CourseTalk-15,CourseTalk,Foundations of Development Policy: Advanced Development Economics,edX,Economics & Finance,Business,Massachusetts Institute of Technology,3,12,Intermediate,49,FREE audit/Pay for certificate,12
45517,16,CourseTalk-16,CourseTalk,Nutrition and Health Part 2: Micronutrients and Malnutrition,edX,Food & Nutrition,Life Sciences,Wageningen University,NA,7,Intermediate,0,FREE audit,7
41391,17,CourseTalk-17,CourseTalk,Making Sense of News,edX,Art & Culture,Arts and Humanities,The University of Hong Kong,2,2.5,Introductory,50,FREE audit/Pay for certificate,5
86958,18,CourseTalk-18,CourseTalk,Democratic to Authoritarian Rule,edX,History,Arts and Humanities,University of Michigan,4,3.5,Introductory,25,FREE audit/Pay for certificate,1
16427,19,CourseTalk-19,CourseTalk,Alien Worlds: The Science of Exoplanet Discovery and Characterization,edX,Science,Physical Science and Engineering,Boston University,2,6,Introductory,25,FREE audit/Pay for certificate,9
80336,20,CourseTalk-20,CourseTalk,Design Thinking for Leading and Learning,edX,Education & Teacher Training,Social Sciences,Massachusetts Institute of Technology,4,2,Intermediate,49,FREE audit/Pay for certificate,6
78566,21,CourseTalk-21,CourseTalk,International Law,edX,Law,Social Sciences,null,2,6,Advanced,150,FREE audit/Pay for certificate,8
34575,22,CourseTalk-22,CourseTalk,DemoX,edX,Education & Teacher Training,Social Sciences,null,NA,1,Introductory,NA,NA,NA
69880,23,CourseTalk-23,CourseTalk,The Science of Happiness,edX,Social Sciences,Social Sciences,"University of California, Berkeley",2,4.5,Introductory,49,FREE audit/Pay for certificate,8
83221,24,CourseTalk-24,CourseTalk,Family Business ? Strategy Essentials,edX,Business & Management,Business,University of British Columbia,4,3.5,Introductory,99,FREE audit/Pay for certificate,6
80768,25,CourseTalk-25,CourseTalk,Digital Branding and Engagement,edX,Business & Management,Business,Curtin University,3,3.5,Intermediate,99,FREE audit/Pay for certificate,4
34831,26,CourseTalk-26,CourseTalk,United States Health Policy,edX,Health & Safety,Life Sciences,Harvard University,1,4,Introductory,250,FREE audit/Pay for certificate,13
70223,27,CourseTalk-27,CourseTalk,Introduction to Control System Design - A First Look,edX,Engineering,Physical Science and Engineering,Massachusetts Institute of Technology,3,5.5,Introductory,25,FREE audit/Pay for certificate,4
84080,28,CourseTalk-28,CourseTalk,Materials Science and Engineering,edX,Engineering,Physical Science and Engineering,National University of Science and Technology MISiS,4,3.5,Intermediate,49,FREE audit/Pay for certificate,7
42214,29,CourseTalk-29,CourseTalk,"""A Room with a View"" by Forster: BerkeleyX Book Club",edX,Humanities,Language Learning,"University of California, Berkeley",3,3,Introductory,NA,FREE audit/Pay for certificate,4
86956,30,CourseTalk-30,CourseTalk,Introduction to Social Psychology,edX,Social Sciences,Social Sciences,University of Queensland,4,1.5,Introductory,99,FREE audit/Pay for certificate,7
69215,31,CourseTalk-31,CourseTalk,The Computing Technology Inside Your Smartphone,edX,Computer Science,Computer Science,Cornell University,2,6,Introductory,49,FREE audit/Pay for certificate,10
67561,32,CourseTalk-32,CourseTalk,Marketing Analytics: Marketing Measurement Strategy,edX,Business & Management,Business,"University of California, Berkeley",3,6,Introductory,NA,FREE audit/Pay for certificate,4
70676,33,CourseTalk-33,CourseTalk,Urban Sewage Treatment,edX,Engineering,Physical Science and Engineering,Delft University of Technology,2,7,Intermediate,49,FREE audit/Pay for certificate,7
46956,34,CourseTalk-34,CourseTalk,AP¢ç Spanish Language and Culture,edX,Language,Language Learning,Boston University,3,3.5,Introductory,50,FREE audit/Pay for certificate,12
68048,35,CourseTalk-35,CourseTalk,Cell Biology: Mitochondria,edX,Biology & Life Sciences,Life Sciences,Harvard University,3,3,Introductory,49,FREE audit/Pay for certificate,14
78581,36,CourseTalk-36,CourseTalk,Human Rights Theory and Philosophy,edX,Social Sciences,Social Sciences,Curtin University,4,9,Advanced,300,FREE audit/Pay for certificate,12
80613,37,CourseTalk-37,CourseTalk,Financial Accounting,edX,Business & Management,Business,ACCA,NA,4.5,Intermediate,89,FREE audit/Pay for certificate,10
20343,38,CourseTalk-38,CourseTalk,"Responsible Innovation: Ethics, Safety and Technology",edX,Ethics,Arts and Humanities,Delft University of Technology,2,5,Intermediate,50,FREE audit/Pay for certificate,7
75538,39,CourseTalk-39,CourseTalk,A Resilient Future: Science and Technology for Disaster Risk Reduction,edX,Science,Physical Science and Engineering,?cole Polytechnique F?d?rale de Lausanne,4,3,Advanced,50,FREE audit/Pay for certificate,7
81645,40,CourseTalk-40,CourseTalk,Personal Finance,edX,Economics & Finance,Business,Purdue University,4,3.5,Introductory,49,FREE audit/Pay for certificate,5
69232,41,CourseTalk-41,CourseTalk,Molecular Biology ? Part 2: Transcription and Transposition,edX,Biology & Life Sciences,Life Sciences,Massachusetts Institute of Technology,3,6,Advanced,50,FREE audit/Pay for certificate,6
70679,42,CourseTalk-42,CourseTalk,The Beauty and Joy of Computing - AP¢ç CS Principles Part 1,edX,Computer Science,Computer Science,"University of California, Berkeley",3,5,Introductory,NA,FREE audit/Pay for certificate,14
67563,43,CourseTalk-43,CourseTalk,Marketing Analytics: Competitive Analysis and Market Segmentation,edX,Business & Management,Business,"University of California, Berkeley",4,6,Intermediate,99,FREE audit/Pay for certificate,4
40031,44,CourseTalk-44,CourseTalk,Introduction to Psychology ãý×â???,edX,Philosophy & Ethics,Arts and Humanities,Tsinghua University,NA,5,Introductory,0,FREE audit,13
65188,45,CourseTalk-45,CourseTalk,Algorithms,edX,Computer Science,Computer Science,Indian Institute of Technology Bombay,4,8,Intermediate,49,FREE audit/Pay for certificate,6
83422,46,CourseTalk-46,CourseTalk,Global Muckraking: Investigative Journalism and Global Media,edX,Communication,Business,Columbia University,4,4,Introductory,50,FREE audit/Pay for certificate,5
45244,47,CourseTalk-47,CourseTalk,Chinese History From Warring States to the Tang Dynasty | ?ö½÷×?,edX,History,Arts and Humanities,Tsinghua University,2,4,Introductory,49,FREE audit/Pay for certificate,18
83112,48,CourseTalk-48,CourseTalk,Contract Law: From Trust to Promise to Contract,edX,Law,Social Sciences,Harvard University,2,4,Intermediate,125,FREE audit/Pay for certificate,8
69534,49,CourseTalk-49,CourseTalk,Microsoft Windows Server 2012 Fundamentals: DHCP,edX,Computer Science,Computer Science,Microsoft,NA,3,Intermediate,0,FREE audit,5
45478,50,CourseTalk-50,CourseTalk,Innovating in Health Care,edX,Business & Management,Business,Harvard University,1,7,Intermediate,0,FREE audit,9
69241,51,CourseTalk-51,CourseTalk,How to Win Coding Competitions: Secrets of Champions,edX,Computer Science,Computer Science,ITMO University,4,5,Introductory,49,FREE audit/Pay for certificate,5
47679,52,CourseTalk-52,CourseTalk,Relics of Chinese History - Part 2: Astronomy and Medicine | ÙþÚªïñù¡?Ùþûùñé?£ºô¸Ùþ???,edX,Art & Culture,Arts and Humanities,Tsinghua University,3,4,Introductory,49,FREE audit/Pay for certificate,5
75458,53,CourseTalk-53,CourseTalk,Anatomy: Human Neuroanatomy,edX,Biology & Life Sciences,Life Sciences,University of Michigan,4,3.5,Introductory,49,FREE audit/Pay for certificate,8
69858,54,CourseTalk-54,CourseTalk,Introduction to Data Analysis using Excel,edX,Data Analysis & Statistics,Data Science,Microsoft,3,3,Introductory,49,FREE audit/Pay for certificate,4
69538,55,CourseTalk-55,CourseTalk,Introduction to Managerial Economics,edX,Business & Management,Business,Indian Institute of Management Bangalore,3,5.5,Intermediate,25,FREE audit/Pay for certificate,6
41555,56,CourseTalk-56,CourseTalk,"""Pride and Prejudice"" by Austen: BerkeleyX Book Club",edX,Humanities,Language Learning,"University of California, Berkeley",3,3,Introductory,NA,FREE audit/Pay for certificate,4
67525,57,CourseTalk-57,CourseTalk,Implementing Customer Insights for Your Business,edX,Design,Social Sciences,Delft University of Technology,NA,3.5,Intermediate,250,FREE audit/Pay for certificate,4
69937,58,CourseTalk-58,CourseTalk,The Business of Mining,edX,Engineering,Physical Science and Engineering,Curtin University,3,1.5,Introductory,50,FREE audit/Pay for certificate,4
83975,59,CourseTalk-59,CourseTalk,"Plato, Socrates, and the Birth of Western Philosophy | à¤Û°ôÉ?ïñãê÷®ê¹",edX,Art & Culture,Arts and Humanities,Tsinghua University,4,3.5,Introductory,49,FREE audit/Pay for certificate,16
14131,60,CourseTalk-60,CourseTalk,Introduction to Statistics: Probability,edX,Math,Math and Logic,"University of California, Berkeley",0,NA,Introductory,0,FREE audit,5
65195,61,CourseTalk-61,CourseTalk,Religious Literacy: Traditions and Scriptures,edX,Humanities,Language Learning,Harvard University,3,8,Introductory,50,FREE audit/Pay for certificate,4
83201,62,CourseTalk-62,CourseTalk,Microsoft Exchange Server 2016 - 1: Infrastructure,edX,Computer Science,Computer Science,Microsoft,NA,4,Intermediate,99,FREE audit/Pay for certificate,NA
70217,63,CourseTalk-63,CourseTalk,Managing Projects & Portfolios with Microsoft PPM,edX,Computer Science,Computer Science,Microsoft,4,3,Intermediate,49,FREE audit/Pay for certificate,6
48836,64,CourseTalk-64,CourseTalk,How to Save Money: Making Smart Financial Decisions,edX,Economics & Finance,Business,"University of California, Berkeley",3,2.5,Introductory,NA,NA,5
82609,65,CourseTalk-65,CourseTalk,Biospecimen Research Methods,edX,Biology & Life Sciences,Life Sciences,University of British Columbia,NA,4.5,Advanced,99,FREE audit/Pay for certificate,6
69545,66,CourseTalk-66,CourseTalk,Sustainability in Everyday Life,edX,Environmental Studies,Physical Science and Engineering,Chalmers University of Technology,2,6,Introductory,49,FREE audit/Pay for certificate,6
36368,67,CourseTalk-67,CourseTalk,AP¢ç Environmental Science - Part 1: The Living World,edX,Environmental Studies,Physical Science and Engineering,Rice University,2,3,Introductory,49,FREE audit/Pay for certificate,6
69246,68,CourseTalk-68,CourseTalk,Financial Decision Rules for Project Evaluation,edX,Economics & Finance,Business,University of Michigan,4,NA,Intermediate,99,FREE audit/Pay for certificate,1
46982,69,CourseTalk-69,CourseTalk,On-Ramp to AP* Calculus,edX,Math,Math and Logic,Weston High School,3,4.5,Introductory,49,FREE audit/Pay for certificate,6
49805,70,CourseTalk-70,CourseTalk,Lessons from Ebola: Preventing the Next Pandemic,edX,Health & Safety,Life Sciences,Harvard University,3,3.5,Introductory,50,FREE audit/Pay for certificate,4
70232,71,CourseTalk-71,CourseTalk,Policy Analysis Using Interrupted Time Series,edX,Data Analysis & Statistics,Data Science,The University of British Columbia,3,8,Intermediate,49,FREE audit/Pay for certificate,5
83207,72,CourseTalk-72,CourseTalk,Transitioning to Microsoft Exchange Server 2016,edX,Computer Science,Computer Science,Microsoft,NA,4,Advanced,99,FREE audit/Pay for certificate,NA
