url,subject,area
https://www.class-central.com/mooc/1307/coursera-fundamentals-of-global-energy-business,Environmental Science and Sustainability,Physical Science and Engineering
https://www.class-central.com/mooc/1529/coursera-technology-and-ethics,Philosophy,Arts and Humanities
https://www.class-central.com/mooc/1751/coursera-analyzing-global-trends-for-business-and-society,Business Intelligence,Business
https://www.class-central.com/mooc/1771/coursera-international-human-rights-law-prospects-and-challenges,Human Rights,Social Sciences
https://www.class-central.com/mooc/307/coursera-natural-language-processing,Computer Science,Computer Science
https://www.class-central.com/mooc/317/coursera-model-thinking,Economics,Social Sciences
https://www.class-central.com/mooc/335/coursera-internet-history-technology-and-security,Computer Security and Networks,Computer Science
https://www.class-central.com/mooc/338/coursera-social-network-analysis,Economics,Social Sciences
https://www.class-central.com/mooc/374/coursera-algorithms-design-and-analysis-part-1,Algorithms,Computer Science
https://www.class-central.com/mooc/388/coursera-computing-for-data-analysis,Data Analysis,Data Science
https://www.class-central.com/mooc/408/coursera-an-introduction-to-interactive-programming-in-python-part-1,Software Development,Computer Science
https://www.class-central.com/mooc/422/coursera-functional-programming-principles-in-scala,Software Development,Computer Science
https://www.class-central.com/mooc/546/coursera-foundations-of-business-strategy,Business Strategy,Business
https://www.class-central.com/mooc/707/coursera-understanding-economic-policymaking,Governance and Society,Social Sciences
https://www.class-central.com/mooc/976/coursera-the-emergence-of-the-modern-middle-east-part-i,History,Arts and Humanities
https://www.class-central.com/mooc/1013/coursera-mathematical-methods-for-quantitative-finance,Finance,Business
https://www.class-central.com/mooc/1014/coursera-financial-engineering-and-risk-management-part-i,Finance,Business
https://www.class-central.com/mooc/1015/coursera-financial-engineering-and-risk-management-part-ii,Finance,Business
https://www.class-central.com/mooc/1029/coursera-introduction-to-recommender-systems,Machine Learning,Data Science
https://www.class-central.com/mooc/1030/coursera-living-with-dementia-impact-on-individuals-caregivers-communities-and-societies,Medicine & Healthcare,Life Sciences
https://www.class-central.com/mooc/1031/coursera-beginning-game-programming-with-c,Software Development,Computer Science
https://www.class-central.com/mooc/1041/coursera-linear-circuits,Electrical Engineering,Physical Science and Engineering
https://www.class-central.com/mooc/1050/coursera-the-power-of-macroeconomics-economic-principles-in-the-real-world,Economics,Social Sciences
https://www.class-central.com/mooc/1051/coursera-economics-of-money-and-banking-part-one,Economics,Social Sciences
https://www.class-central.com/mooc/1054/coursera-the-power-of-microeconomics-economic-principles-in-the-real-world,Economics,Social Sciences
https://www.class-central.com/mooc/1057/coursera-dino-101-dinosaur-paleobiology,Biology,Life Sciences
https://www.class-central.com/mooc/1076/coursera-calculus-two-sequences-and-series,Math and Logic,Math and Logic
https://www.class-central.com/mooc/1136/coursera-music-s-big-bang-the-genesis-of-rock-n-roll,Music and Art,Arts and Humanities
https://www.class-central.com/mooc/1137/coursera-introduction-to-marketing,Marketing,Business
https://www.class-central.com/mooc/1172/coursera-the-kennedy-half-century,History,Arts and Humanities
https://www.class-central.com/mooc/1178/coursera-programming-mobile-applications-for-android-handheld-systems-part-1,Mobile and Web Development,Computer Science
https://www.class-central.com/mooc/1186/coursera-principles-of-reactive-programming,Software Development,Computer Science
https://www.class-central.com/mooc/1196/coursera-economics-of-money-and-banking-part-two,Economics,Social Sciences
https://www.class-central.com/mooc/1199/coursera-blended-learning-personalizing-education-for-students,Education,Social Sciences
https://www.class-central.com/mooc/1238/coursera-comprendre-les-microcontroleurs,Electrical Engineering,Physical Science and Engineering
https://www.class-central.com/mooc/1239/coursera-the-power-of-markets,Business Essentials,Business
https://www.class-central.com/mooc/1240/edx-learning-from-data-introductory-machine-learning,Machine Learning,Computer Science
https://www.class-central.com/mooc/1263/coursera-an-exploration-of-symmetry-eligible-for-ntu-credit,Math and Logic,Math and Logic
https://www.class-central.com/mooc/1264/coursera-introduction-to-forensic-science,Biology,Life Sciences
https://www.class-central.com/mooc/1268/coursera-history-of-the-slave-south,History,Arts and Humanities
https://www.class-central.com/mooc/1269/coursera-how-to-change-the-world,Philosophy,Arts and Humanities
https://www.class-central.com/mooc/1312/coursera-on-strategy-what-managers-can-learn-from-philosophy-part-1,Leadership and Management,Business
https://www.class-central.com/mooc/1313/coursera-an-introduction-to-functional-analysis,Math and Logic,Math and Logic
https://www.class-central.com/mooc/1342/coursera-tibetan-buddhist-meditation-and-the-modern-world-lesser-vehicle,Philosophy,Arts and Humanities
https://www.class-central.com/mooc/1349/coursera-data-analysis-and-statistical-inference,Probability and Statistics,Data Science
https://www.class-central.com/mooc/1351/coursera-introduction-to-chemistry,Chemistry,Physical Science and Engineering
https://www.class-central.com/mooc/1355/coursera-buddhism-and-modern-psychology,Psychology,Social Sciences
https://www.class-central.com/mooc/1358/coursera-fundamentals-of-music-theory,Music and Art,Arts and Humanities
https://www.class-central.com/mooc/1360/coursera-astrotech-the-science-and-technology-behind-astronomical-discovery,Physics and Astronomy,Physical Science and Engineering
https://www.class-central.com/mooc/1361/coursera-paradoxes-of-war,Governance and Society,Social Sciences
https://www.class-central.com/mooc/1362/coursera-the-brain-and-space,Biology,Life Sciences
https://www.class-central.com/mooc/1368/coursera-bioinformatic-methods-i,Bioinformatics,Life Sciences
https://www.class-central.com/mooc/1371/coursera-international-leadership-and-organizational-behavior,Leadership and Management,Business
https://www.class-central.com/mooc/1372/coursera-globalization-of-business-enterprise,Business Strategy,Business
https://www.class-central.com/mooc/1374/coursera-management-of-fashion-and-luxury-companies,Leadership and Management,Business
https://www.class-central.com/mooc/1386/coursera-core-concepts-in-data-analysis,Data Analysis,Data Science
https://www.class-central.com/mooc/1389/coursera-unethical-decision-making-in-organizations,Psychology,Social Sciences
https://www.class-central.com/mooc/1395/coursera-an-introduction-to-consumer-neuroscience-neuromarketing,Leadership and Management,Business
https://www.class-central.com/mooc/1402/coursera-sustainable-food-production-through-livestock-health-management,Medicine & Healthcare,Life Sciences
https://www.class-central.com/mooc/1403/coursera-the-addicted-brain,Biology,Life Sciences
https://www.class-central.com/mooc/1413/coursera-social-entrepreneurship,Entrepreneurship,Business
https://www.class-central.com/mooc/1454/coursera-logic-language-and-information-1,Math and Logic,Math and Logic
https://www.class-central.com/mooc/1456/coursera-introduction-to-physical-chemistry,Chemistry,Physical Science and Engineering
https://www.class-central.com/mooc/1457/coursera-sistemas-digitales-de-las-puertas-logicas-al-procesador,Electrical Engineering,Physical Science and Engineering
https://www.class-central.com/mooc/1486/edx-introduction-to-the-music-business,Music,Arts and Humanities
https://www.class-central.com/mooc/1491/edx-introduction-to-aeronautical-engineering,Engineering,Physical Science and Engineering
https://www.class-central.com/mooc/1496/edx-introduction-to-probability-the-science-of-uncertainty,Data Analysis & Statistics,Data Science
https://www.class-central.com/mooc/1522/coursera-marine-megafauna-an-introduction-to-marine-science-and-conservation,Environmental Science and Sustainability,Physical Science and Engineering
https://www.class-central.com/mooc/1527/edx-entrepreneurship-101-who-is-your-customer,Business & Management,Business
https://www.class-central.com/mooc/1528/edx-an-introduction-to-credit-risk-management,Business & Management,Business
https://www.class-central.com/mooc/1530/coursera-correccion-estilo-y-variacion-linguistica,Other Languages,Language Learning
https://www.class-central.com/mooc/1567/coursera-advanced-instructional-strategies-in-the-virtual-classroom,Education,Social Sciences
https://www.class-central.com/mooc/1598/edx-greatest-unsolved-mysteries-of-the-universe,Energy & Earth Sciences,Physical Science and Engineering
https://www.class-central.com/mooc/1599/edx-anu-india1x-engaging-india,Social Sciences,Social Sciences
https://www.class-central.com/mooc/1603/coursera-beyond-silicon-valley-growing-entrepreneurship-in-transitioning-economies,Entrepreneurship,Business
