"","node1","node2","cluster"
"1","34704","361","1"
"2","34704","459","1"
"3","361","459","1"
"4","70384","75","2"
"5","70384","458","2"
"6","75","458","2"
"7","24","12690","3"
"8","24","468","3"
"9","12690","468","3"
"10","150","385","4"
"11","150","3366","4"
"12","385","3366","4"
"13","3131","407","5"
"14","3238","407","5"
"15","407","1183","5"
"16","34642","14080","6"
"17","34642","12696","6"
"18","34642","6823","6"
"19","14080","12696","6"
"20","14080","6823","6"
"21","12696","6823","6"
"22","12636","12653","7"
"23","101","12653","7"
"24","61","12653","7"
"25","40","214","8"
"26","244","214","8"
"27","137","214","8"
"28","407","214","8"
"29","122","214","8"
"30","35","214","8"
"31","81","214","8"
"32","411","214","8"
"33","433","214","8"
"34","200","214","8"
"35","29","214","8"
"36","214","54","8"
"37","214","377","8"
"38","214","3361","8"
"39","214","416","8"
"40","214","240","8"
"41","214","96","8"
"42","214","202","8"
"43","196","61","9"
"44","63","61","9"
"45","419","61","9"
"46","244","61","9"
"47","137","61","9"
"48","407","61","9"
"49","122","61","9"
"50","35","61","9"
"51","81","61","9"
"52","411","61","9"
"53","433","61","9"
"54","200","61","9"
"55","61","29","9"
"56","61","214","9"
"57","61","377","9"
"58","61","3361","9"
"59","61","416","9"
"60","61","240","9"
"61","61","96","9"
"62","61","202","9"
"63","12749","1192","10"
"64","12749","468","10"
"65","1192","468","10"
"66","60","197","11"
"67","60","75","11"
"68","197","75","11"
"69","12","3555","12"
"70","418","3555","12"
"71","3555","115","12"
"72","3555","188","12"
"73","34831","35742","13"
"74","34831","81151","13"
"75","35742","81151","13"
"76","69885","108","14"
"77","108","401","14"
"78","108","239","14"
"79","108","340","14"
"80","108","357","14"
"81","45321","22","15"
"82","45321","374","15"
"83","22","20","15"
"84","22","374","15"
"85","22","246","15"
"86","20","374","15"
"87","374","246","15"
"88","86","60","16"
"89","379","60","16"
"90","60","29","16"
"91","60","188","16"
"92","12","13","17"
"93","418","13","17"
"94","13","351","17"
"95","13","3336","17"
"96","13","22","17"
"97","81876","21","18"
"98","69195","21","18"
"99","16","21","18"
"100","81876","239","19"
"101","63","239","19"
"102","14158","239","19"
"103","379","239","19"
"104","38","239","19"
"105","12636","239","19"
"106","391","239","19"
"107","12637","239","19"
"108","137","239","19"
"109","101","239","19"
"110","1177","239","19"
"111","357","239","19"
"112","3611","239","19"
"113","411","239","19"
"114","3370","239","19"
"115","239","201","19"
"116","239","190","19"
"117","239","390","19"
"118","239","12685","19"
"119","239","54","19"
"120","239","408","19"
"121","239","12705","19"
"122","239","14150","19"
"123","36234","61","20"
"124","35757","61","20"
"125","150","61","20"
"126","221","61","20"
"127","61","21","20"
"128","61","385","20"
"129","61","3366","20"
"130","36404","14123","21"
"131","45321","14123","21"
"132","45321","355","21"
"133","14123","12695","21"
"134","14123","104","21"
"135","14123","355","21"
"136","12695","355","21"
"137","104","355","21"
"138","70322","407","22"
"139","70322","22","22"
"140","407","22","22"
"141","76","246","23"
"142","139","246","23"
"143","24","246","23"
"144","138","246","23"
"145","85","246","23"
"146","250","246","23"
"147","12690","246","23"
"148","468","246","23"
"149","69742","16","24"
"150","36404","16","24"
"151","69939","16","24"
"152","35742","16","24"
"153","69985","16","24"
"154","69195","16","24"
"155","3360","16","24"
"156","3354","16","24"
"157","97","16","24"
"158","88","16","24"
"159","16","112","24"
"160","16","50528","24"
"161","16","105","24"
"162","45321","69291","25"
"163","86","69291","25"
"164","30","69291","25"
"165","104","69291","25"
"166","75462","69291","25"
"167","13","69291","25"
"168","69291","340","25"
"169","69291","22","25"
"170","69291","51467","25"
"171","69291","51446","25"
"172","69291","3555","25"
"173","86","75193","26"
"174","63","75193","26"
"175","63","415","26"
"176","12","104","27"
"177","12695","61","27"
"178","104","63","27"
"179","104","61","27"
"180","104","214","27"
"181","104","188","27"
"182","69885","401","28"
"183","69885","340","28"
"184","86","401","28"
"185","63","401","28"
"186","401","239","28"
"187","401","340","28"
"188","401","122","28"
"189","401","411","28"
"190","196","72","29"
"191","196","70384","29"
"192","40","72","29"
"193","40","70384","29"
"194","72","70384","29"
"195","72","21","29"
"196","70384","21","29"
"197","12","115","30"
"198","104","115","30"
"199","104","6823","30"
"200","418","115","30"
"201","61","115","30"
"202","61","6823","30"
"203","214","115","30"
"204","214","6823","30"
"205","115","188","30"
"206","115","6823","30"
"207","188","6823","30"
"208","3360","341","31"
