"","node","cluster"
"1","6814","1"
"2","102","1"
"3","385","1"
"4","414","1"
"5","386","1"
"6","75193","2"
"7","379","2"
"8","70362","2"
"9","81425","3"
"10","3133","3"
"11","86","3"
"12","350","3"
"13","81876","4"
"14","86","4"
"15","12","4"
"16","17410","4"
"17","51467","4"
"18","51446","4"
"19","35","4"
"20","69939","5"
"21","35742","5"
"22","36403","5"
"23","41388","5"
"24","69885","5"
"25","24359","5"
"26","12","5"
"27","479","5"
"28","401","5"
"29","407","5"
"30","42","5"
"31","1177","5"
"32","20420","5"
"33","469","5"
"34","12696","5"
"35","239","5"
"36","328","5"
"37","24","5"
"38","25295","5"
"39","136","5"
"40","398","5"
"41","480","5"
"42","98","5"
"43","115","5"
"44","28660","5"
"45","188","5"
"46","16847","5"
"47","28164","5"
"48","365","5"
"49","198","5"
"50","344","5"
"51","24330","5"
"52","12690","5"
"53","25942","5"
"54","14151","5"
"55","159","5"
"56","6823","5"
"57","20325","5"
"58","14154","5"
"59","418","5"
"60","75462","5"
"61","106","5"
"62","28662","5"
"63","68132","5"
"64","340","5"
"65","20","5"
"66","374","5"
"67","25392","5"
"68","250","5"
"69","68121","5"
"70","80172","6"
"71","3356","6"
"72","14158","6"
"73","3613","6"
"74","12647","6"
"75","14308","6"
"76","421","6"
"77","34642","7"
"78","34834","7"
"79","69895","7"
"80","34617","7"
"81","67376","7"
"82","60","7"
"83","12681","7"
"84","79","7"
"85","81876","8"
"86","35742","8"
"87","97","8"
"88","17410","8"
"89","101","8"
"90","6823","8"
"91","36235","9"
"92","34840","9"
"93","36234","9"
"94","35774","9"
"95","45520","9"
"96","83112","9"
"97","69880","9"
"98","78566","9"
"99","35757","9"
"100","36320","9"
"101","36401","9"
"102","45173","9"
"103","36398","9"
"104","36400","9"
"105","45177","9"
"106","35754","9"
"107","75452","9"
"108","36236","9"
"109","81720","9"
"110","36237","9"
"111","81430","9"
"112","80171","9"
"113","45182","9"
"114","45324","9"
"115","45183","9"
"116","35864","9"
"117","36368","9"
"118","45521","9"
"119","45168","10"
"120","68064","10"
"121","12","10"
"122","12695","10"
"123","45430","10"
"124","28662","10"
"125","24","10"
"126","68064","11"
"127","16","11"
"128","112","11"
"129","36404","12"
"130","45321","12"
"131","75449","12"
"132","88","12"
"133","16","12"
"134","19561","12"
"135","86","13"
"136","463","13"
"137","35","13"
"138","98","13"
"139","69742","14"
"140","83112","14"
"141","82875","14"
"142","12638","14"
"143","50780","14"
"144","12677","15"
"145","12656","15"
"146","3613","15"
"147","16065","15"
"148","458","15"
"149","17410","16"
"150","12672","16"
"151","20388","16"
"152","51446","16"
"153","14411","16"
"154","69195","17"
"155","3360","17"
"156","390","17"
"157","30","17"
"158","14123","17"
"159","34704","18"
"160","47053","18"
"161","379","18"
"162","12676","18"
"163","34704","19"
"164","81425","19"
"165","81876","19"
"166","69195","19"
"167","3133","19"
"168","350","19"
"169","45225","19"
"170","30","19"
"171","14123","19"
"172","69854","20"
"173","83112","20"
"174","82875","20"
"175","12","20"
"176","69291","20"
"177","12638","20"
"178","70322","20"
"179","98","20"
"180","35902","21"
"181","69880","21"
"182","212","21"
"183","25680","21"
"184","16064","21"
"185","36235","22"
"186","34840","22"
"187","36234","22"
"188","35774","22"
"189","83112","22"
"190","69880","22"
"191","78566","22"
"192","35757","22"
"193","36320","22"
"194","36401","22"
"195","45173","22"
"196","36398","22"
"197","36400","22"
"198","45177","22"
"199","35754","22"
"200","75452","22"
"201","36236","22"
"202","81720","22"
"203","36237","22"
"204","81430","22"
"205","80171","22"
"206","45182","22"
"207","45324","22"
"208","45183","22"
"209","35864","22"
"210","36368","22"
"211","35757","23"
"212","36236","23"
"213","41388","23"
"214","24359","23"
"215","12","23"
"216","12677","23"
"217","418","23"
"218","3356","23"
"219","75462","23"
"220","38","23"
"221","19","23"
"222","20200","23"
"223","35","23"
"224","12659","23"
"225","411","23"
"226","12681","23"
"227","12676","23"
"228","12665","23"
"229","159","23"
"230","98","23"
"231","106","23"
"232","28660","23"
"233","365","23"
"234","28662","23"
"235","68132","23"
"236","340","23"
"237","42","23"
"238","20","23"
"239","24","23"
"240","374","23"
"241","25295","23"
"242","25392","23"
"243","250","23"
"244","68121","23"
"245","3581","23"
"246","3613","23"
"247","20449","23"
"248","3370","23"
"249","26563","23"
"250","12658","23"
"251","14214","23"
"252","24536","23"
"253","24330","23"
"254","21","23"
"255","12690","23"
"256","27787","23"
"257","35389","23"
"258","20448","23"
"259","69854","24"
"260","35736","24"
"261","70322","24"
"262","69291","24"
"263","1196","24"
"264","3555","24"
"265","14381","24"
"266","35742","25"
"267","12677","25"
"268","3356","25"
"269","20200","25"
"270","3581","25"
"271","12659","25"
"272","3613","25"
"273","20449","25"
"274","3370","25"
"275","26563","25"
"276","12658","25"
"277","14214","25"
"278","24536","25"
"279","24330","25"
"280","21","25"
"281","12690","25"
"282","27787","25"
"283","35389","25"
"284","20448","25"
"285","159","25"
"286","51467","25"
"287","81644","26"
"288","12666","26"
"289","12658","26"
"290","51467","26"
"291","30","27"
"292","52","27"
"293","96","27"
"294","106","27"
"295","34704","28"
"296","69742","28"
"297","47053","28"
"298","81876","28"
"299","35742","28"
"300","80172","28"
"301","3356","28"
"302","14158","28"
"303","17410","28"
"304","122","28"
"305","226","28"
"306","51467","28"
"307","51446","28"
"308","3355","28"
"309","12","28"
"310","6823","28"
"311","3613","28"
"312","12647","28"
"313","14308","28"
"314","421","28"
"315","24536","28"
"316","83120","29"
"317","14125","29"
"318","34676","29"
"319","104","29"
"320","411","29"
"321","28644","29"
"322","36235","30"
"323","36234","30"
"324","36404","30"
"325","81425","30"
"326","35757","30"
"327","3131","30"
"328","69985","30"
"329","75448","30"
"330","3133","30"
"331","81151","30"
"332","68064","30"
"333","36403","30"
"334","69983","30"
"335","80158","30"
"336","26686","30"
"337","35742","30"
"338","81876","31"
"339","68064","31"
"340","41388","31"
"341","24359","31"
"342","418","31"
"343","75462","31"
"344","42","31"
"345","20","31"
"346","24","31"
"347","374","31"
"348","25295","31"
"349","98","31"
"350","106","31"
"351","28660","31"
"352","365","31"
"353","28662","31"
"354","25392","31"
"355","68132","31"
"356","250","31"
"357","12","31"
"358","35","31"
"359","340","31"
"360","51446","31"
"361","68121","31"
"362","35757","32"
"363","36236","32"
"364","38","32"
"365","19","32"
"366","12659","32"
"367","411","32"
"368","12681","32"
"369","16065","32"
"370","12676","32"
"371","12665","32"
"372","458","32"
"373","159","32"
"374","69939","33"
"375","35742","33"
"376","41388","33"
"377","69885","33"
"378","24359","33"
"379","418","33"
"380","75462","33"
"381","479","33"
"382","401","33"
"383","407","33"
"384","42","33"
"385","1177","33"
"386","20420","33"
"387","20","33"
"388","469","33"
"389","12696","33"
"390","239","33"
"391","328","33"
"392","24","33"
"393","374","33"
"394","25295","33"
"395","136","33"
"396","398","33"
"397","480","33"
"398","98","33"
"399","115","33"
"400","28660","33"
"401","188","33"
"402","16847","33"
"403","28164","33"
"404","365","33"
"405","198","33"
"406","344","33"
"407","24330","33"
"408","12690","33"
"409","25942","33"
"410","14151","33"
"411","6823","33"
"412","20325","33"
"413","14154","33"
"414","68132","33"
"415","340","33"
"416","25392","33"
"417","250","33"
"418","68121","33"
"419","34840","34"
"420","34704","34"
"421","36404","34"
